8,-1:-4, 4, -2, 6, 4, 4, -16
3,8:-4, 2, 6, -14, -4, 0, 0, -20
3,8:-4, 2, 6, -14, -4, 0, 0, -10
9,7:-4, 4, -2, 6, -16, -14, 2, -16
8,-1:-4, 4, -2, 6, 6, 2, -16, 10
1,5:-4, -12, -14, -4, 6, 16, 2, 2, -4
13,-2:-4, -12, -8, -14, -10, -16, -14, 2, 6
12,2:-4, -12, -4, 6, -10, -8, 0, 22, 16
12,2:-4, -12, -4, 6, -10, -8, 0, 22, 20
13,2:-4, -12, 4, -6, 2, -4, 6, 10, -18
-7,-2:-4, -6, -6, -16, -8, -4, 2, 8, 10
26,1:-4, -4, -8, -10, -14, -2, 8, 4, -4
-1,-7:-4, 0, -12, 10, -20, -22, -14, -18, -22
0,-16:-4, 0, -4, 6, -4, -18, -18, 10, -6
13,9:-4, 0, -4, 10, 8, -2, -6, -4, 0
19,-9:-4, 2, 6, -8, -2, 0, -2, -36, -20
19,-9:-4, 2, 6, -8, -2, 0, -2, -36, -18
19,-9:-4, 2, 6, -8, -2, 0, -2, -36, -16
19,-9:-4, 2, 6, -8, -2, 0, -2, -20, -36
8,-1:-4, 4, -2, 2, 4, 2, 6, -16, 4
8,-1:-4, 4, -2, 2, 4, 2, 6, -16, 6
8,-1:-4, 4, -2, 2, 4, 2, 6, -16, 8
8,-1:-4, 4, -2, 2, 4, 2, 8, -16, 2
8,-1:-4, 4, -2, 2, 4, 2, 8, -16, 12
8,-1:-4, 4, -2, 2, 4, 12, 2, -16, 10
8,-1:-4, 4, -2, 2, 4, 12, 2, -16, 12
8,-1:-4, 4, -2, 2, 4, 14, 4, -16, 4
8,-1:-4, 4, -2, 2, 4, 14, 4, -16, 8
8,-1:-4, 4, -2, 2, 4, 14, 8, -16, 12
8,-1:-4, 4, -2, 2, 12, 6, 8, -16, 14
9,7:-4, 4, -2, 6, -16, -14, 2, -12, -10
9,7:-4, 4, -2, 6, -16, -14, 2, -12, -8
9,7:-4, 4, -2, 6, -16, -14, 2, -10, -12
8,-1:-4, 4, -2, 6, 6, 2, 12, -16, 6
8,-1:-4, 4, -2, 6, 6, 2, 12, -16, 8
8,-1:-4, 4, -2, 6, 6, 2, 12, -16, 10
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 16
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 20
11,2:6, -4, -4, 4, -2, 6, 4, 4, -16
11,6:6, 6, 2, -6, 8, 14, -10, -6, 2
-1,3:6, 6, 2, -2, 6, 18, 8, 2, 10
10,-14:6, 6, 2, 4, -2, 16, -12, -4, 0
10,-14:6, 6, 2, 4, -2, 16, -12, -4, 4
10,-14:6, 6, 2, 4, -2, 16, -12, 4, -4
10,-14:6, 6, 2, 4, -2, 16, -4, 0, -12
10,-14:6, 6, 2, 4, -2, 16, -4, 0, -8
10,-14:6, 6, 2, 4, -2, 16, -2, -10, -2
10,-14:6, 6, 2, 4, -2, 16, -2, -10, 0
10,-14:6, 6, 2, 4, -2, 16, -2, -10, 2
15,0:-4, -6, 6, -8, -12, -28, 6, -4, -24, -22
10,-5:-4, -6, 6, 0, -8, -2, -8, -2, 6, -22
9,6:-4, -6, 6, 6, 12, 18, 4, 4, 14, 8
3,12:-4, -4, -14, 8, 12, 8, 6, 8, -14, -20
3,12:-4, -4, -14, 8, 12, 8, 6, 8, -12, -6
3,12:-4, -4, -14, 8, 12, 8, 6, 8, -12, 0
3,12:-4, -4, -14, 8, 12, 8, 6, 8, -12, 4
10,8:-4, -4, -14, 8, 12, 8, 6, 8, -12, 12
3,12:-4, -4, -14, 8, 12, 8, 6, 8, 0, -12
3,12:-4, -4, -14, 8, 12, 8, 6, 8, 0, -10
3,12:-4, -4, -14, 8, 12, 8, 6, 8, 0, -8
10,8:-4, -4, -14, 8, 12, 8, 6, 8, 12, -12
10,8:-4, -4, -14, 8, 12, 8, 6, 8, 12, -10
10,8:-4, -4, -14, 8, 12, 8, 6, 8, 12, -8
26,1:-4, -4, -8, -10, -14, -2, 8, 10, -4, 6
26,1:-4, -4, -8, -10, -14, -2, 8, 10, -4, 10
7,7:-4, -4, -6, 8, 6, -4, 2, 4, 20, 2
4,3:-4, -4, 8, 0, 14, -8, -18, -20, -6, 16
4,3:-4, -4, 8, 0, 14, -8, -18, -6, 16, -20
4,3:-4, -4, 8, 0, 14, -8, -18, -6, 16, -10
1,-8:-4, 0, -12, -4, -14, -22, -18, -12, -6, -4
-7,-3:-4, 0, -12, 0, -8, 0, 8, 12, -8, -12
-7,-3:-4, 0, -12, 0, -8, 0, 8, 12, -8, -10
-7,-3:-4, 0, -12, 0, -8, 0, 8, 12, -8, -8
12,-7:-4, 0, -12, 4, -4, -14, -6, -12, -6, -26
-1,-3:-4, 0, -12, 10, -10, 6, 8, -6, 8, 8
-1,-3:-4, 0, -12, 10, -10, 6, 8, -6, 8, 10
-1,-3:-4, 0, -12, 10, -10, 6, 8, -6, 12, 8
-1,-3:-4, 0, -12, 10, -10, 6, 8, -6, 12, 10
-1,-3:-4, 0, -12, 10, -10, 6, 8, -6, 12, 12
-1,-3:-4, 0, -12, 10, -10, 6, 8, 8, 8, -6
-4,3:-4, 0, -8, -4, -2, 6, 8, -2, -14, -12
-4,3:-4, 0, -8, -4, -2, 6, 8, -2, -14, -10
-4,3:-4, 0, -8, -4, -2, 6, 8, -2, -14, -8
5,0:-4, 0, -8, -2, -8, 8, 6, 12, 10, 12
15,7:-4, 0, -8, 6, -2, 8, 14, 18, 16, 10
15,7:-4, 0, -8, 6, -2, 8, 14, 18, 16, 12
15,7:-4, 0, -8, 6, -2, 8, 14, 18, 16, 14
-2,-10:-4, 0, -4, 6, -6, -14, 4, -4, -16, -2
0,-16:-4, 0, -4, 6, -4, -18, -22, -18, 10, -6
8,13:-4, 0, -4, 6, 2, 4, -2, -2, 0, 12
-7,4:-4, 0, -2, -10, 4, -2, 2, 8, 14, 16
-6,1:-4, 0, -2, -4, -4, 4, 6, -6, 10, 8
-6,1:-4, 0, -2, -4, -4, 4, 6, -6, 10, 18
-1,12:-4, 0, -2, 4, -14, 8, 4, 2, -4, 28
-1,12:-4, 0, -2, 4, -14, 8, 4, 2, 28, -4
-7,-12:-4, 0, -2, 4, -14, 18, 10, 2, 22, 12
-7,4:-4, 0, -2, 4, -2, 2, 8, 14, 16, -10
-7,4:-4, 0, -2, 4, -2, 2, 8, 14, 16, -6
6,-3:-4, 0, -2, 6, 6, -6, 10, 0, -6, -12
6,-3:-4, 0, -2, 6, 6, -6, 10, 0, -6, -10
6,-3:-4, 0, -2, 6, 6, -6, 10, 0, -6, -8
-1,-1:-4, 0, -2, 6, 8, 2, 0, -12, -2, 8
-1,-1:-4, 0, -2, 6, 8, 2, 0, -12, 8, -2
-1,-1:-4, 0, -2, 6, 8, 2, 0, -12, 8, 2
-1,-1:-4, 0, -2, 6, 8, 2, 0, -2, 8, -12
-1,-1:-4, 0, -2, 6, 8, 2, 0, -2, 8, -8
9,6:-4, 0, 2, -4, -4, -8, -14, -10, -8, -10
10,-3:-4, 0, 6, 2, 10, -2, 8, 4, -12, 2
10,-3:-4, 0, 6, 2, 10, -2, 8, 4, -12, 4
5,8:-4, 0, 8, -6, -18, 12, 10, 10, 18, 20
13,4:-4, 0, 8, -6, -14, -8, 2, 0, -10, 12
13,4:-4, 0, 8, -6, -14, -8, 2, 0, 12, -10
5,8:-4, 0, 8, -6, 12, 10, 10, 18, 20, -18
11,-4:-4, 0, 8, -2, -10, -8, 18, -26, -14, -16
-7,7:-4, 0, 8, 8, 12, -2, 2, 16, 6, 0
3,8:-4, 2, 6, -14, -22, -12, -22, -4, 0, 0
19,-9:-4, 2, 6, -8, -2, 0, -2, -36, -12, -18
19,-9:-4, 2, 6, -8, -2, 0, -2, -36, -12, -16
19,-9:-4, 2, 6, -8, -2, 0, -2, -36, -12, -14
4,7:-4, 2, 6, 0, 4, -10, -6, 6, 10, 8
5,-4:-4, 2, 6, 2, -2, 6, 4, 6, 4, 2
-2,-3:-4, 2, 6, 10, 2, -2, 0, 8, 8, 4
11,-9:-4, 4, -10, -8, -12, -18, -10, -18, -10, -4
11,-9:-4, 4, -10, -8, -12, -18, -10, -18, -10, -2
11,-9:-4, 4, -10, -8, -12, -18, -10, -18, -10, 0
11,-9:-4, 4, -10, -8, -12, -18, -10, -18, -4, -10
24,4:-4, 4, -10, 0, -14, -12, -22, -4, -8, -4
18,-3:-4, 4, -10, 6, 0, -16, -8, -14, 14, -28
-7,-3:-4, 4, -8, -16, 6, -10, -8, 0, -2, 2
-7,-3:-4, 4, -8, -16, 6, -10, -8, 0, -2, 4
-7,-3:-4, 4, -8, -16, 6, -10, -8, 0, -2, 6
-7,-3:-4, 4, -8, -16, 6, -10, -8, 0, 4, -2
17,-2:-4, 4, -8, -12, -14, -6, -12, -2, -26, 8
17,-2:-4, 4, -8, -12, -14, -6, -12, -2, 8, -26
4,-4:-4, 4, -8, 6, -4, 4, 0, 8, -12, 6
16,1:-4, 4, -2, -14, -8, -10, -2, -8, 2, -22
12,1:-4, 4, -2, -14, 6, 4, -2, 2, -4, -18
-2,2:-4, 4, -2, -14, 6, 6, 2, -2, 10, 6
16,1:-4, 4, -2, -8, 2, -10, -2, -8, 2, -22
8,-1:-4, 4, -2, 2, 4, 2, 6, -16, 0, 2
8,-1:-4, 4, -2, 2, 4, 2, 6, -16, 0, 4
8,-1:-4, 4, -2, 2, 4, 2, 6, -16, 0, 6
8,-1:-4, 4, -2, 2, 4, 2, 12, 8, -16, 4
8,-1:-4, 4, -2, 2, 4, 2, 12, 8, -16, 6
8,-1:-4, 4, -2, 2, 4, 2, 12, 8, -16, 8
8,-1:-4, 4, -2, 2, 4, 4, 14, 6, -16, 16
8,-1:-4, 4, -2, 2, 4, 6, 4, 2, -16, 10
8,-1:-4, 4, -2, 2, 4, 6, 8, 10, 10, -16
8,-1:-4, 4, -2, 2, 4, 6, 12, 2, -16, 14
8,-1:-4, 4, -2, 2, 4, 6, 12, 2, -16, 16
8,-1:-4, 4, -2, 2, 4, 12, 2, -16, 8, 10
8,-1:-4, 4, -2, 2, 4, 12, 2, -16, 8, 12
8,-1:-4, 4, -2, 2, 4, 12, 2, -16, 8, 18
8,-1:-4, 4, -2, 2, 4, 12, 2, -16, 14, 10
8,-1:-4, 4, -2, 2, 4, 12, 2, -16, 14, 12
8,-1:-4, 4, -2, 2, 4, 12, 2, -16, 14, 14
8,-1:-4, 4, -2, 2, 4, 12, 2, -16, 16, 18
8,-1:-4, 4, -2, 2, 4, 12, 2, -16, 18, 12
8,-1:-4, 4, -2, 2, 4, 12, 4, 2, -16, 6
8,-1:-4, 4, -2, 2, 4, 12, 10, 12, -16, 10
8,-1:-4, 4, -2, 2, 4, 12, 10, 12, -16, 12
8,-1:-4, 4, -2, 2, 4, 12, 16, 6, -16, 18
8,-1:-4, 4, -2, 2, 4, 12, 16, 6, -16, 20
8,-1:-4, 4, -2, 2, 4, 14, 4, -16, 10, 10
8,-1:-4, 4, -2, 2, 4, 14, 8, -16, 8, 14
8,-1:-4, 4, -2, 2, 4, 14, 8, -16, 10, 6
8,-1:-4, 4, -2, 2, 4, 14, 8, -16, 10, 8
8,-1:-4, 4, -2, 2, 4, 14, 10, 2, -16, 4
8,-1:-4, 4, -2, 2, 4, 14, 10, 2, -16, 6
8,-1:-4, 4, -2, 2, 4, 14, 12, 2, -16, 16
8,-1:-4, 4, -2, 2, 4, 14, 12, 2, -16, 20
8,-1:-4, 4, -2, 2, 4, 14, 14, 2, -16, 6
8,-1:-4, 4, -2, 2, 4, 14, 14, 2, -16, 8
8,-1:-4, 4, -2, 2, 4, 14, 14, 2, -16, 10
8,-1:-4, 4, -2, 2, 6, 8, 10, 4, -16, 6
8,-1:-4, 4, -2, 2, 6, 8, 10, 4, -16, 8
8,-1:-4, 4, -2, 2, 6, 10, 6, 10, -16, 12
8,-1:-4, 4, -2, 2, 6, 10, 6, 10, -16, 14
8,-1:-4, 4, -2, 2, 12, 6, 8, -16, 18, 12
8,-1:-4, 4, -2, 2, 14, 10, 16, 22, 8, -16
9,7:-4, 4, -2, 6, -16, -14, 2, -12, -16, -10
9,7:-4, 4, -2, 6, -16, -14, 2, -12, -14, -16
9,7:-4, 4, -2, 6, -16, -14, 2, -12, -12, -12
9,7:-4, 4, -2, 6, -16, -14, 2, -12, -12, -10
9,7:-4, 4, -2, 6, -16, -14, 2, -12, -12, -8
9,7:-4, 4, -2, 6, -16, -14, 2, -10, -14, -18
9,7:-4, 4, -2, 6, -16, -14, 2, -10, -14, -16
8,-1:-4, 4, -2, 6, 6, 2, 12, -16, 2, 6
8,-1:-4, 4, -2, 6, 6, 2, 12, -16, 2, 8
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 14, 14
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 18, 10
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 18, 12
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 18, 14
-2,4:-4, 4, 4, -6, 4, 6, -8, -20, -20, -4
-2,4:-4, 4, 4, -6, 4, 6, -8, -20, -4, -20
-2,4:-4, 4, 4, -6, 4, 6, -8, -20, -4, -18
-2,4:-4, 4, 4, -6, 4, 6, -8, -20, -4, -16
6,11:6, -4, -4, 2, 6, -14, -4, 0, 0, -20
6,11:6, -4, -4, 2, 6, -14, -4, 0, 0, -10
12,10:6, -4, -4, 4, -2, 6, -16, -14, 2, -16
11,2:6, -4, -4, 4, -2, 6, 6, 2, -16, 10
14,7:6, 6, -2, -2, -2, 6, 0, -14, 6, 4
14,7:6, 6, -2, -2, -2, 6, 0, -14, 6, 6
14,7:6, 6, -2, -2, -2, 6, 0, -14, 16, 6
14,7:6, 6, -2, -2, -2, 6, 0, 6, 4, -14
-5,7:6, 6, -2, 6, 12, 16, 18, 28, 26, 36
-5,7:6, 6, -2, 6, 12, 16, 18, 28, 26, 38
-5,7:6, 6, -2, 6, 12, 16, 18, 28, 26, 40
-5,7:6, 6, -2, 6, 12, 16, 18, 28, 36, 26
-6,10:6, 6, -2, 10, 14, 16, 18, 16, 16, 4
-6,10:6, 6, -2, 10, 14, 16, 18, 16, 16, 8
1,2:6, 6, -2, 16, 0, -12, -8, -2, 4, 6
2,4:6, 6, 2, -8, -4, -6, 10, 12, 8, 2
5,13:6, 6, 2, -4, -2, -2, -2, -2, 18, -8
0,-6:6, 6, 2, -4, 4, -4, 4, 4, 10, 20
0,-6:6, 6, 2, -4, 4, -4, 4, 4, 10, 22
0,-6:6, 6, 2, -4, 4, -4, 4, 4, 10, 24
0,-6:6, 6, 2, -4, 4, -4, 4, 4, 20, 10
0,-6:6, 6, 2, -4, 4, -4, 4, 4, 20, 12
0,-6:6, 6, 2, -4, 4, -4, 4, 4, 20, 14
0,-6:6, 6, 2, -4, 4, -4, 4, 6, 24, 12
0,-6:6, 6, 2, -4, 4, -4, 4, 6, 24, 14
0,-6:6, 6, 2, -4, 4, -4, 4, 6, 24, 16
0,-6:6, 6, 2, -4, 4, -4, 4, 10, 16, 8
9,2:6, 6, 2, -4, 4, 6, 0, 6, -14, 10
9,2:6, 6, 2, -4, 4, 6, 0, 6, -14, 12
9,2:6, 6, 2, -4, 4, 6, 0, 6, -14, 14
9,2:6, 6, 2, -4, 4, 6, 0, 6, 10, -14
-1,3:6, 6, 2, -2, 6, 18, 8, 2, 12, 14
-1,3:6, 6, 2, -2, 6, 18, 8, 2, 12, 16
7,1:6, 6, 2, 4, -4, -8, -2, -32, -2, -8
7,1:6, 6, 2, 4, -4, -8, -2, -2, -8, -32
7,1:6, 6, 2, 4, -4, -8, -2, -2, -8, -22
10,-14:6, 6, 2, 4, -2, 16, -12, -4, -2, -2
10,-14:6, 6, 2, 4, -2, 16, -12, -4, 2, -6
10,-14:6, 6, 2, 4, -2, 16, -12, -4, 2, -4
10,-14:6, 6, 2, 4, -2, 16, -12, -4, 2, -2
10,-14:6, 6, 2, 4, -2, 16, -12, -2, 4, 0
10,-14:6, 6, 2, 4, -2, 16, -12, -2, 4, 2
10,-14:6, 6, 2, 4, -2, 16, -12, 4, 0, -6
10,-14:6, 6, 2, 4, -2, 16, -10, -18, 0, -8
10,-14:6, 6, 2, 4, -2, 16, -10, -18, 0, -4
10,-14:6, 6, 2, 4, -2, 16, -10, -18, 2, 0
10,-14:6, 6, 2, 4, -2, 16, -10, -16, 4, -2
10,-14:6, 6, 2, 4, -2, 16, -10, -2, 0, -18
10,-14:6, 6, 2, 4, -2, 16, -10, -2, 0, -16
10,-14:6, 6, 2, 4, -2, 16, -10, -2, 0, -14
10,-14:6, 6, 2, 4, -2, 16, -10, 0, 0, 6
10,-14:6, 6, 2, 4, -2, 16, -10, 0, 10, 10
10,-14:6, 6, 2, 4, -2, 16, -4, -14, 0, -14
10,-14:6, 6, 2, 4, -2, 16, -2, -10, -6, -4
10,-14:6, 6, 2, 4, -2, 16, -2, -10, -6, -2
10,-14:6, 6, 2, 4, -2, 16, -2, -10, -6, 0
10,-14:6, 6, 2, 4, -2, 16, 0, 2, -16, -2
10,-14:6, 6, 2, 4, -2, 16, 0, 2, -2, -16
10,-14:6, 6, 2, 4, -2, 16, 0, 2, -2, -14
10,-14:6, 6, 2, 4, -2, 16, 0, 2, -2, -12
10,-14:6, 6, 2, 4, -2, 16, 2, -10, 0, 10
10,-14:6, 6, 2, 4, -2, 16, 2, -10, 0, 12
3,-4:6, 6, 2, 10, 6, 10, 4, 8, 12, 12
5,-4:6, 6, 8, 8, 2, 4, 16, 8, -2, -4
10,8:6, 6, 8, 8, 2, 12, 2, 10, 16, 14
10,10:6, 6, 14, 6, -4, -14, 0, -8, -4, 6
-6,4:6, 6, 14, 8, 14, 8, 6, 0, -2, 12
