-4,-14:-4, 0, -8, 6, -14, -12, 2
16,-5:-4, -12, -8, -14, 2, 4, -10, -14
16,-5:-4, -12, -8, -14, 2, 4, -10, -12
16,-5:-4, -12, -8, -14, 2, 4, -8, -10
5,0:-4, 0, -16, -4, 0, -4, 6, 4
-13,-2:6, 6, 2, -4, 10, 16, 14, 0
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -14
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -8
16,-5:-4, -12, -8, -14, 2, 4, -8, -6, -4
-9,15:-4, -12, -4, 6, 2, 0, -10, 8, 20
0,-4:-4, -12, 4, -6, -8, 4, 4, -4, -8
-1,10:-4, -6, 6, 0, -8, -4, -16, -4, 4
-1,10:-4, -6, 6, 0, -8, -4, -16, 0, 4
-1,10:-4, -6, 6, 0, -8, -4, -16, 2, 2
-1,10:-4, -6, 6, 0, -8, -4, -16, 4, -2
-1,10:-4, -6, 6, 0, -8, -4, -16, 4, 0
-2,0:-4, -6, 6, 4, -8, -4, -2, 4, -10
-2,0:-4, -6, 6, 4, -8, -4, -2, 4, -8
-2,0:-4, -6, 6, 4, -8, -4, -2, 4, -6
-6,0:-4, 0, -8, -4, -2, 10, 8, -24, -24
-6,0:-4, 0, -8, -4, -2, 10, 8, -24, -22
-6,0:-4, 0, -8, -4, -2, 10, 8, -24, -20
2,11:-4, 0, -4, -6, -6, -4, 16, -6, -22
2,11:-4, 0, -4, -6, -6, -4, 16, -6, -12
4,-6:-4, 0, 4, -6, -2, -12, -18, -6, 0
4,-6:-4, 0, 4, -6, -2, -12, -18, -6, 2
4,-6:-4, 0, 4, -6, -2, -12, -18, -6, 4
4,-6:-4, 0, 4, -6, -2, -12, -18, -4, -2
4,-6:-4, 0, 4, -6, -2, -12, -18, 0, -6
4,-6:-4, 0, 4, -6, -2, -12, -18, 0, -2
4,-6:-4, 0, 4, -6, -2, -12, -6, 0, -18
15,2:-4, 4, -10, -6, -10, -12, 6, -12, -4
15,2:-4, 4, -10, -6, -10, -12, 6, -12, 0
-2,-1:-4, 4, -10, -6, -8, 2, 8, 4, -8
15,2:-4, 4, -10, 0, -6, -10, -12, 6, -12
4,-14:-4, 4, -8, -4, -6, -16, -10, -14, -12
4,-13:-4, 4, -8, 0, -2, -32, -18, -16, -10
4,-13:-4, 4, -8, 0, -2, -32, -18, -16, -8
4,-13:-4, 4, -8, 0, -2, -18, -16, -10, -32
-1,-11:6, -4, -4, 0, -8, 6, -14, -12, 2
1,7:6, 6, 2, 6, 18, 2, -4, -4, -2
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 12
-4,18:6, 6, 14, 10, -4, 16, -2, 12, 14
-4,18:6, 6, 14, 10, -4, 16, -2, 12, 16
8,5:-4, -4, -14, -2, 4, 12, 16, 16, 2, 12
6,-5:-4, -4, -8, -18, -4, -14, -24, -16, -18, -18
17,-9:-4, -4, -8, -12, -12, -6, -18, -16, -6, 6
17,-9:-4, -4, -8, -12, -12, -6, -18, -16, -6, 8
17,-9:-4, -4, -8, -12, -12, -6, -18, -16, -6, 10
17,-9:-4, -4, -8, -12, -12, -6, -18, -16, 6, -6
13,17:-4, -4, -8, -12, -12, 0, 14, 6, -4, 10
13,17:-4, -4, -8, -12, -12, 0, 14, 6, 10, -4
19,0:-4, -4, -8, -12, 0, -6, 8, 10, -14, -4
13,17:-4, -4, -8, -12, 0, 14, 6, -12, 10, -4
7,11:-4, -4, -8, 8, 12, -12, -2, -16, 6, -2
2,-2:-4, -4, -4, 4, 2, 12, -8, -4, -8, -22
5,0:-4, 0, -16, -4, 0, -4, 6, 6, -22, 2
5,0:-4, 0, -16, -4, 0, -4, 6, 6, 2, -22
-1,8:-4, 0, -12, 6, -2, -12, 14, -2, -6, 2
5,-16:-4, 0, -12, 6, 4, 6, -10, 2, -16, -6
5,-16:-4, 0, -12, 6, 4, 6, -10, 2, -16, -4
5,-16:-4, 0, -12, 6, 4, 6, -10, 2, -16, -2
6,-2:-4, 0, -12, 8, 8, 20, 4, 20, 0, 4
6,-2:-4, 0, -12, 8, 8, 20, 4, 20, 0, 6
6,-2:-4, 0, -12, 8, 8, 20, 4, 20, 2, 2
6,-2:-4, 0, -12, 8, 8, 20, 4, 20, 4, 0
6,-2:-4, 0, -12, 8, 8, 20, 4, 20, 8, 0
19,9:-4, 0, -8, -10, 2, 10, 2, -4, -2, 18
19,9:-4, 0, -8, -10, 2, 10, 2, -4, -2, 22
19,9:-4, 0, -8, -10, 2, 10, 2, -4, 18, -2
-7,7:-4, 0, -8, -10, 6, -2, 10, 0, 8, -2
-6,0:-4, 0, -8, -4, -2, 10, 8, -28, -24, -26
-6,0:-4, 0, -8, -4, -2, 10, 8, -28, -24, -24
-6,0:-4, 0, -8, -4, -2, 10, 8, -28, -24, -22
-10,7:-4, 0, -8, -4, 8, -2, 14, 18, 4, 0
-10,7:-4, 0, -8, -4, 8, -2, 18, 4, 0, 16
-10,7:-4, 0, -8, -4, 8, -2, 18, 4, 0, 18
-10,7:-4, 0, -8, -4, 8, -2, 18, 4, 0, 20
-5,3:-4, 0, -8, 6, 4, -6, 6, -4, 12, 2
4,-6:-4, 0, -4, -6, 10, 2, -6, -4, 2, 8
4,-6:-4, 0, -4, -6, 10, 2, -6, -4, 2, 14
4,-6:-4, 0, -4, -6, 10, 2, -6, -4, 2, 18
4,-6:-4, 0, -4, -6, 10, 2, -6, -4, 8, 2
4,-6:-4, 0, -4, -6, 10, 2, -6, -4, 8, 4
4,-6:-4, 0, 4, -6, -2, -12, -28, -6, 0, -14
4,-6:-4, 0, 4, -6, -2, -12, -28, -6, 0, -12
4,-6:-4, 0, 4, -6, -2, -12, -28, -6, 0, -10
4,-6:-4, 0, 4, -6, -2, -12, -28, -4, -10, 10
4,-6:-4, 0, 4, -6, -2, -12, -18, -6, 8, 2
4,-6:-4, 0, 4, -6, -2, -12, -18, -6, 8, 4
4,-6:-4, 0, 4, -6, -2, -12, -18, -6, 8, 6
4,-6:-4, 0, 4, -6, -2, -12, -18, 0, 0, -8
4,-6:-4, 0, 4, -6, -2, -12, -18, 0, 0, -6
4,-6:-4, 0, 4, -6, -2, -12, -18, 0, 0, -4
4,-6:-4, 0, 4, -6, -2, -12, -14, -6, 0, -28
4,-6:-4, 0, 4, -6, -2, -12, -14, -6, 0, -18
4,-6:-4, 0, 4, -6, -2, -12, -6, 0, -22, -26
4,-6:-4, 0, 4, -6, -2, -12, 0, -16, -26, -4
4,-6:-4, 0, 4, -6, -2, -12, 0, -16, -4, -26
4,-6:-4, 0, 4, -6, -2, -12, 0, -16, -4, -24
12,7:-4, 0, 6, -2, -8, -8, -12, 10, 12, 14
12,7:-4, 0, 6, -2, -8, -8, -12, 10, 18, 16
12,7:-4, 0, 6, -2, -8, -8, -12, 10, 18, 18
12,7:-4, 0, 6, -2, -8, -8, -12, 10, 18, 20
12,7:-4, 0, 6, -2, -8, -8, -12, 10, 20, 14
12,7:-4, 0, 6, -2, -8, -8, -12, 10, 20, 24
12,7:-4, 0, 6, -2, -8, -8, -12, 10, 22, 22
-13,-4:-4, 0, 6, -2, 0, -6, 8, 14, 12, -2
6,13:-4, 0, 6, 2, 8, 6, 0, -10, 4, 20
6,13:-4, 0, 6, 2, 8, 6, 0, -10, 4, 22
6,13:-4, 0, 6, 2, 8, 6, 0, -10, 4, 24
18,-11:-4, 0, 6, 4, -2, -12, -22, -16, -26, 2
18,-11:-4, 0, 6, 4, -2, -12, -22, -16, -26, 12
18,-11:-4, 0, 6, 4, -2, -12, -22, -16, 2, -26
14,-8:-4, 0, 6, 4, 6, -4, 12, 0, -6, -10
14,-8:-4, 0, 6, 4, 6, -4, 12, 0, -6, -8
6,8:-4, 0, 6, 4, 10, 2, -6, -14, -16, -20
13,13:-4, 0, 6, 8, -2, 0, 12, -8, -18, -8
13,13:-4, 0, 6, 8, -2, 0, 12, -8, -14, -6
13,13:-4, 0, 6, 8, -2, 0, 12, -8, -6, -14
1,9:-4, 0, 8, -6, -18, 10, 4, -8, 12, 0
1,9:-4, 0, 8, -6, -18, 10, 4, 12, 0, -16
1,9:-4, 0, 8, -6, -18, 10, 4, 12, 0, -14
-5,-6:-4, 2, 2, -8, -10, -16, -2, 4, 2, -12
-1,3:-4, 2, 6, -8, -14, -6, -8, 6, 4, -12
-1,3:-4, 2, 6, -8, -14, -6, -8, 6, 4, -10
-1,3:-4, 2, 6, -8, -14, -6, -8, 6, 4, -8
14,7:-4, 2, 6, 0, -8, -16, 4, -20, 10, 12
7,5:-4, 2, 6, 2, -8, -14, -10, -18, -20, -24
15,2:-4, 4, -10, -6, -10, -12, 6, -12, -2, 2
15,2:-4, 4, -10, -6, -10, -12, 6, -12, -2, 4
15,2:-4, 4, -10, -6, -10, -12, 6, -12, -2, 6
15,2:-4, 4, -10, -6, -10, -12, 6, -12, 2, 2
13,3:-4, 4, -10, 0, -6, 2, 6, 10, 2, 4
13,3:-4, 4, -10, 0, -6, 2, 6, 10, 2, 6
10,-9:-4, 4, -8, -16, -10, -14, -16, -18, 0, -18
7,8:-4, 4, -8, -16, 6, -10, -4, 10, 16, 14
2,0:-4, 4, -8, -14, -18, -14, -8, -10, -18, 4
2,0:-4, 4, -8, -14, -18, -14, -8, -10, 4, -18
2,0:-4, 4, -8, -14, -18, -14, -8, -10, 4, -8
2,0:-4, 4, -8, -14, -18, -14, -8, 0, 4, -18
4,-13:-4, 4, -8, 0, -2, -36, -18, -16, -10, -30
4,-13:-4, 4, -8, 0, -2, -34, -18, -16, -10, -38
4,-13:-4, 4, -8, 0, -2, -34, -18, -16, -10, -36
4,-13:-4, 4, -8, 0, -2, -32, -18, -16, -4, -10
4,-13:-4, 4, -8, 0, -2, -32, -18, -16, -4, -8
4,-13:-4, 4, -8, 0, -2, -32, -18, -16, -4, -6
7,-15:-4, 4, -4, -22, -20, -30, -28, -34, -18, -4
7,-15:-4, 4, -4, -22, -20, -30, -28, -34, -18, 0
10,-3:-4, 4, -4, -22, -12, -6, -8, -14, -8, -20
13,-20:-4, 4, -4, -12, -20, -26, -22, -28, -18, -28
2,-26:-4, 4, -4, -12, -16, -16, -14, -30, -20, -26
2,-26:-4, 4, -4, -12, -16, -16, -14, -30, -20, -24
2,-26:-4, 4, -4, -12, -16, -16, -14, -30, -20, -22
12,-9:-4, 4, -4, -12, -16, -8, -16, -22, -8, -8
1,6:-4, 4, -2, -14, 2, 14, 14, 6, 2, 16
8,-9:-4, 4, -2, -12, 2, 6, -2, 12, -4, -16
21,8:-4, 4, 4, 4, 4, -6, 8, 16, -8, 2
-5,6:-4, 4, 4, 4, 6, -4, 0, 0, 0, -6
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -10, -14
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -10, -12
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -8, -10
8,3:6, -4, -4, 0, -16, -4, 0, -4, 6, 4
-10,1:6, -4, 6, 6, 2, -4, 10, 16, 14, 0
-12,6:6, 6, -2, 10, 2, 4, 12, 18, 10, 34
-12,6:6, 6, -2, 10, 2, 4, 12, 18, 34, 10
-12,6:6, 6, -2, 10, 2, 4, 12, 18, 34, 12
-13,6:6, 6, -2, 10, 6, 8, 18, 12, 16, 14
3,17:6, 6, -2, 12, 2, 8, 12, -4, 14, 14
0,0:6, 6, -2, 12, 8, 10, 0, -6, -2, 10
3,17:6, 6, -2, 12, 8, 12, -4, 14, 14, 2
3,17:6, 6, -2, 12, 8, 12, -4, 14, 14, 6
-3,2:6, 6, -2, 14, 8, 10, -2, -2, 6, 10
-5,6:6, 6, 2, -2, 8, 4, -2, 14, 4, 20
-5,6:6, 6, 2, -2, 8, 4, -2, 14, 20, 4
-5,6:6, 6, 2, -2, 8, 4, -2, 14, 20, 8
-5,6:6, 6, 2, -2, 8, 4, 14, 6, 20, 4
-5,6:6, 6, 2, -2, 8, 4, 14, 8, 20, -2
-5,6:6, 6, 2, -2, 8, 4, 14, 8, 20, 0
-5,6:6, 6, 2, -2, 8, 4, 14, 8, 20, 2
12,4:6, 6, 2, 6, 8, -14, 8, 6, 8, 14
12,4:6, 6, 2, 6, 8, -14, 8, 6, 8, 24
1,-4:6, 6, 2, 10, 6, 4, -8, -6, 22, 22
1,-4:6, 6, 2, 10, 6, 4, -8, -6, 22, 24
1,-4:6, 6, 2, 10, 6, 4, -8, -6, 22, 26
1,0:6, 6, 8, -4, -2, 10, 2, 4, -2, 8
1,0:6, 6, 8, -4, -2, 10, 2, 4, -2, 10
1,0:6, 6, 8, -4, -2, 10, 2, 4, -2, 12
11,1:6, 6, 8, -4, 2, 10, 2, 18, -2, 2
11,1:6, 6, 8, -4, 2, 10, 2, 18, -2, 4
11,1:6, 6, 8, -4, 2, 10, 2, 18, 0, 0
11,1:6, 6, 8, -4, 2, 10, 2, 18, 2, -2
11,1:6, 6, 8, -4, 2, 10, 2, 18, 6, -2
16,-7:6, 6, 14, 6, -4, 0, 2, -6, 12, -18
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 8, 6
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 10, 10
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 10, 16
