-4,-6:-4, -6, -6, 2, 8, -10, -18, -8
-4,-6:-4, -6, -6, 2, 8, -10, -18, -6
-4,-6:-4, -6, -6, 2, 8, -10, -8, -18
-4,-6:-4, -6, -6, 2, 8, -10, -8, -14
5,8:-4, 0, 0, 10, -2, 16, 6, 2
-3,6:6, 6, 6, -6, 10, 8, -6, -2
-3,6:6, 6, 6, -6, 10, 8, -6, 2
-3,6:6, 6, 6, -6, 10, 8, 2, -6
-3,6:6, 6, 6, -6, 10, 8, 2, -4
-3,6:6, 6, 6, -6, 10, 8, 2, -2
3,6:-4, -12, -4, -4, 0, 0, 4, -12, -10
3,6:-4, -12, -4, -4, 0, 0, 4, -12, -6
2,-2:-4, -6, -6, -4, 10, 8, 16, 14, -4
-4,-6:-4, -6, -6, 2, 8, -10, -24, -22, -10
-4,-6:-4, -6, -6, 2, 8, -10, -20, -8, -20
-4,-6:-4, -6, -6, 2, 8, -10, -18, -12, -10
-4,-6:-4, -6, -6, 2, 8, -10, -18, -12, -8
-4,-6:-4, -6, -6, 2, 8, -10, -18, -12, -6
-4,-6:-4, -6, -6, 2, 8, -10, -16, -8, -24
-4,-6:-4, -6, -6, 2, 8, -10, -16, -8, -22
-4,-6:-4, -6, -6, 2, 8, -10, -16, -8, -20
-4,-6:-4, -6, -6, 2, 8, -10, -12, -12, -14
5,10:-4, 0, -8, -10, -4, 10, 12, -4, 0
5,10:-4, 0, -8, -10, -4, 10, 12, -4, 2
5,10:-4, 0, -8, -4, 10, 12, -4, 0, -10
5,10:-4, 0, -8, -4, 10, 12, -4, 0, -6
5,4:-4, 4, -8, -12, -4, -4, 0, -18, -10
5,4:-4, 4, -8, -12, -4, -4, 0, -18, -8
5,4:-4, 4, -8, -12, -4, -4, 0, -18, -6
9,-8:-4, 4, -4, -16, -34, -20, -22, -16, -38
11,9:6, 6, 6, -6, -8, -12, 6, -6, -6
-3,6:6, 6, 6, -6, 10, 8, -10, 2, -8
-3,6:6, 6, 6, -6, 10, 8, -10, 2, -6
-3,6:6, 6, 6, -6, 10, 8, -10, 2, -4
-3,6:6, 6, 6, -6, 10, 8, -6, 0, 4
-3,6:6, 6, 6, -6, 10, 8, -6, 0, 6
4,9:-4, 0, -12, 0, -8, 6, 2, 2, 6, -6
5,-6:-4, 0, -12, 4, -4, 4, -12, -10, -8, -2
7,-15:-4, 0, -12, 10, -16, -22, -26, -8, -6, 0
-10,-13:-4, 0, -12, 10, -10, -6, -6, -14, 0, -10
5,10:-4, 0, -8, -4, 10, 12, -4, -8, -10, 0
5,10:-4, 0, -8, -4, 10, 12, -4, -8, 0, -10
5,10:-4, 0, -8, -4, 10, 12, -4, -8, 0, -8
5,10:-4, 0, -8, -4, 10, 12, -4, 0, -4, -12
5,10:-4, 0, -8, -4, 10, 12, -4, 0, -4, -10
5,10:-4, 0, -8, -4, 10, 12, -4, 0, -4, -8
-2,12:-4, 0, -8, 6, -8, 6, -8, 8, 12, 6
-4,11:-4, 0, -8, 6, 4, 14, 14, 12, 12, 16
7,0:-4, 0, 6, 2, -2, -6, -12, -12, -28, -8
7,0:-4, 0, 6, 2, -2, -6, -12, -12, -8, -28
5,2:-4, 2, 2, -8, -6, -18, -2, -4, -18, -14
5,2:-4, 2, 2, -8, -6, -18, -2, -4, -18, -10
5,2:-4, 2, 2, -8, -6, -18, -2, -4, -10, -18
5,2:-4, 2, 2, -8, -6, -18, -2, -4, -10, -16
5,2:-4, 2, 2, -8, -6, -18, -2, -4, -10, -14
5,4:-4, 4, -8, -12, -4, -4, 0, -22, -10, -10
5,4:-4, 4, -8, -12, -4, -4, 0, -22, -10, -8
5,4:-4, 4, -8, -12, -4, -4, 0, -22, -10, -6
5,4:-4, 4, -8, -12, -4, -4, 0, -14, -18, -14
5,4:-4, 4, -8, -12, -4, -4, 0, -10, -10, -22
5,4:-4, 4, -8, -12, -4, -4, 0, -10, -10, -20
5,4:-4, 4, -8, -12, -4, -4, 0, -10, -10, -18
9,-8:-4, 4, -4, -16, -34, -20, -22, -16, -42, -28
9,-8:-4, 4, -4, -16, -34, -20, -22, -16, -42, -26
9,-8:-4, 4, -4, -16, -34, -20, -22, -16, -40, -26
9,-8:-4, 4, -4, -16, -34, -20, -22, -16, -40, -24
9,-8:-4, 4, -4, -16, -34, -20, -22, -16, -26, -40
9,-8:-4, 4, -4, -16, -34, -20, -22, -16, -26, -30
-1,-3:6, -4, -4, -6, -6, 2, 8, -10, -18, -8
-1,-3:6, -4, -4, -6, -6, 2, 8, -10, -18, -6
-1,-3:6, -4, -4, -6, -6, 2, 8, -10, -8, -18
-1,-3:6, -4, -4, -6, -6, 2, 8, -10, -8, -14
8,11:6, -4, -4, 0, 0, 10, -2, 16, 6, 2
0,9:6, -4, 6, 6, 6, -6, 10, 8, -6, -2
0,9:6, -4, 6, 6, 6, -6, 10, 8, -6, 2
0,9:6, -4, 6, 6, 6, -6, 10, 8, 2, -6
0,9:6, -4, 6, 6, 6, -6, 10, 8, 2, -4
0,9:6, -4, 6, 6, 6, -6, 10, 8, 2, -2
7,6:6, 6, -2, -4, 10, 18, 12, 16, -10, -14
-3,4:6, 6, 2, -8, 4, 10, 16, -4, 14, 10
5,3:6, 6, 2, -4, -6, -2, -6, -18, 8, 10
5,3:6, 6, 2, -4, -6, -2, -6, 8, 10, -18
5,3:6, 6, 2, -4, -6, -2, -6, 8, 10, -10
-3,16:6, 6, 2, -4, 10, 4, -4, 10, 18, 20
11,9:6, 6, 6, -6, -8, -12, 6, -6, -12, -12
11,9:6, 6, 6, -6, -8, -12, 6, -6, -12, -10
11,9:6, 6, 6, -6, -8, -12, 6, -6, -12, -8
11,9:6, 6, 6, -6, -8, -12, 6, -6, -8, -10
11,9:6, 6, 6, -6, -8, -12, 6, -6, -8, -8
-3,6:6, 6, 6, -6, 10, 8, -10, 0, 2, -6
-3,6:6, 6, 6, -6, 10, 8, -10, 0, 2, -4
-3,6:6, 6, 6, -6, 10, 8, -10, 0, 2, -2
-3,6:6, 6, 6, -6, 10, 8, -10, 8, 4, -4
-3,6:6, 6, 6, -6, 10, 8, -6, 0, 0, 2
-3,6:6, 6, 6, -6, 10, 8, -6, 0, 0, 4
-3,6:6, 6, 6, -6, 10, 8, -6, 0, 0, 6
-3,6:6, 6, 6, -6, 10, 8, 0, 6, -14, -8
-3,6:6, 6, 6, -6, 10, 8, 0, 6, -10, -10
-3,6:6, 6, 6, -6, 10, 8, 0, 6, -8, -14
-3,6:6, 6, 6, -6, 10, 8, 0, 6, -8, -10
-3,6:6, 6, 6, -6, 10, 8, 2, 0, 2, -6
12,6:6, 6, 6, 10, 14, 2, 14, 18, 12, 4
