7,-9:-4, 4, -4, -18, -24, -24, -30, -18
-7,-7:-4, -6, -6, -14, -14, -2, -8, 0, 6
-7,-7:-4, -6, -6, -14, -14, -2, -2, 6, -8
-7,-7:-4, -6, -6, -14, -14, -2, 10, 6, -8
-7,-7:-4, -6, -6, -14, -14, -2, 10, 6, 2
-14,9:-4, -6, -6, -4, -2, 6, 6, 22, 16
-14,9:-4, -6, -6, -4, -2, 6, 22, 16, 0
-14,9:-4, -6, -6, -4, -2, 6, 22, 16, 6
4,13:-4, -4, -8, -18, -20, -2, -6, -2, -2
-7,8:6, 6, -2, 6, 20, 26, 26, 32, 20
7,2:-4, -6, -6, -4, 10, -4, -8, 0, -2, 4
2,7:-4, -6, -6, -4, 10, -4, 0, -2, -6, -8
-1,-10:-4, -6, -6, 0, 0, 2, 4, -8, -18, -4
-1,-10:-4, -6, -6, 0, 0, 2, 4, -8, -18, -2
-1,-10:-4, -6, -6, 0, 0, 2, 4, -8, -4, -18
-1,-10:-4, -6, -6, 0, 0, 2, 4, -8, -4, -16
-1,-10:-4, -6, -6, 0, 0, 2, 4, -8, -4, -14
-3,7:-4, -6, 6, -8, -18, -10, -2, -2, -20, 2
5,-4:-4, -6, 6, -8, 10, -2, -22, -20, -12, -24
5,-4:-4, -6, 6, -8, 10, -2, -22, -20, -12, -22
7,5:-4, -6, 6, 10, -10, -14, 12, 14, 2, -6
4,13:-4, -4, -8, -18, -20, -2, -6, -14, -2, -2
-5,3:-4, -4, -6, -14, -2, 8, 12, 10, -2, 6
-5,3:-4, -4, -6, -14, -2, 8, 12, 10, -2, 16
-5,3:-4, -4, -6, -14, -2, 8, 12, 10, 6, -2
-5,3:-4, -4, -6, -14, -2, 8, 12, 10, 6, 2
2,3:-4, 0, -12, 4, 4, 8, -14, -2, -12, 24
17,-10:-4, 0, -8, -4, -10, 2, -4, -10, -16, -10
17,-10:-4, 0, -8, -4, -10, 2, -4, -10, -16, -6
-4,-1:-4, 0, -8, -4, -8, -4, -8, -6, 0, 2
-4,-1:-4, 0, -8, -4, -8, -4, -8, -6, 0, 4
-4,-1:-4, 0, -8, -4, -8, -4, -8, -6, 0, 6
8,-4:-4, 0, -8, -4, -2, 6, 8, -12, 6, 8
8,-4:-4, 0, -8, -4, -2, 6, 8, -12, 6, 18
8,-4:-4, 0, -8, -4, -2, 6, 8, 16, 18, -12
-2,-1:-4, 0, -8, -4, 2, 10, 10, -14, -12, -8
-8,-14:-4, 0, -8, 6, -14, -4, -14, 0, 6, 6
3,7:-4, 0, -2, -8, -14, -14, -10, 0, 2, 14
3,7:-4, 0, -2, -8, -14, -14, -10, 0, 2, 16
3,7:-4, 0, -2, -8, -14, -14, -10, 0, 2, 18
3,7:-4, 0, -2, -8, -14, -14, 0, 2, 14, -10
3,7:-4, 0, -2, -8, -14, -14, 0, 2, 14, -8
9,5:-4, 0, -2, -4, -4, 6, 8, 2, 0, 8
9,5:-4, 0, -2, -4, -4, 6, 8, 2, 0, 10
-4,15:-4, 0, -2, 4, -14, -2, 16, 2, 24, -2
-4,15:-4, 0, -2, 4, -14, -2, 16, 2, 24, 2
-4,15:-4, 0, -2, 4, -14, 16, 2, 24, -2, -2
-4,15:-4, 0, -2, 4, -14, 16, 2, 24, -2, 2
3,-10:-4, 0, -2, 6, 6, 10, -4, 8, 2, -14
1,9:-4, 0, 6, 2, 8, -2, 4, 0, 2, -8
1,9:-4, 0, 6, 2, 8, -2, 4, 0, 2, -6
1,9:-4, 0, 6, 2, 8, -2, 4, 0, 2, -4
3,-6:-4, 0, 8, 4, 6, 8, 8, 16, 6, 14
3,-3:-4, 0, 8, 8, 16, -6, -10, -2, -6, 4
14,21:-4, 0, 8, 10, -8, -12, 4, 0, 8, -2
8,8:-4, 4, -10, -2, -20, -20, -26, -20, -26, -8
8,8:-4, 4, -10, -2, -20, -20, -26, -20, -20, -12
8,8:-4, 4, -10, -2, -20, -20, -26, -20, -8, -26
8,8:-4, 4, -10, -2, -20, -20, -26, -20, -8, -22
8,8:-4, 4, -10, -2, -20, -20, -26, -12, -8, -22
4,-2:-4, 4, -8, 6, -4, -12, 4, 0, 6, 6
9,2:-4, 4, -4, -26, -18, -16, -8, -8, -20, -26
9,2:-4, 4, -4, -26, -18, -16, -8, -8, -20, -24
9,2:-4, 4, -4, -26, -18, -16, -8, -8, -20, -22
12,-10:-4, 4, -4, -16, -32, -32, -34, -38, -22, -28
17,-15:-4, 4, -4, -16, -32, -32, -34, -38, -22, -18
3,7:-4, 4, 6, 4, -8, -14, -2, 2, -8, -2
8,2:-4, 4, 6, 4, -8, -14, -2, 2, -8, 8
10,-6:6, -4, -4, 4, -4, -18, -24, -24, -30, -18
15,5:6, 6, 6, 4, 10, 20, 8, 22, 4, 4
11,-13:6, 6, 8, 8, 6, 4, -20, -4, -14, -4
11,-13:6, 6, 8, 8, 6, 4, -20, -4, -14, 2
11,-13:6, 6, 8, 8, 6, 4, -20, -4, -4, -14
-5,-6:6, 6, 8, 8, 16, 16, 4, -8, -4, 0
-5,-6:6, 6, 8, 8, 16, 16, 4, -8, -4, 10
-5,-6:6, 6, 8, 8, 16, 16, 4, -8, 0, -4
-5,-6:6, 6, 8, 8, 16, 16, 4, 4, -4, 10
