-2,-4:-4, -6, 6, 0, -8, -16, 0, 22
-2,-4:-4, -6, 6, 0, -8, -16, 14, 14
-2,-4:-4, -6, 6, 0, -8, -16, 14, 16
-2,-4:-4, -6, 6, 0, -8, -16, 14, 18
-2,-4:-4, -6, 6, 0, -8, -16, 22, 0
-2,-4:-4, -6, 6, 0, -8, -16, 22, 2
19,2:-4, -4, 6, 6, 12, 0, 6, -2
0,-4:-4, -12, -4, -4, -6, 6, -6, 12, 10
-2,-4:-4, -6, 6, 0, -8, -16, 0, 24, 26
-2,-4:-4, -6, 6, 0, -8, -16, 0, 24, 28
-2,-4:-4, -6, 6, 0, -8, -16, 0, 26, 20
-2,-4:-4, -6, 6, 0, -8, -16, 6, 14, 18
-2,-4:-4, -6, 6, 0, -8, -16, 6, 14, 20
-2,-4:-4, -6, 6, 0, -8, -16, 6, 22, 10
-2,-4:-4, -6, 6, 0, -8, -16, 6, 22, 12
-2,-4:-4, -6, 6, 0, -8, -16, 6, 22, 14
-2,-4:-4, -6, 6, 0, -8, -16, 12, 22, 6
-2,-4:-4, -6, 6, 0, -8, -16, 14, 10, 12
-2,-4:-4, -6, 6, 0, -8, -16, 14, 10, 14
-2,-4:-4, -6, 6, 0, -8, -16, 14, 10, 16
-6,13:-4, -6, 6, 10, -14, -4, -2, 4, -10
19,2:-4, -4, 6, 6, 12, 0, 6, -8, -4
7,-3:-4, 4, -2, -8, -10, -4, 2, -10, 0
7,-3:-4, 4, -2, -8, -10, -4, 2, -4, -10
7,-3:-4, 4, -2, -8, -10, -4, 2, -4, -6
7,-3:-4, 4, -2, -8, -10, -4, 2, -4, 0
12,7:6, 6, 2, -6, 12, 8, 6, -6, 6
12,7:6, 6, 2, -6, 12, 8, 6, -6, 8
12,7:6, 6, 2, -6, 12, 8, 6, -6, 10
12,7:6, 6, 2, -6, 12, 8, 12, 6, -6
18,11:6, 6, 6, -8, 6, 4, 16, -8, 2
18,11:6, 6, 6, -8, 6, 4, 16, -8, 6
-2,-4:-4, -6, 6, 0, -8, -16, 24, 20, 14, 12
-2,-4:-4, -6, 6, 0, -8, -16, 24, 20, 14, 22
7,5:-4, -4, -8, -4, -12, -4, -10, 2, 4, 4
4,-21:-4, -4, -8, 8, -6, 4, -12, 0, -18, -26
19,2:-4, -4, 6, 6, 12, 0, 6, -8, -10, -10
19,2:-4, -4, 6, 6, 12, 0, 6, -6, -8, -8
19,2:-4, -4, 6, 6, 12, 0, 6, -6, -2, -2
18,7:-4, 0, -12, -12, 0, 0, -12, 2, 0, -12
3,-5:-4, 0, -8, 6, -4, -8, 4, 2, 2, -2
3,-5:-4, 0, -8, 6, -4, -8, 4, 2, 2, 0
3,-5:-4, 0, -8, 6, -4, -8, 4, 2, 2, 2
11,4:-4, 0, 6, -6, -8, -4, -4, -14, -6, 2
11,4:-4, 0, 6, -6, -8, -4, -4, -14, -6, 4
11,4:-4, 0, 6, -6, -8, -4, -4, 4, -14, -6
-5,10:-4, 0, 6, 2, -2, -6, -10, -2, 8, -14
16,11:-4, 2, 6, 0, 4, 2, 14, 8, 10, 16
16,11:-4, 2, 6, 0, 4, 2, 14, 8, 10, 18
16,11:-4, 2, 6, 0, 4, 2, 14, 8, 10, 20
9,-3:-4, 2, 6, 6, 12, 6, 18, 8, 6, 4
-3,-5:-4, 4, -10, -8, -16, -18, -18, -8, 0, 22
-3,-5:-4, 4, -10, -8, -16, -18, -18, -8, 14, 14
-3,-5:-4, 4, -10, -8, -16, -18, -18, -8, 14, 16
-3,-5:-4, 4, -10, -8, -16, -18, -18, -8, 14, 18
-3,-5:-4, 4, -10, -8, -16, -18, -18, -8, 22, 0
-3,-5:-4, 4, -10, -8, -16, -18, -18, -8, 22, 2
-8,-1:-4, 4, -2, -14, 6, 2, 8, -4, 8, 32
-8,-1:-4, 4, -2, -14, 6, 2, 8, -4, 8, 34
-8,-1:-4, 4, -2, -14, 6, 2, 8, -4, 32, 8
-8,-1:-4, 4, -2, -14, 6, 2, 8, -4, 32, 18
-8,-1:-4, 4, -2, -14, 6, 2, 8, 8, 32, -4
-8,-1:-4, 4, -2, -14, 6, 2, 8, 8, 32, -2
7,-3:-4, 4, -2, -8, -10, -4, 2, -10, -10, 0
7,-3:-4, 4, -2, -8, -10, -4, 2, -8, 0, -10
7,-3:-4, 4, -2, -8, -10, -4, 2, -6, -10, -6
7,-3:-4, 4, -2, -8, -10, -4, 2, -6, -10, -4
7,-3:-4, 4, -2, -8, -10, -4, 2, -6, -10, -2
7,-3:-4, 4, -2, -8, -10, -4, 2, -4, -8, -8
7,-3:-4, 4, -2, -8, -10, -4, 2, -4, -8, -6
1,-1:6, -4, -4, -6, 6, 0, -8, -16, 0, 22
1,-1:6, -4, -4, -6, 6, 0, -8, -16, 14, 14
1,-1:6, -4, -4, -6, 6, 0, -8, -16, 14, 16
1,-1:6, -4, -4, -6, 6, 0, -8, -16, 14, 18
1,-1:6, -4, -4, -6, 6, 0, -8, -16, 22, 0
1,-1:6, -4, -4, -6, 6, 0, -8, -16, 22, 2
22,5:6, -4, -4, -4, 6, 6, 12, 0, 6, -2
7,14:6, 6, -4, -4, 16, 4, 2, -4, -6, -6
-2,-6:6, 6, 2, -6, -6, 10, -18, -18, -2, 20
-2,-6:6, 6, 2, -6, -6, 10, -18, -18, 12, 12
-2,-6:6, 6, 2, -6, -6, 10, -18, -18, 12, 14
-2,-6:6, 6, 2, -6, -6, 10, -18, -18, 12, 16
-2,-6:6, 6, 2, -6, -6, 10, -18, -18, 20, -2
-2,-6:6, 6, 2, -6, -6, 10, -18, -18, 20, 0
12,7:6, 6, 2, -6, 12, 8, 6, -6, 14, 8
12,7:6, 6, 2, -6, 12, 8, 6, -6, 14, 10
12,7:6, 6, 2, -6, 12, 8, 6, -6, 14, 12
18,11:6, 6, 6, -8, 6, 4, 16, -8, 0, 0
18,11:6, 6, 6, -8, 6, 4, 16, -8, 4, 0
18,11:6, 6, 6, 6, 10, 22, -8, 4, 16, -8
-9,16:6, 6, 14, 10, 16, 10, 16, 14, 16, -4
