3,-5:-4, -6, -4, -10
6,-10:-4, 0, 4, 6, -18
11,-3:-4, 4, -8, -16, 2
11,-3:-4, 4, -8, 2, -16
-3,4:6, 6, 8, 6, 12
-2,3:-4, -6, 6, -8, -20, -6
-2,3:-4, -6, 6, -8, -12, -14
-2,3:-4, -6, 6, -8, -8, -18
-2,3:-4, -6, 6, -8, -8, -12
3,-5:-4, -4, 4, -4, -10, 2
3,-5:-4, -4, 4, -4, -10, 4
3,-5:-4, -4, 4, -4, -10, 6
3,-5:-4, -4, 6, -4, -10, 0
3,-5:-4, -4, 6, -4, -10, 10
10,-4:-4, 2, 6, 0, 14, -4
-8,-6:-4, 2, 6, 10, 0, 14
-8,-6:-4, 2, 6, 10, 0, 18
-8,-6:-4, 2, 6, 10, 14, 0
11,-3:-4, 4, -8, -16, -4, -4
11,-3:-4, 4, -8, -16, -4, -2
11,-3:-4, 4, -8, -16, 0, -4
-2,3:-4, 4, -8, -6, 6, -16
6,-2:6, -4, -4, -6, -4, -10
-1,12:6, 6, -2, 10, 0, 18
-1,12:6, 6, -2, 10, 18, 0
-8,7:6, 6, 2, -2, -4, 20
12,4:-4, -4, -8, -12, -14, -10, 8
12,4:-4, -4, -8, -12, -14, -10, 10
12,4:-4, -4, -8, -12, -14, 6, -10
12,4:-4, -4, -8, -12, -10, 6, -14
3,-5:-4, -4, 4, -4, -10, -2, 0
3,-5:-4, -4, 4, -4, -10, -2, 2
3,-5:-4, -4, 4, -4, -10, -2, 4
20,5:-4, -4, 8, 10, 0, -4, -10
3,-5:-4, -4, 10, 6, -4, -10, 2
3,-5:-4, -4, 10, 6, -4, -10, 4
3,-5:-4, -4, 10, 6, -4, -10, 6
-1,4:-4, 0, -12, -12, -4, 6, 10
-1,4:-4, 0, -12, -12, 6, 10, -4
-1,4:-4, 0, -12, -12, 6, 10, -2
-1,4:-4, 0, -12, -4, 6, 10, -12
-1,4:-4, 0, -12, 0, 6, 10, -12
1,12:-4, 0, -12, 0, 10, -2, 16
1,12:-4, 0, -12, 0, 10, 16, -2
-1,4:-4, 0, -8, -10, 6, 10, -8
-1,4:-4, 0, -8, -10, 6, 10, 2
-3,3:-4, 0, -8, -10, 8, -8, 12
-3,3:-4, 0, -8, -10, 8, -8, 16
-3,3:-4, 0, -8, -10, 8, -8, 22
-1,4:-4, 0, -8, -4, -2, 10, -12
3,-10:-4, 0, -8, 4, 14, -14, -6
-1,4:-4, 0, -8, 6, -8, 10, -10
-1,4:-4, 0, -8, 6, -8, 10, -6
-3,3:-4, 0, -8, 8, -8, 12, -10
-3,3:-4, 0, -8, 8, -8, 12, -6
3,7:-4, 0, -8, 8, 10, -8, 2
3,7:-4, 0, -8, 8, 10, 2, -8
-3,3:-4, 0, -2, 4, 0, -8, 4
1,12:-4, 0, 0, 10, -2, 16, -12
1,12:-4, 0, 0, 10, -2, 16, -10
1,12:-4, 0, 0, 10, -2, 16, -8
14,17:-4, 0, 2, -6, -14, -10, 8
22,6:-4, 0, 4, -6, 4, -18, -6
22,6:-4, 0, 4, -6, 4, -6, -18
-1,4:-4, 0, 6, -6, -18, 10, -4
-1,4:-4, 0, 6, -6, -4, 10, -18
10,0:-4, 0, 8, -2, -24, -12, 18
10,0:-4, 0, 8, -2, -24, 18, -12
5,-1:-4, 0, 8, 8, 12, -2, 20
5,-1:-4, 0, 8, 8, 12, -2, 22
4,20:-4, 2, 2, -14, -10, 16, 14
0,0:-4, 2, 2, -14, 0, -2, 6
0,0:-4, 2, 2, -14, 0, -2, 14
0,0:-4, 2, 2, -14, 0, 6, -2
5,0:-4, 2, 2, -8, -4, -6, 0
-2,3:-4, 2, 6, -14, -18, -18, 2
-2,3:-4, 2, 6, -14, -18, -6, -18
-2,3:-4, 2, 6, -14, -18, -6, -8
-2,3:-4, 2, 6, -14, -18, 2, -18
-2,3:-4, 2, 6, -14, -18, 2, -16
-2,3:-4, 2, 6, -14, -18, 2, -14
-8,-6:-4, 2, 6, 10, 0, 12, 12
-8,-6:-4, 2, 6, 10, 0, 16, 8
-8,-6:-4, 2, 6, 10, 0, 16, 10
-8,-6:-4, 2, 6, 10, 0, 16, 12
3,-3:-4, 4, -10, -12, -14, -2, -8
-2,3:-4, 4, -10, -12, 6, -14, -6
-2,3:-4, 4, -10, -12, 6, -14, -4
11,1:-4, 4, -10, -6, -4, -12, 0
11,1:-4, 4, -10, -6, -4, 0, -12
9,0:-4, 4, -10, -6, -2, -4, 0
9,0:-4, 4, -10, -6, -2, 0, -4
11,-3:-4, 4, -8, -16, -4, 0, -4
11,-3:-4, 4, -8, -16, -4, 0, -2
11,-3:-4, 4, -8, -16, 6, 6, 10
5,17:-4, 4, -8, -12, 6, 0, 4
8,-1:-4, 4, -8, 6, -4, -4, 10
24,-10:-4, 4, -4, -16, -14, -36, -24
24,-10:-4, 4, -4, -16, -14, -36, -22
24,-10:-4, 4, -4, -16, -14, -24, -36
27,-17:-4, 4, -4, -12, -10, -46, -28
27,-17:-4, 4, -4, -12, -10, -46, -26
27,-17:-4, 4, -4, -12, -10, -46, -24
27,-17:-4, 4, -4, -12, -10, -28, -46
-2,3:-4, 4, -2, -12, 6, -16, -6
3,-5:-4, 4, 4, -6, -4, -10, 14
5,9:-4, 4, 4, 6, -14, -10, 2
5,9:-4, 4, 4, 6, -14, 2, -10
5,9:-4, 4, 4, 6, -14, 2, -8
5,9:-4, 4, 4, 6, -14, 2, -6
9,-7:6, -4, -4, 0, 4, 6, -18
14,0:6, -4, -4, 4, -8, -16, 2
14,0:6, -4, -4, 4, -8, 2, -16
0,7:6, -4, 6, 6, 8, 6, 12
-4,-7:6, 6, -4, -4, -8, -16, 2
-4,-7:6, 6, -4, -4, -8, 2, -16
-4,-7:6, 6, -4, -4, -8, 2, -12
-2,11:6, 6, -4, -4, 2, -12, 6
5,-1:6, 6, -2, -4, 10, 8, 18
-1,12:6, 6, -2, 10, 2, 18, 6
-1,12:6, 6, -2, 10, 6, 18, 4
-1,12:6, 6, -2, 10, 6, 18, 6
-3,4:6, 6, 6, -4, 6, 12, -8
-3,4:6, 6, 6, -4, 6, 12, 2
-3,4:6, 6, 6, -2, 6, 12, -4
-3,4:6, 6, 6, -2, 6, 12, -2
-3,4:6, 6, 6, -2, 6, 12, 0
5,-1:6, 6, 8, -4, 10, 10, 14
5,-1:6, 6, 8, -4, 10, 10, 20
5,-1:6, 6, 8, -4, 10, 14, 16
5,-1:6, 6, 8, -4, 10, 22, 8
17,1:-4, -14, -12, 14, -12, -14, -12, -18
-10,17:-4, -14, -8, 20, 12, 24, 14, 32
-10,17:-4, -14, -8, 20, 12, 24, 32, 14
-17,12:-4, -14, -8, 20, 16, 12, 10, 34
8,7:-4, -14, 10, -2, 0, -2, 4, 12
8,7:-4, -14, 10, -2, 0, -2, 4, 14
8,7:-4, -14, 10, -2, 0, -2, 4, 16
-3,3:-4, -14, 10, 10, 8, 10, 4, -8
-3,3:-4, -14, 10, 10, 8, 10, 4, -6
-3,3:-4, -14, 10, 10, 8, 10, 4, -4
-8,11:-4, -14, 10, 10, 16, 20, 0, 4
-8,11:-4, -14, 10, 10, 16, 20, 0, 6
10,15:-4, -14, 14, -2, -10, 2, -8, 10
10,15:-4, -14, 14, -2, -10, 2, 10, -8
3,10:-4, -14, 14, -2, -6, -10, -12, 12
13,0:-4, -12, -8, -14, 0, -14, -24, -8
27,3:-4, -12, -8, -14, 0, -14, -4, -26
5,0:-4, -12, -6, -16, -6, -10, 8, 8
6,-3:-4, -12, -6, -2, -10, -8, -4, 0
6,-3:-4, -12, -6, -2, -10, -8, 0, -4
10,-2:-4, -12, -6, -2, -4, -8, -14, -2
10,-2:-4, -12, -6, -2, -4, -8, -14, 0
10,-2:-4, -12, -6, -2, -4, -8, -2, -14
1,-4:-4, -12, -4, -8, -6, -4, -6, 0
9,-4:-4, -12, -4, 2, 6, 4, 2, -8
1,-4:-4, -12, -4, 6, -8, 6, 6, 2
1,7:-4, -12, -4, 6, -8, 16, 12, 4
1,7:-4, -12, -4, 6, 16, 12, 4, -8
-2,3:-4, -12, 0, -12, -8, 6, -10, -12
-2,3:-4, -12, 0, -12, -8, 6, -10, -10
-2,3:-4, -12, 0, -12, -8, 6, -10, -8
17,3:-4, -12, 0, -10, -2, 0, -16, 2
17,3:-4, -12, 0, -10, -2, 0, 2, -16
7,18:-4, -12, 0, -4, -10, 2, -4, 16
7,18:-4, -12, 0, -4, -10, 2, 16, -4
18,-10:-4, -12, 0, -2, -6, -30, -12, -14
18,-10:-4, -12, 0, -2, -6, -12, -14, -30
6,17:-4, -12, 0, -2, 4, 2, 8, 16
8,-2:-4, -12, 4, -6, -8, -6, -12, 2
8,0:-4, -12, 4, -6, -8, 4, 8, -10
12,9:-4, -12, 4, 4, -8, -12, -12, 2
12,9:-4, -12, 4, 4, -8, -12, 2, -12
-2,3:-4, -12, 4, 6, -8, -14, -10, -14
-6,3:-4, -6, -14, -2, 8, 10, 8, 14
2,4:-4, -6, -14, 2, 4, 6, 8, 0
1,2:-4, -6, -14, 2, 6, 6, 12, -2
11,-11:-4, -6, -8, -20, -20, -20, -18, -24
10,-20:-4, -6, -8, -16, -28, -28, -8, -24
10,-20:-4, -6, -8, -16, -28, -28, 2, -20
10,-20:-4, -6, -8, -16, -28, -28, 2, -18
2,-15:-4, -6, -8, -16, -16, -18, -12, -6
2,-15:-4, -6, -8, -16, -16, -18, -12, 4
2,-15:-4, -6, -8, -16, -16, -18, -6, -12
9,2:-4, -6, -8, -10, -12, -24, -28, -2
9,2:-4, -6, -8, -10, -12, -24, -2, -28
9,-5:-4, -6, -8, -6, -12, -16, -8, -4
9,-5:-4, -6, -8, -6, -12, -16, -8, -2
9,-5:-4, -6, -8, -6, -12, -16, -8, 0
9,-5:-4, -6, -8, -6, -12, -16, -6, -14
9,-5:-4, -6, -8, -6, -12, -16, -6, -10
9,-5:-4, -6, -8, -6, -12, -16, -2, -10
9,-5:-4, -6, -8, -6, -12, -16, -2, -8
9,-5:-4, -6, -8, -6, -12, -16, -2, -6
9,-5:-4, -6, -8, -6, -10, -16, -6, 2
9,-5:-4, -6, -8, -6, 4, -10, -16, -2
9,-5:-4, -6, -8, -6, 4, -10, -16, 0
9,-5:-4, -6, -8, -6, 4, -10, -16, 2
6,-4:-4, -6, -6, -16, -6, 2, 4, -12
-4,-2:-4, -6, -6, -16, 0, -6, 0, 8
-2,-1:-4, -6, -6, -16, 0, 2, -2, 6
1,-6:-4, -6, -6, -14, 0, -2, -4, -6
6,-7:-4, -6, -6, -4, 2, -10, -16, -4
-1,7:-4, -6, -6, -4, 10, -4, -8, 6
-1,7:-4, -6, -6, -4, 10, -4, 6, -8
9,-7:-4, -6, -6, 0, -8, -18, -4, 2
9,-7:-4, -6, -6, 0, -8, -18, -4, 6
9,-7:-4, -6, -6, 0, -8, -18, 6, -4
-3,-3:-4, -6, -6, 0, -4, -14, -2, -10
-3,-3:-4, -6, -6, 0, -4, -14, -2, -8
-3,-3:-4, -6, -6, 0, -4, -2, -10, -10
-7,-7:-4, -6, -6, 0, 0, -6, -6, -4
9,-7:-4, -6, -6, 0, 2, -8, -18, 4
9,-7:-4, -6, -6, 0, 2, -8, -18, 6
-3,-3:-4, -6, -6, 0, 2, -8, -2, -12
-3,-3:-4, -6, -6, 0, 2, -8, -2, -10
0,-6:-4, -6, -6, 2, -10, -20, -4, -20
0,-6:-4, -6, -6, 2, -10, -16, -4, -24
0,-6:-4, -6, -6, 2, -10, -16, -4, -22
0,-6:-4, -6, -6, 2, -10, -16, -4, -20
-2,-4:-4, -6, -6, 2, 2, -4, -14, -4
-2,-4:-4, -6, -6, 2, 2, -4, -4, -14
-2,-4:-4, -6, -6, 2, 2, -4, -4, -12
-2,-4:-4, -6, -6, 2, 2, -4, -4, -10
2,-4:-4, -6, -4, -10, 0, -4, -2, -8
5,-7:-4, -6, -4, -8, -14, -12, -16, -14
4,-8:-4, -6, -4, -6, -8, -10, -8, -14
8,-14:-4, -6, 0, -8, -6, -2, 0, -24
13,-7:-4, -6, 0, -8, -2, -14, -22, -4
13,-7:-4, -6, 0, -8, -2, -14, -4, -22
5,-14:-4, -6, 0, -2, -26, -16, -14, -30
5,-14:-4, -6, 0, -2, -26, -16, -14, -28
5,-14:-4, -6, 0, -2, -26, -16, -14, -26
25,-10:-4, -6, 0, -2, -16, -32, -30, -22
25,-10:-4, -6, 0, -2, -16, -32, -30, -20
5,-14:-4, -6, 0, -2, -16, -32, -14, -38
5,-14:-4, -6, 0, -2, -16, -32, -14, -36
-2,3:-4, -6, 6, -8, -20, -20, -12, -6
-2,3:-4, -6, 6, -8, -20, -20, -10, -14
-2,3:-4, -6, 6, -8, -20, -20, -10, -12
-2,3:-4, -6, 6, -8, -20, -12, -8, -6
-2,3:-4, -6, 6, -8, -20, -12, -8, -4
10,2:-4, -6, 6, -8, -20, -12, -4, 2
-2,3:-4, -6, 6, -8, -20, -10, -10, -8
-2,3:-4, -6, 6, -8, -20, -10, -10, -6
-2,3:-4, -6, 6, -8, -20, -10, -10, -4
-2,3:-4, -6, 6, -8, -20, -10, -6, -16
-2,3:-4, -6, 6, -8, -20, -10, -6, -6
-2,3:-4, -6, 6, -8, -20, -8, -12, -18
-2,3:-4, -6, 6, -8, -20, -8, -12, -16
-2,3:-4, -6, 6, -8, -20, -8, -12, -14
-2,3:-4, -6, 6, -8, -18, -20, 0, -6
-2,3:-4, -6, 6, -8, -18, -20, 0, -4
-2,3:-4, -6, 6, -8, -18, -20, 0, -2
-2,3:-4, -6, 6, -8, -18, -14, -24, -10
-2,3:-4, -6, 6, -8, -18, -14, -10, -24
-2,3:-4, -6, 6, -8, -18, -14, -10, -14
-2,3:-4, -6, 6, -8, -12, -24, -20, -8
-2,3:-4, -6, 6, -8, -12, -24, -20, -6
-2,3:-4, -6, 6, -8, -12, -24, -8, -20
-2,3:-4, -6, 6, -8, -12, -24, -8, -14
-2,3:-4, -6, 6, -8, -12, -12, -18, -12
13,-3:-4, -6, 6, -8, -12, -12, -18, 4
-2,3:-4, -6, 6, -8, -12, -12, -16, -18
-2,3:-4, -6, 6, -8, -12, -12, -14, -14
-2,3:-4, -6, 6, -8, -12, -12, -14, -12
-2,3:-4, -6, 6, -8, -12, -12, -14, -10
-2,3:-4, -6, 6, -8, -12, -12, -8, -18
-2,3:-4, -6, 6, -8, -12, -12, -8, -12
-2,3:-4, -6, 6, -8, -12, -12, -8, -10
13,-3:-4, -6, 6, -8, -12, -12, 4, -18
-2,3:-4, -6, 6, -8, -10, -20, -4, -10
-2,3:-4, -6, 6, -8, -10, -20, -4, -8
-2,3:-4, -6, 6, -8, -10, -20, -4, -6
-2,3:-4, -6, 6, -8, -8, -22, -16, -24
-2,3:-4, -6, 6, -8, -8, -16, -24, -22
-2,3:-4, -6, 6, -8, -8, -16, -24, -20
-2,3:-4, -6, 6, -8, -8, -16, -24, -18
-2,3:-4, -6, 6, -8, 0, -12, -20, -2
4,-1:-4, -6, 6, -2, -4, -6, 0, 14
4,-1:-4, -6, 6, -2, -4, -6, 0, 16
4,-1:-4, -6, 6, -2, -4, -6, 0, 18
4,-1:-4, -6, 6, -2, -4, -6, 14, 0
9,6:-4, -6, 6, 0, 8, 10, 20, 6
20,1:-4, -6, 6, 0, 14, 0, -16, -14
8,-4:-4, -6, 6, 10, -4, -12, -14, 6
8,-4:-4, -6, 6, 10, -4, -12, -14, 8
8,-4:-4, -6, 6, 10, -4, -12, -14, 10
8,-4:-4, -6, 6, 10, -4, -12, 6, -14
3,10:-4, -4, -14, -2, 8, 2, 12, -4
3,10:-4, -4, -14, -2, 8, 2, 12, 0
12,4:-4, -4, -8, -12, -14, -10, 14, 8
12,4:-4, -4, -8, -12, -14, -10, 14, 10
12,4:-4, -4, -8, -12, -14, -10, 14, 12
14,-9:-4, -4, -8, -10, -20, -16, -18, -10
14,-9:-4, -4, -8, -10, -20, -16, -18, 0
14,-9:-4, -4, -8, -10, -20, -16, -10, -18
5,15:-4, -4, -8, -10, -20, -6, 8, 8
12,21:-4, -4, -8, 2, -12, -14, -12, 12
13,-3:-4, -4, -6, -2, -8, -30, -18, -6
13,-3:-4, -4, -6, -2, -8, -18, -6, -30
3,-6:-4, -4, -4, 10, 10, 4, 8, 6
5,18:-4, -4, -4, 12, -2, -12, 2, 18
3,-5:-4, -4, -2, 8, -2, -4, -10, 2
3,-5:-4, -4, -2, 8, -2, -4, -10, 4
3,-5:-4, -4, -2, 8, -2, -4, -10, 6
3,-5:-4, -4, -2, 8, 2, -4, -10, 4
3,-5:-4, -4, -2, 8, 2, -4, -10, 6
3,10:-4, -4, -2, 8, 2, -4, 12, -4
3,10:-4, -4, -2, 8, 2, -4, 12, -2
3,10:-4, -4, -2, 8, 2, 0, 12, -14
3,10:-4, -4, -2, 8, 2, 0, 12, -4
3,-5:-4, -4, -2, 10, 2, -4, -10, 4
3,-5:-4, -4, -2, 10, 2, -4, -10, 6
3,-5:-4, -4, -2, 10, 2, -4, -10, 8
3,-5:-4, -4, 2, 8, 6, -4, -10, 0
3,-5:-4, -4, 2, 8, 6, -4, -10, 10
3,-5:-4, -4, 2, 12, -2, -4, -10, 14
3,-5:-4, -4, 4, -4, -10, -2, 8, 2
3,-5:-4, -4, 4, -4, -10, -2, 8, 4
3,-5:-4, -4, 4, -4, -10, -2, 8, 6
3,-5:-4, -4, 6, -4, -10, 6, 2, 10
3,-5:-4, -4, 6, -4, -10, 12, -16, 0
3,-5:-4, -4, 6, -4, -10, 12, -16, 8
3,-5:-4, -4, 6, -4, -10, 12, 0, -16
3,-5:-4, -4, 6, -4, -10, 12, 0, -8
3,-5:-4, -4, 8, 6, 10, -4, -10, 12
3,-5:-4, -4, 10, 6, -4, -10, -2, 0
3,-5:-4, -4, 10, 6, -4, -10, -2, 2
3,-5:-4, -4, 10, 6, -4, -10, -2, 4
7,2:-4, 0, -16, -6, 4, 6, 8, 0
1,12:-4, 0, -16, 0, 10, -2, 16, -14
1,12:-4, 0, -16, 0, 10, -2, 16, -12
1,12:-4, 0, -16, 0, 10, -2, 16, -10
10,-6:-4, 0, -16, 4, 0, -12, 10, -18
10,-6:-4, 0, -16, 4, 0, 10, -18, -12
10,-6:-4, 0, -16, 4, 0, 10, -18, -8
10,-6:-4, 0, -16, 4, 0, 14, -18, 4
-1,4:-4, 0, -12, -12, -6, -6, 10, -8
-1,4:-4, 0, -12, -12, -6, -6, 10, 2
7,8:-4, 0, -12, -12, -6, 4, -2, 2
-1,4:-4, 0, -12, -12, -6, 6, 10, -4
-1,4:-4, 0, -12, -12, -6, 6, 10, -2
-1,4:-4, 0, -12, -12, 0, 6, 10, -4
-1,4:-4, 0, -12, -12, 0, 6, 10, -2
-1,4:-4, 0, -12, -12, 6, 2, 10, 4
5,4:-4, 0, -12, -12, 6, 8, 4, 10
5,4:-4, 0, -12, -12, 6, 8, 10, 4
-3,5:-4, 0, -12, -12, 8, 4, 10, 6
-1,4:-4, 0, -12, -10, 6, 2, 10, -4
5,-6:-4, 0, -12, -6, -8, -20, -16, -6
1,12:-4, 0, -12, -6, 10, 0, 16, -12
5,-1:-4, 0, -12, 0, -8, 6, 4, 2
0,-12:-4, 0, -12, 0, 8, 2, -4, 2
0,-12:-4, 0, -12, 0, 8, 2, -4, 4
8,1:-4, 0, -12, 2, -4, -8, -2, 4
8,1:-4, 0, -12, 2, -4, -8, 0, -2
5,-5:-4, 0, -12, 4, 4, -12, -8, 6
5,-5:-4, 0, -12, 4, 4, -12, -8, 8
5,-5:-4, 0, -12, 4, 4, -12, 0, 2
5,-5:-4, 0, -12, 4, 4, -12, 0, 6
5,-5:-4, 0, -12, 4, 4, -12, 4, -4
5,-5:-4, 0, -12, 4, 4, -12, 4, -2
5,-5:-4, 0, -12, 4, 4, 0, 6, -12
-2,9:-4, 0, -12, 4, 4, 0, 12, -2
-1,4:-4, 0, -12, 6, 2, 10, -8, -16
-1,4:-4, 0, -12, 6, 2, 10, -8, -14
-1,4:-4, 0, -12, 6, 2, 10, -8, -12
4,10:-4, 0, -12, 6, 4, 8, 6, 4
5,4:-4, 0, -12, 6, 8, 4, 10, -12
-1,-12:-4, 0, -12, 10, -22, 0, -12, -6
-7,-19:-4, 0, -12, 10, -20, -6, 2, 2
7,-19:-4, 0, -12, 10, 4, 8, 0, -28
1,2:-4, 0, -8, -10, -4, -2, 2, 6
-1,4:-4, 0, -8, -10, -4, -2, 10, -10
-1,4:-4, 0, -8, -10, -4, -2, 10, -8
2,9:-4, 0, -8, -10, -4, 10, -2, 12
2,9:-4, 0, -8, -10, -4, 10, 12, -2
10,7:-4, 0, -8, -10, -2, 0, 4, 2
-1,4:-4, 0, -8, -10, -2, 0, 10, -6
-1,4:-4, 0, -8, -10, -2, 0, 10, -4
8,2:-4, 0, -8, -10, 6, -4, -8, 4
8,2:-4, 0, -8, -10, 6, -4, 4, -8
-1,4:-4, 0, -8, -10, 6, -4, 10, 0
-3,3:-4, 0, -8, -10, 8, -8, 14, 14
-3,3:-4, 0, -8, -10, 8, -8, 14, 16
-1,4:-4, 0, -8, -4, -8, 2, 10, -14
1,2:-4, 0, -8, -4, -2, 2, 6, -10
1,2:-4, 0, -8, -4, -2, 2, 6, -6
-1,4:-4, 0, -8, -4, 2, -2, 10, -14
2,9:-4, 0, -8, -4, 10, -2, 12, -10
2,9:-4, 0, -8, -4, 10, -2, 12, -6
14,-10:-4, 0, -8, -2, -14, -8, -26, -14
14,-10:-4, 0, -8, -2, -14, -8, -26, -10
14,-10:-4, 0, -8, -2, -14, -8, -14, -26
10,7:-4, 0, -8, -2, 0, 4, 2, -10
1,-2:-4, 0, -8, 4, 14, -14, -14, 2
3,-10:-4, 0, -8, 4, 14, -14, -8, -4
3,-10:-4, 0, -8, 4, 14, -14, -2, -6
3,-10:-4, 0, -8, 4, 14, -14, -2, -4
3,-10:-4, 0, -8, 4, 14, -14, -2, -2
3,-10:-4, 0, -8, 4, 14, -14, 0, 2
1,-2:-4, 0, -8, 4, 14, -14, 2, -14
3,-10:-4, 0, -8, 4, 14, -14, 2, -4
-4,-14:-4, 0, -8, 6, -14, -12, 2, -6
-1,4:-4, 0, -8, 6, -8, -4, 10, -12
-1,4:-4, 0, -8, 6, -8, -4, 10, -10
-1,4:-4, 0, -8, 6, -8, -4, 10, -8
-1,4:-4, 0, -8, 6, -2, -12, 10, -6
-1,4:-4, 0, -8, 6, -2, -12, 10, -2
0,0:-4, 0, -8, 6, 8, -12, -4, 2
0,0:-4, 0, -8, 6, 8, -12, 2, -4
0,0:-4, 0, -8, 6, 8, -12, 2, -2
-3,3:-4, 0, -8, 8, -8, -4, 12, -12
-3,3:-4, 0, -8, 8, -8, -4, 12, -10
-3,3:-4, 0, -8, 8, -8, -4, 12, -8
3,7:-4, 0, -8, 8, 10, 0, 2, -10
3,7:-4, 0, -8, 8, 10, 0, 2, -6
3,14:-4, 0, -4, 8, 6, 12, -4, -14
-3,-3:-4, 0, -4, 10, 6, -4, -2, 6
-3,-3:-4, 0, -4, 10, 6, -4, -2, 8
-3,-3:-4, 0, -4, 10, 6, -4, -2, 10
-3,3:-4, 0, -2, 4, -8, 8, 4, -10
-3,3:-4, 0, -2, 4, -8, 8, 4, -8
-3,3:-4, 0, -2, 4, -8, 8, 4, -6
-5,14:-4, 0, -2, 4, -2, -8, 12, 24
-5,14:-4, 0, -2, 4, -2, -8, 24, 12
-5,14:-4, 0, -2, 4, -2, -8, 24, 20
11,4:-4, 0, -2, 4, 8, 12, 2, 0
-4,-9:-4, 0, -2, 6, 6, 8, -12, -10
-1,4:-4, 0, 0, -6, 4, -12, 10, -6
6,1:-4, 0, 0, 8, 12, 6, -14, -16
23,12:-4, 0, 0, 10, 10, -26, -8, -6
23,12:-4, 0, 0, 10, 10, -8, -6, -26
23,12:-4, 0, 0, 10, 10, -8, -6, -24
23,12:-4, 0, 0, 10, 10, -8, -6, -22
11,-4:-4, 0, 4, -6, -16, -2, -8, -10
8,3:-4, 0, 4, -4, -6, -16, 0, -12
-1,4:-4, 0, 6, -6, -20, -12, 10, -2
-1,4:-4, 0, 6, -6, -20, -6, 10, -6
-1,4:-4, 0, 6, -6, -20, -4, 10, -24
-1,4:-4, 0, 6, -6, -20, -4, 10, -22
-1,4:-4, 0, 6, -6, -18, -8, 10, -2
-1,4:-4, 0, 6, -6, -18, -6, 10, -10
-1,4:-4, 0, 6, -6, -18, -6, 10, -8
-1,4:-4, 0, 6, -6, -14, -16, 10, -14
-1,4:-4, 0, 6, -6, -14, -8, 10, -14
-1,4:-4, 0, 6, -6, -14, -8, 10, -4
-1,4:-4, 0, 6, -6, -14, -6, 10, -6
