-1,0:-4, -6, 6, 6, 2, -8, -16, -4
4,-2:-4, 0, -2, 4, 0, 6, 10, 0
4,-2:-4, 0, -2, 4, 0, 6, 10, 6
27,-4:-4, 0, 0, 8, 12, 10, 4, -16
4,-5:-4, 2, 0, -8, -14, -14, 4, -10
11,-4:-4, 4, -2, -12, -2, -2, -2, 8
6,-9:-4, -6, -8, -4, -14, -20, -20, -2, -16
0,5:-4, -6, -6, 0, -6, -6, 2, 6, 0
20,-2:-4, -6, 6, -8, -20, -14, 14, 6, -6
20,-2:-4, -6, 6, -8, -20, -14, 14, 6, -4
20,-2:-4, -6, 6, -8, -20, -14, 14, 6, -2
-2,-1:-4, -6, 6, 0, -8, 14, -10, -20, -10
-2,-1:-4, -6, 6, 0, -8, 14, -10, -6, -10
-1,0:-4, -6, 6, 6, 2, -8, -16, -12, -4
5,15:-4, -4, -8, 8, 12, -12, -14, -8, 10
5,15:-4, -4, -8, 8, 12, -12, -14, 10, -8
5,15:-4, -4, -8, 8, 12, -12, -14, 10, -6
5,15:-4, -4, -8, 8, 12, -12, -12, 10, -8
5,15:-4, -4, -8, 8, 12, -12, -8, 10, -14
4,-1:-4, 0, -4, 8, -6, -4, -10, -10, -2
4,-2:-4, 0, -2, 4, 0, 6, 10, 4, 6
4,-2:-4, 0, -2, 4, 0, 6, 10, 4, 8
6,-7:-4, 4, -10, -12, 6, 10, 4, 4, 10
10,-3:-4, 4, -8, -12, -14, -16, -14, -14, -14
11,-4:-4, 4, -2, -12, -2, -2, -2, -2, 10
11,-4:-4, 4, -2, -12, -2, -2, -2, -2, 12
11,-4:-4, 4, -2, -12, -2, -2, -2, -2, 14
11,-4:-4, 4, -2, -12, -2, -2, -2, 10, -2
11,-4:-4, 4, -2, -12, -2, -2, -2, 10, 0
11,-4:-4, 4, -2, -12, -2, -2, -2, 10, 2
-3,5:6, 6, -4, 2, 10, 16, 16, -2, 12
-2,12:6, 6, -2, 4, 8, 4, 4, 4, -6
-2,28:6, 6, 2, -6, 2, -10, -8, -2, 18
0,5:6, 6, 2, 4, -2, 2, -4, -8, -4
0,5:6, 6, 2, 4, -2, 2, -4, -8, 2
2,0:6, 6, 8, -4, -4, 0, 10, 18, 6
20,-2:-4, -6, 6, -8, -20, -14, 14, 6, 2, -4
20,-2:-4, -6, 6, -8, -20, -14, 14, 6, 2, -2
20,-2:-4, -6, 6, -8, -20, -14, 14, 6, 2, 0
-2,-1:-4, -6, 6, 0, -8, 14, -10, -20, -6, -2
-2,-1:-4, -6, 6, 0, -8, 14, -10, -20, -4, -6
-2,-1:-4, -6, 6, 0, -8, 14, -10, -14, -4, -22
-2,-1:-4, -6, 6, 0, -8, 14, -10, -6, -2, -20
-2,-1:-4, -6, 6, 0, -8, 14, -10, -6, -2, -10
-1,0:-4, -6, 6, 6, 2, -8, -16, -14, -8, -12
-1,0:-4, -6, 6, 6, 2, -8, -16, -8, -6, -6
-1,0:-4, -6, 6, 6, 2, -8, -16, -8, -6, -4
-1,0:-4, -6, 6, 6, 2, -8, -16, -8, -4, -12
-1,0:-4, -6, 6, 6, 2, -8, -16, -8, -4, -10
-1,0:-4, -6, 6, 6, 2, -8, -16, -8, -4, -8
-6,22:-4, -4, -14, -2, 12, 2, -2, 16, 10, 0
-6,22:-4, -4, -14, -2, 12, 2, -2, 16, 10, 2
-6,22:-4, -4, -14, -2, 12, 2, -2, 16, 10, 4
-2,4:-4, -4, -14, 8, 4, 12, 10, -2, 2, -14
-2,4:-4, -4, -14, 8, 4, 12, 10, -2, 2, -12
13,1:-4, -4, -14, 8, 10, 6, 10, 2, -2, -22
19,15:-4, -4, -8, 6, -2, -2, -10, 4, 10, 10
5,15:-4, -4, -8, 8, 12, -12, -14, 10, -2, -2
5,15:-4, -4, -8, 8, 12, -12, -14, 10, -2, 2
5,15:-4, -4, -8, 8, 12, -12, -14, 10, 0, -2
5,15:-4, -4, -8, 8, 12, -12, -14, 10, 4, 0
5,15:-4, -4, -8, 8, 12, -12, -14, 10, 4, 2
5,15:-4, -4, -8, 8, 12, -12, -14, 10, 4, 4
5,15:-4, -4, -8, 8, 12, -12, -12, -12, 10, -2
5,15:-4, -4, -8, 8, 12, -12, -12, -12, 10, 0
5,15:-4, -4, -8, 8, 12, -12, -12, -12, 10, 2
5,15:-4, -4, -8, 8, 12, -12, -12, -6, 10, -10
5,15:-4, -4, -8, 8, 12, -12, -12, -6, 10, -8
5,15:-4, -4, -8, 8, 12, -12, -8, -10, 10, -16
5,15:-4, -4, -8, 8, 12, -12, 10, -2, -8, -10
4,0:-4, -4, -2, 4, -10, -6, -4, -4, 4, 6
4,0:-4, -4, -2, 4, -10, -6, -4, -4, 4, 10
4,0:-4, -4, -2, 4, -10, -6, -4, 4, 6, -4
5,7:-4, -4, -2, 4, -2, 0, 0, 4, 16, 18
3,0:-4, -4, 2, 12, 14, 0, 0, -2, 4, 6
3,0:-4, -4, 2, 12, 14, 0, 0, -2, 4, 8
9,10:-4, -4, 8, 0, 16, 6, 4, 10, -2, 14
9,10:-4, -4, 8, 0, 16, 6, 4, 10, 14, -2
3,11:-4, -4, 8, 10, 0, 0, 8, 6, 0, 2
0,6:-4, 0, -12, -4, 8, 6, -4, -6, -10, -4
0,6:-4, 0, -12, -4, 8, 6, -4, -6, -10, -2
0,6:-4, 0, -12, -4, 8, 6, -4, -6, -10, 0
0,6:-4, 0, -12, -4, 8, 6, -4, -6, -4, -10
0,6:-4, 0, -12, -4, 8, 6, -4, -6, -4, -8
0,6:-4, 0, -12, -4, 8, 6, -4, -6, -4, -6
-6,7:-4, 0, -12, -4, 10, -12, -2, 12, 10, -2
-1,13:-4, 0, -12, 0, -8, 0, -4, 8, 16, 14
-1,13:-4, 0, -12, 0, -8, 0, 8, 16, 14, -4
3,9:-4, 0, -12, 4, -4, -4, -14, -4, -4, -14
-2,5:-4, 0, -12, 4, 4, -12, 6, -6, 2, -10
-7,-10:-4, 0, -12, 10, -10, 6, 8, -4, -12, -16
-7,-10:-4, 0, -12, 10, -10, 6, 8, -4, -4, -8
-8,14:-4, 0, -8, -4, 8, 6, 4, 4, 10, 22
-8,14:-4, 0, -8, -4, 8, 6, 4, 4, 22, 10
3,5:-4, 0, -8, -2, -14, -12, -10, -16, -22, -12
-2,-11:-4, 0, -8, 6, -14, -12, -8, -22, -8, -6
-2,-11:-4, 0, -8, 6, -14, -12, -8, -8, -6, -22
-2,-11:-4, 0, -8, 6, -14, -12, -8, -8, -6, -20
-5,7:-4, 0, -8, 6, 4, -6, 0, 6, 0, -8
8,-2:-4, 0, -8, 8, 10, 12, 2, -2, 4, -2
20,6:-4, 0, -4, 8, 12, 4, -6, -8, -36, -26
20,6:-4, 0, -4, 8, 12, 4, -6, -8, -36, -24
20,6:-4, 0, -4, 8, 12, 4, -6, -8, -28, -34
20,6:-4, 0, -4, 8, 12, 4, -6, -8, -26, -36
20,6:-4, 0, -4, 8, 12, 4, -6, -8, -26, -26
13,7:-4, 0, -4, 10, 8, 6, 8, 10, 2, 8
13,7:-4, 0, -4, 10, 8, 6, 8, 10, 2, 10
13,7:-4, 0, -4, 10, 8, 6, 8, 10, 2, 12
4,-2:-4, 0, -2, 4, 0, 6, 10, 4, 12, 6
4,-2:-4, 0, -2, 4, 0, 6, 10, 4, 12, 8
4,-2:-4, 0, -2, 4, 0, 6, 10, 4, 12, 10
4,-2:-4, 0, -2, 4, 0, 6, 10, 10, 4, 12
5,-10:-4, 0, -2, 4, 8, 12, 4, -8, -16, -22
5,-10:-4, 0, -2, 4, 8, 12, 4, -8, -16, -20
14,4:-4, 0, 0, 10, 6, 0, -4, 0, -14, 4
14,4:-4, 0, 0, 10, 6, 0, -4, 0, 4, -14
14,4:-4, 0, 0, 10, 6, 0, -4, 0, 4, -12
9,1:-4, 0, 0, 10, 14, 18, 10, 14, 12, 0
21,-2:-4, 0, 2, -6, -10, -16, -18, -10, -6, -10
21,-2:-4, 0, 2, -6, -10, -16, -18, -10, -6, -6
8,15:-4, 0, 4, -4, 2, 4, 8, 8, 18, 8
8,15:-4, 0, 4, -4, 2, 4, 8, 8, 18, 10
8,15:-4, 0, 4, -4, 2, 4, 8, 8, 18, 12
5,10:-4, 0, 6, -6, -8, -6, -12, 8, -8, -2
7,11:-4, 0, 6, 8, -2, -2, -4, 2, -6, -16
-7,-10:-4, 0, 10, -22, -4, 6, 8, -4, 0, -6
17,-4:-4, 2, 6, -8, -2, -16, -6, -14, -12, -24
7,2:-4, 2, 6, -8, 6, 10, -2, -8, -10, 10
7,2:-4, 2, 6, -8, 6, 10, -2, -8, -10, 12
7,2:-4, 2, 6, -8, 6, 10, -2, -8, 10, -10
4,-5:-4, 2, 6, 0, -8, -14, -14, 4, -10, 2
4,-5:-4, 2, 6, 0, -8, -14, -14, 4, -10, 12
8,-2:-4, 2, 6, 0, -8, -14, 6, 8, 10, 2
0,10:-4, 2, 6, 0, -8, -4, -10, -14, -2, -10
-5,5:-4, 2, 6, 2, -2, -4, 0, -4, 12, 4
9,0:-4, 4, -10, -12, 6, -4, -2, -4, 12, 6
6,-7:-4, 4, -10, -12, 6, 10, 4, 4, 0, 12
6,-7:-4, 4, -10, -12, 6, 10, 4, 4, 0, 14
6,-7:-4, 4, -10, -12, 6, 10, 4, 4, 0, 16
6,-7:-4, 4, -10, -12, 6, 10, 4, 4, 12, 0
6,-7:-4, 4, -10, -12, 6, 10, 4, 4, 12, 2
6,-7:-4, 4, -10, -12, 6, 10, 4, 4, 12, 4
14,10:-4, 4, -10, -8, -12, -20, -6, 6, -20, -18
11,7:-4, 4, -10, -6, -4, -8, 2, 12, 2, -18
6,-7:-4, 4, -10, 6, 10, -6, 4, 4, 10, -12
6,-7:-4, 4, -10, 6, 10, -6, 4, 4, 10, -10
6,-7:-4, 4, -10, 6, 10, -6, 4, 4, 10, -8
6,-3:-4, 4, -8, 6, -4, -6, -4, -16, -4, -6
6,-3:-4, 4, -8, 6, -4, -6, -4, -4, -6, -16
6,-3:-4, 4, -8, 6, -4, -6, -4, -4, -6, -14
6,-8:-4, 4, -4, -26, -22, -12, -10, -18, -10, -28
6,-8:-4, 4, -4, -26, -22, -12, -10, -18, -10, -26
17,-17:-4, 4, -4, -22, -30, -14, -10, -24, -20, -14
17,-17:-4, 4, -4, -22, -30, -14, -10, -24, -14, -16
17,-17:-4, 4, -4, -22, -30, -14, -10, -24, -14, -14
17,-17:-4, 4, -4, -22, -30, -14, -10, -24, -14, -12
17,-17:-4, 4, -4, -22, -30, -14, -10, -20, -14, -24
17,-17:-4, 4, -4, -22, -30, -14, -10, -20, -14, -22
9,3:-4, 4, -4, -18, -24, -10, 0, -18, -26, -16
9,3:-4, 4, -4, -18, -24, -10, 0, -18, -26, -14
9,3:-4, 4, -4, -18, -24, -10, 0, -18, -26, -12
9,3:-4, 4, -4, -18, -24, -10, 0, -18, -16, -26
1,3:-4, 4, -2, -14, -8, 2, 6, 8, 12, 2
11,-4:-4, 4, -2, -12, -2, -2, -2, -2, 6, 8
11,-4:-4, 4, -2, -12, -2, -2, -2, -2, 6, 10
11,-4:-4, 4, -2, -12, -2, -2, -2, -2, 6, 12
11,-4:-4, 4, -2, -12, -2, -2, -2, 6, 10, 0
11,-4:-4, 4, -2, -12, -2, -2, -2, 6, 10, 2
11,-4:-4, 4, -2, -12, -2, -2, -2, 6, 10, 4
1,3:-4, 4, -2, -8, 2, 6, 8, 12, 2, -14
1,3:-4, 4, -2, -8, 2, 6, 8, 12, 2, -4
5,1:-4, 4, 6, 2, -6, 0, 10, 0, 2, 4
5,1:-4, 4, 6, 2, -6, 0, 10, 0, 2, 6
5,1:-4, 4, 6, 2, 0, 10, 0, 2, 4, -10
5,1:-4, 4, 6, 2, 0, 10, 0, 2, 4, -8
4,-5:-4, 4, 6, 4, -8, -14, -14, 4, -10, 0
4,-5:-4, 4, 6, 4, -8, -14, -14, 4, -10, 2
2,3:6, -4, -4, -6, 6, 6, 2, -8, -16, -4
7,1:6, -4, -4, 0, -2, 4, 0, 6, 10, 0
7,1:6, -4, -4, 0, -2, 4, 0, 6, 10, 6
30,-1:6, -4, -4, 0, 0, 8, 12, 10, 4, -16
7,-2:6, -4, -4, 2, 0, -8, -14, -14, 4, -10
14,-1:6, -4, -4, 4, -2, -12, -2, -2, -2, 8
-2,12:6, 6, -2, 4, 8, 4, 4, 4, -12, 0
-2,12:6, 6, -2, 4, 8, 4, 4, 4, -12, 2
-2,12:6, 6, -2, 4, 8, 4, 4, 4, -12, 4
-2,12:6, 6, -2, 4, 8, 4, 4, 4, 0, -12
-2,12:6, 6, -2, 4, 8, 4, 4, 4, 0, -10
-2,12:6, 6, -2, 4, 8, 4, 4, 4, 0, -8
-1,11:6, 6, -2, 10, 14, 16, 18, 16, 16, 16
1,5:6, 6, 2, -6, 6, 8, 6, 12, 12, 4
0,5:6, 6, 2, 4, -2, 2, -4, -8, -2, -6
0,5:6, 6, 2, 4, -2, 2, -4, -8, -2, -4
17,6:6, 6, 6, -6, -10, 10, 14, -8, 8, 16
17,6:6, 6, 6, -6, -10, 10, 14, -8, 14, 10
17,6:6, 6, 6, -6, -10, 10, 14, -8, 16, 8
17,6:6, 6, 6, -6, -10, 10, 14, -8, 16, 10
17,6:6, 6, 6, -6, -10, 10, 14, 8, 16, -8
2,0:6, 6, 8, -4, -4, 0, 10, 18, 8, 6
1,-1:6, 6, 8, -4, 2, 10, -12, 12, 8, 12
1,-1:6, 6, 8, -4, 2, 10, -12, 12, 22, 12
0,21:6, 6, 8, -4, 10, 22, 16, -12, -4, 4
0,21:6, 6, 8, -4, 10, 22, 16, -12, -4, 6
0,21:6, 6, 8, -4, 10, 22, 16, -12, -4, 8
7,1:6, 6, 8, 8, 0, -4, 2, 8, 8, 2
-7,7:6, 6, 8, 10, 2, 16, 22, 22, 4, 18
