2,-3:-4, -6, -4, 0
3,-5:-4, -6, -4, -10, -6
5,-8:-4, 0, 4, 6, -8
10,-1:-4, 4, -8, -6, 2
10,-1:-4, 4, -8, 2, -6
-1,3:6, 6, 8, 6, 2
4,-8:-4, -6, 6, 10, -4, -2
6,-10:-4, 0, 4, 6, -18, -14
17,-2:-4, 0, 8, -2, -6, 18
17,-2:-4, 0, 8, -2, 18, -6
17,-2:-4, 0, 8, -2, 18, -4
-9,-4:-4, 2, 6, 10, 14, 10
11,-3:-4, 4, -8, -16, -12, 2
11,-3:-4, 4, -8, -16, 2, -12
10,-1:-4, 4, -8, -4, -6, -2
2,-3:-4, 4, -8, -4, 0, -10
2,-3:-4, 4, -8, -4, 0, -8
5,0:6, -4, -4, -6, -4, 0
1,11:6, 6, -2, 10, 0, 8
1,11:6, 6, -2, 10, 8, 0
-6,6:6, 6, 2, -2, -4, 10
-3,4:6, 6, 8, 6, 12, 8
3,-5:-4, -4, 4, -4, -10, -6, 4
3,-5:-4, -4, 4, -4, -10, -6, 6
3,-5:-4, -4, 6, -4, -10, -6, 0
3,-5:-4, -4, 6, -4, -10, -6, 10
22,4:-4, -4, 8, 10, 0, -4, -20
1,3:-4, 0, -12, -12, -4, 6, 0
7,3:-4, 0, -12, -10, -6, 6, 6
7,3:-4, 0, -12, -6, 6, 6, -10
3,11:-4, 0, -12, 0, 10, -2, 6
-7,-8:-4, 0, -12, 10, -2, -18, 12
-7,-8:-4, 0, -12, 10, -2, 12, -18
1,3:-4, 0, -8, 6, -8, 0, -10
1,3:-4, 0, -8, 6, -8, 0, -6
2,9:-4, 0, -8, 8, 10, -8, 12
2,9:-4, 0, -8, 8, 10, 12, -8
-4,5:-4, 0, -2, 4, 0, -8, 14
3,11:-4, 0, 0, 10, -2, 6, -12
3,11:-4, 0, 0, 10, -2, 6, -10
3,11:-4, 0, 0, 10, -2, 6, -8
16,16:-4, 0, 2, -6, -14, -10, -2
16,16:-4, 0, 2, -6, -14, -2, -10
16,16:-4, 0, 2, -6, -14, -2, -6
21,8:-4, 0, 4, -6, 4, -6, -8
1,3:-4, 0, 6, -6, -4, 0, -18
11,-2:-4, 0, 6, 4, -6, -2, -12
9,2:-4, 0, 8, -2, -24, -2, 18
-1,-4:-4, 0, 8, -2, -24, -2, 22
9,2:-4, 0, 8, -2, -24, 18, -2
17,-2:-4, 0, 8, -2, -8, 18, -6
17,-2:-4, 0, 8, -2, -8, 18, -4
17,-2:-4, 0, 8, -2, -6, 2, 10
17,-2:-4, 0, 8, -2, -6, 2, 20
17,-2:-4, 0, 8, -2, -6, 10, 2
17,-2:-4, 0, 8, -2, -6, 10, 6
9,2:-4, 0, 8, -2, -2, 18, -24
9,2:-4, 0, 8, -2, -2, 18, -18
9,2:-4, 0, 8, -2, -2, 18, -16
17,-2:-4, 0, 8, -2, -2, 18, -6
17,-2:-4, 0, 8, -2, -2, 18, -4
-1,-4:-4, 0, 8, -2, -2, 22, -24
-1,-4:-4, 0, 8, -2, -2, 22, -18
-1,-4:-4, 0, 8, -2, -2, 22, -16
17,-2:-4, 0, 8, -2, -2, 22, -8
17,-2:-4, 0, 8, -2, -2, 22, -2
17,-2:-4, 0, 8, -2, -2, 22, 0
17,-2:-4, 0, 8, -2, 22, -6, 8
17,-2:-4, 0, 8, -2, 22, -6, 12
17,-2:-4, 0, 8, -2, 22, 8, -6
-7,-8:-4, 0, 10, -2, -18, 12, -12
-7,-8:-4, 0, 10, -2, -18, 12, -10
-7,-8:-4, 0, 10, -2, -18, 12, -8
3,22:-4, 2, 2, -14, -10, 16, 24
-1,2:-4, 2, 2, -14, 0, 6, 8
7,-1:-4, 2, 2, -8, -4, -6, -10
10,-4:-4, 2, 6, 0, 14, -12, -4
10,-4:-4, 2, 6, 0, 14, -4, -12
-8,-6:-4, 2, 6, 10, 0, 4, 14
-8,-6:-4, 2, 6, 10, 0, 4, 18
-8,-6:-4, 2, 6, 10, 0, 14, 4
2,-1:-4, 4, -10, -12, -14, -2, 2
11,-1:-4, 4, -10, -6, -14, -2, 0
10,3:-4, 4, -10, -6, -4, 0, -2
11,-1:-4, 4, -10, -6, -2, 0, -14
17,2:-4, 4, -10, 0, -14, -24, 0
17,2:-4, 4, -10, 0, -14, 0, -24
11,-1:-4, 4, -10, 0, -6, -14, -2
11,-3:-4, 4, -8, -16, -12, -4, -4
11,-3:-4, 4, -8, -16, -12, -4, -2
11,-3:-4, 4, -8, -16, -12, 0, -4
2,-3:-4, 4, -8, -16, -4, 0, -10
2,-3:-4, 4, -8, -14, -4, 0, -16
-2,3:-4, 4, -8, -6, 6, 6, -16
2,-3:-4, 4, -8, -4, -12, 0, -12
2,-3:-4, 4, -8, -4, -12, 0, -10
2,-3:-4, 4, -8, -4, -12, 0, -8
2,-3:-4, 4, -8, -4, -6, 0, -10
2,-3:-4, 4, -8, -4, -6, 0, -8
10,-1:-4, 4, -8, -4, -6, 0, -2
23,-8:-4, 4, -4, -16, -14, -26, -22
23,-8:-4, 4, -4, -16, -14, -24, -26
26,-15:-4, 4, -4, -12, -10, -36, -28
26,-15:-4, 4, -4, -12, -10, -36, -26
26,-15:-4, 4, -4, -12, -10, -36, -24
26,-15:-4, 4, -4, -12, -10, -28, -36
2,-3:-4, 4, 4, -6, -4, 0, 14
4,11:-4, 4, 4, 6, -14, -10, 12
4,11:-4, 4, 4, 6, -14, 12, -10
4,11:-4, 4, 4, 6, -14, 12, -8
4,11:-4, 4, 4, 6, -14, 12, -6
6,-2:6, -4, -4, -6, -4, -10, -6
8,-5:6, -4, -4, 0, 4, 6, -8
13,2:6, -4, -4, 4, -8, -6, 2
13,2:6, -4, -4, 4, -8, 2, -6
2,6:6, -4, 6, 6, 8, 6, 2
-2,-8:6, 6, -4, -4, -8, -16, -8
-1,12:6, 6, -2, 10, 0, 18, 14
-1,3:6, 6, -2, 10, 6, 2, 10
-1,3:6, 6, -2, 10, 6, 2, 12
1,11:6, 6, -2, 10, 6, 8, 4
-1,12:6, 6, -2, 10, 18, 14, 0
0,18:6, 6, 2, -6, 4, -16, 6
0,18:6, 6, 2, -6, 4, -16, 8
0,18:6, 6, 2, -6, 4, 6, -16
-8,7:6, 6, 2, -2, -4, 20, 16
-6,5:6, 6, 8, -4, -8, 6, 4
