-4,6:-4, 0, -12, -12, 8, 4
2,-5:-4, 2, 6, 2, -2, 10
8,-10:-4, 2, 6, 2, 0, -10
11,-5:-4, -12, -8, -4, -4, -2, -4
13,-2:-4, -6, -8, -10, -20, -10, -2
13,-2:-4, -6, -8, -10, -20, -10, 0
13,-2:-4, -6, -8, -10, -20, -10, 2
13,-2:-4, -6, -8, -10, -10, -2, -20
13,-2:-4, -4, -8, -10, -20, -10, -18
13,-2:-4, -4, -8, -10, -20, -10, -14
-2,10:-4, -4, -8, -2, -12, -16, -6
-2,10:-4, -4, -8, -2, -12, -16, -4
-2,10:-4, -4, -8, -2, -12, -16, -2
-2,10:-4, -4, -8, -2, -12, -10, -12
-2,10:-4, -4, -8, -2, -12, -10, -10
-2,10:-4, -4, -8, -2, -12, -10, -8
-2,10:-4, -4, -8, -2, -12, -6, -16
-2,10:-4, -4, -8, -2, -12, -6, -14
-2,10:-4, -4, -8, -2, -12, -6, -12
15,-9:-4, 0, -12, 0, -8, 2, -12
7,2:-4, 2, 6, -14, -18, -18, 4
7,2:-4, 2, 6, -14, -18, 4, -18
7,2:-4, 2, 6, -14, -18, 4, -16
7,2:-4, 2, 6, -14, -18, 4, -14
2,-5:-4, 2, 6, 2, -2, 6, 12
2,-5:-4, 2, 6, 2, -2, 8, 4
2,-5:-4, 2, 6, 2, -2, 8, 6
4,0:-4, 2, 6, 2, 6, 6, -8
16,-17:-4, 4, -4, -26, -14, -24, -34
-8,9:6, 6, -4, -4, 0, 0, 12
-3,3:6, 6, -4, -4, 0, 4, -8
8,-3:6, 6, 2, -6, 12, 14, -2
-2,10:-4, -4, -8, -2, -12, -10, -4, -10
-2,10:-4, -4, -8, -2, -12, -10, -4, -8
-2,10:-4, -4, -8, -2, -12, -10, -4, -6
-2,10:-4, -4, -8, -2, -12, -6, -8, -14
-2,10:-4, -4, -8, -2, -12, -6, -8, -12
-2,10:-4, -4, -8, -2, -12, -6, -8, -10
10,5:-4, -4, -8, -2, 8, -12, -24, -16
10,5:-4, -4, -8, -2, 8, -12, -24, -10
10,5:-4, -4, -8, -2, 8, -12, -16, -24
17,10:-4, -4, -4, 4, -4, 2, 6, 2
13,4:-4, 0, -12, -12, -6, 2, -6, 4
13,4:-4, 0, -12, -12, -6, 2, -6, 6
13,4:-4, 0, -12, -12, -6, 2, -6, 8
8,4:-4, 0, -12, -10, 6, 4, 0, 8
2,6:-4, 0, -12, -6, 8, 2, -2, -16
0,4:-4, 0, -12, -4, 6, 10, -6, -14
0,4:-4, 0, -12, -4, 6, 10, -6, -12
0,4:-4, 0, -12, -4, 6, 10, -6, -10
2,-5:-4, 0, -12, 0, -8, 2, -14, -20
15,-9:-4, 0, -12, 0, -8, 2, -14, -4
15,-9:-4, 0, -12, 0, -8, 2, -14, -2
15,-9:-4, 0, -12, 0, -8, 2, -14, 0
15,-9:-4, 0, -12, 0, -8, 2, -2, -14
15,-9:-4, 0, -12, 0, -8, 2, -2, -4
8,4:-4, 0, -12, 6, 4, 0, 8, -10
3,-7:-4, 0, -12, 6, 4, 4, -14, 2
3,-7:-4, 0, -12, 6, 4, 4, -14, 4
-1,-13:-4, 0, -12, 10, -10, -10, 4, -2
2,10:-4, 0, -8, 8, 6, -8, 0, -8
11,4:-4, 0, -4, 8, 0, -4, 0, 2
-3,7:-4, 0, -2, 4, 0, -6, -14, 4
5,2:-4, 0, -2, 4, 0, -4, -12, 8
5,2:-4, 0, -2, 4, 0, -4, -12, 10
5,2:-4, 0, -2, 4, 0, -4, -12, 12
3,-4:-4, 0, -2, 4, 6, -2, 0, -14
12,12:-4, 0, 0, 10, -6, -14, 0, 8
12,12:-4, 0, 0, 10, -6, -14, 0, 12
12,12:-4, 0, 0, 10, -6, -14, 8, 0
5,8:-4, 0, 0, 10, 8, -6, -6, -10
5,8:-4, 0, 0, 10, 8, -6, -6, -6
1,13:-4, 0, 2, 6, 8, 8, -4, -10
1,13:-4, 0, 2, 6, 8, 8, -4, -6
5,5:-4, 0, 4, 4, 0, 6, -2, -10
5,5:-4, 0, 4, 4, 0, 6, -2, -8
5,5:-4, 0, 4, 4, 0, 6, -2, -6
6,7:-4, 0, 8, 10, -6, -8, -10, 0
6,7:-4, 0, 8, 10, -6, -8, 0, -10
6,7:-4, 0, 8, 10, -6, -8, 0, -6
14,-11:-4, 0, 8, 12, 20, 10, 24, -4
7,2:-4, 2, 6, -14, -18, -22, 4, -20
7,2:-4, 2, 6, -14, -18, -22, 4, -18
7,2:-4, 2, 6, -14, -18, -22, 4, -16
7,2:-4, 2, 6, -14, -18, -18, 6, 6
7,2:-4, 2, 6, -14, -18, -18, 6, 8
7,2:-4, 2, 6, -14, -18, -18, 10, 6
7,2:-4, 2, 6, -14, -18, -18, 10, 8
7,2:-4, 2, 6, -14, -18, -18, 10, 10
3,1:-4, 2, 6, -14, 2, -12, 4, -8
0,-9:-4, 2, 6, -8, -4, 10, -18, -4
0,-9:-4, 2, 6, -8, -4, 10, -18, -2
0,-9:-4, 2, 6, -8, -4, 10, -18, 0
0,-9:-4, 2, 6, -8, -4, 10, -4, -18
0,-9:-4, 2, 6, -8, -4, 10, -4, -16
0,-9:-4, 2, 6, -8, -4, 10, -4, -14
-6,-3:-4, 2, 6, -8, 6, 0, -10, 4
-6,-3:-4, 2, 6, -8, 6, 0, 4, -10
-6,-3:-4, 2, 6, -8, 6, 0, 4, 0
2,-5:-4, 2, 6, 2, -2, 6, 4, 2
2,-5:-4, 2, 6, 2, -2, 8, 10, 10
2,-5:-4, 2, 6, 2, -2, 8, 10, 14
2,-5:-4, 2, 6, 2, -2, 8, 12, 10
2,-5:-4, 2, 6, 2, -2, 8, 16, 12
2,-5:-4, 2, 6, 2, -2, 8, 16, 14
2,-5:-4, 2, 6, 2, -2, 8, 16, 16
8,-10:-4, 2, 6, 2, 0, 12, -10, 2
8,-10:-4, 2, 6, 2, 0, 12, -10, 4
8,-10:-4, 2, 6, 2, 0, 12, -10, 6
15,-2:-4, 2, 6, 6, 12, -14, 0, 16
15,-2:-4, 2, 6, 6, 12, -14, 0, 20
15,-2:-4, 2, 6, 6, 12, -14, 16, 0
17,0:-4, 4, -10, -6, -14, -6, -14, -4
17,0:-4, 4, -10, -6, -14, -6, -14, 0
-9,-1:-4, 4, -10, -6, -14, 0, -12, -8
17,0:-4, 4, -10, 0, -6, -14, -6, -14
-2,-1:-4, 4, -8, -12, -14, -16, -24, -2
-2,-1:-4, 4, -8, -12, -14, -16, -2, -24
-2,-1:-4, 4, -8, -12, -14, -16, -2, -14
-2,-1:-4, 4, -8, -12, -14, -6, -2, -24
19,-11:-4, 4, -8, -4, 0, 0, -10, -28
10,-20:-4, 4, -4, -12, -20, -18, -28, -18
10,-20:-4, 4, -4, -12, -20, -18, -28, -16
10,-20:-4, 4, -4, -12, -20, -18, -28, -14
10,-20:-4, 4, -4, -12, -20, -18, -14, -28
10,-20:-4, 4, -4, -12, -20, -18, -14, -18
9,-3:-4, 4, -2, -12, -2, -10, -18, -2
11,-1:-4, 4, -2, 6, -16, -14, 2, -4
-5,-1:-4, 4, 4, 4, 14, -6, 0, -2
3,-1:-4, 4, 6, 2, -6, 0, 10, 4
3,-1:-4, 4, 6, 2, 0, 10, 4, -10
3,-1:-4, 4, 6, 2, 0, 10, 4, -8
-1,9:6, -4, -4, 0, -12, -12, 8, 4
5,-2:6, -4, -4, 2, 6, 2, -2, 10
11,-7:6, -4, -4, 2, 6, 2, 0, -10
2,5:6, 6, -4, -4, 0, -4, -4, 10
-3,3:6, 6, -4, -4, 0, 4, -6, -4
-3,3:6, 6, -4, -4, 0, 4, -6, -2
-3,3:6, 6, -4, -4, 0, 4, -4, -10
4,8:6, 6, -4, -4, 16, -2, 16, 16
4,8:6, 6, -4, -4, 16, -2, 16, 18
4,8:6, 6, -4, -4, 16, -2, 16, 20
4,8:6, 6, -4, -4, 16, 16, 16, -2
-15,17:6, 6, -2, 6, 16, 28, 26, 36
-7,16:6, 6, 2, 2, 12, 10, 0, 14
12,-1:6, 6, 6, 4, 10, 14, 4, 14
12,-1:6, 6, 6, 4, 10, 14, 4, 16
12,-1:6, 6, 6, 4, 10, 14, 4, 18
12,-1:6, 6, 6, 4, 10, 14, 12, 10
12,-1:6, 6, 6, 4, 10, 14, 12, 12
12,-1:6, 6, 6, 4, 10, 14, 12, 14
12,-1:6, 6, 6, 4, 10, 14, 14, 4
12,-1:6, 6, 6, 4, 10, 14, 14, 6
12,-1:6, 6, 6, 4, 10, 14, 14, 8
0,14:6, 6, 6, 10, 12, 12, 16, 22
0,14:6, 6, 6, 10, 12, 12, 22, 16
0,14:6, 6, 6, 10, 12, 12, 22, 20
0,14:6, 6, 8, 10, 12, 12, 22, 0
0,14:6, 6, 8, 10, 12, 12, 22, 2
0,14:6, 6, 8, 10, 12, 12, 22, 4
-3,12:6, 6, 14, 10, 4, 6, 6, 6
