-3,-3:-4, -6, -4, -10, 0
5,-6:-4, -6, 6, -2, 14
5,-6:-4, -6, 6, -2, 16
5,-6:-4, -6, 6, -2, 18
-3,-2:-4, -6, -6, 2, 8, 8
5,-6:-4, -6, 6, -2, 22, 16
5,-6:-4, -6, 6, -2, 22, 18
5,-6:-4, -6, 6, -2, 22, 20
2,-3:-4, 0, -12, 8, 8, 16
-3,0:-4, 0, -8, 6, 10, 0
0,-8:-4, 0, 4, 6, -18, -8
2,-3:-4, 0, 8, 8, 16, -12
2,-3:-4, 0, 8, 8, 16, -10
2,-3:-4, 0, 8, 8, 16, -8
5,-1:-4, 4, -8, -16, 2, -6
-4,6:6, 6, 8, -4, 4, -16
-4,6:6, 6, 8, -4, 4, -14
-4,6:6, 6, 8, -4, 4, -12
-1,-2:6, 6, 8, 6, 12, 2
10,5:-4, -12, -14, -4, -4, -6, 6
5,-6:-4, -12, 4, 6, 4, -2, 0
5,-6:-4, -12, 4, 6, 4, -2, 2
5,-14:-4, -6, -14, 6, -2, -16, -4
5,-14:-4, -6, -14, 6, -2, -16, 0
5,-14:-4, -6, -14, 6, -2, -4, -16
5,-14:-4, -6, -14, 6, -2, -4, -6
4,2:-4, -6, -8, -10, -20, -2, -8
4,2:-4, -6, -8, -10, -20, -2, -6
4,2:-4, -6, -8, -10, -20, -2, -4
4,2:-4, -6, -8, -10, -2, -8, -20
4,2:-4, -6, -8, -10, -2, -8, -10
-2,-2:-4, -6, -6, 0, -6, -6, 0
0,-3:-4, -6, 6, -8, -20, -6, 0
0,-3:-4, -6, 6, -8, -8, 0, -18
0,-3:-4, -6, 6, -8, -8, 0, -12
5,-6:-4, -6, 6, -2, 12, 10, 18
5,-6:-4, -6, 6, -2, 22, 12, 14
5,-6:-4, -6, 6, -2, 22, 12, 16
5,-6:-4, -6, 6, -2, 22, 12, 18
6,13:-4, 0, -16, 0, 10, 8, 0
2,-3:-4, 0, -12, 8, 8, 12, 14
2,-3:-4, 0, -12, 8, 8, 12, 16
2,-3:-4, 0, -12, 8, 8, 12, 18
2,-3:-4, 0, -12, 8, 8, 14, 18
4,12:-4, 0, 6, 2, -2, -10, -2
4,12:-4, 0, 6, 2, -2, -2, -10
4,12:-4, 0, 6, 2, -2, -2, -6
16,13:-4, 0, 8, -6, -12, -14, 6
2,-3:-4, 0, 8, 8, 16, -16, -14
2,-3:-4, 0, 8, 8, 16, -16, -12
2,-3:-4, 0, 8, 8, 16, -16, -10
2,14:-4, 2, 6, 0, 4, -10, 2
2,14:-4, 2, 6, 0, 4, -2, -2
2,14:-4, 2, 6, 0, 4, 0, -2
2,14:-4, 2, 6, 0, 4, 6, -4
4,-2:-4, 2, 6, 0, 14, -4, -6
-14,-4:-4, 2, 6, 10, 0, 14, 10
36,-8:-4, 4, -10, 2, -16, -26, -8
36,-8:-4, 4, -10, 2, -16, -26, -6
36,-8:-4, 4, -10, 2, -16, -26, -4
5,-6:-4, 4, -8, 6, -2, 14, -10
5,-6:-4, 4, -8, 6, -2, 14, -8
19,-12:-4, 4, -4, -10, -18, -28, -20
9,0:-4, 4, -2, -14, 6, 2, 6
0,0:6, -4, -4, -6, -4, -10, 0
8,-3:6, -4, -4, -6, 6, -2, 14
8,-3:6, -4, -4, -6, 6, -2, 16
8,-3:6, -4, -4, -6, 6, -2, 18
1,6:6, 6, -2, 10, 0, 18, 8
-1,3:6, 6, 2, -6, -6, -14, 10
-1,3:6, 6, 2, -6, -6, -14, 12
-1,3:6, 6, 2, -6, -6, -14, 14
-1,3:6, 6, 2, -6, -6, 10, -14
2,-2:6, 6, 2, -4, -8, 10, 2
-6,1:6, 6, 2, -2, -4, 20, 10
-4,6:6, 6, 8, -4, 4, -20, -18
-4,6:6, 6, 8, -4, 4, -20, -16
-4,6:6, 6, 8, -4, 4, -20, -14
0,-2:6, 6, 8, 8, 0, -6, -6
5,-6:-4, -6, 6, -2, 12, 10, 12, 12
5,-6:-4, -6, 6, -2, 12, 10, 12, 14
5,-6:-4, -6, 6, -2, 12, 10, 16, 2
5,-6:-4, -6, 6, -2, 12, 10, 16, 12
5,-6:-4, -6, 6, -2, 12, 18, 18, 4
5,-6:-4, -6, 6, -2, 12, 18, 18, 14
5,-6:-4, -6, 6, -2, 22, 12, 22, 16
5,-6:-4, -6, 6, -2, 22, 12, 22, 18
5,-6:-4, -6, 6, -2, 22, 12, 22, 20
1,-6:-4, -6, 6, 0, -8, -18, 14, -8
6,6:-4, -4, -8, -12, -14, -10, 0, 8
6,6:-4, -4, -8, -12, -14, -10, 0, 10
6,6:-4, -4, -8, -12, -14, -10, 6, 0
6,6:-4, -4, -8, -12, -10, 0, 8, -14
4,2:-4, -4, -8, -10, -20, 6, -2, 8
-7,5:-4, -4, -8, -2, -12, -8, 14, 12
-7,5:-4, -4, -8, -2, -12, -8, 14, 14
-7,5:-4, -4, -8, -2, -12, -8, 14, 16
11,2:-4, -4, -8, 8, -6, -2, -10, -2
5,5:-4, -4, -8, 8, -6, -2, 0, -4
-10,3:-4, -4, -6, -14, -4, 12, 2, 4
7,0:-4, -4, -6, -2, -8, -30, -8, -18
7,0:-4, -4, -6, -2, -8, -8, -18, -30
6,5:-4, -4, -2, 8, 12, 8, 14, 14
6,5:-4, -4, -2, 8, 12, 8, 14, 16
6,5:-4, -4, -2, 8, 12, 8, 14, 18
22,-1:-4, -4, 8, 10, 0, -4, -10, -20
1,-2:-4, 0, -12, -12, -4, 6, 10, 0
10,-5:-4, 0, -12, -6, 6, -4, -10, 8
10,-5:-4, 0, -12, -6, 6, -4, -10, 10
10,-5:-4, 0, -12, -6, 6, -4, -10, 12
10,-5:-4, 0, -12, -6, 6, -4, 8, -10
3,6:-4, 0, -12, 0, 10, -2, 16, 6
2,12:-4, 0, -12, 2, 6, 8, -4, 4
4,-2:-4, 0, -12, 6, 10, 6, 8, 20
2,-3:-4, 0, -12, 8, 8, 12, 22, 16
2,-3:-4, 0, -12, 8, 8, 12, 22, 18
2,-3:-4, 0, -12, 8, 8, 12, 22, 20
2,-3:-4, 0, -12, 8, 8, 14, 14, 16
2,-3:-4, 0, -12, 8, 8, 14, 14, 18
2,-3:-4, 0, -12, 8, 8, 14, 14, 20
2,-3:-4, 0, -12, 8, 8, 14, 16, 20
2,-3:-4, 0, -12, 8, 8, 20, 16, 8
9,0:-4, 0, -12, 10, -16, -12, -10, 0
8,0:-4, 0, -12, 10, -2, -2, 2, -2
-9,5:-4, 0, -8, -10, 8, -8, 12, 14
2,5:-4, 0, -8, -2, -12, -4, 4, 0
2,5:-4, 0, -8, -2, -4, 4, 0, -12
5,-16:-4, 0, -8, 4, 14, -14, -18, -6
5,-16:-4, 0, -8, 4, 14, -14, -18, -4
5,-16:-4, 0, -8, 4, 14, -14, -6, -18
1,-2:-4, 0, -8, 6, -8, 10, 0, -10
23,-5:-4, 0, -8, 6, -2, 0, 2, -6
-9,5:-4, 0, -8, 8, -8, 12, 14, -10
-9,5:-4, 0, -8, 8, -8, 12, 14, -6
-3,9:-4, 0, -8, 8, 10, -8, 2, 12
-3,9:-4, 0, -8, 8, 10, 2, 12, -8
19,1:-4, 0, -4, -6, -14, 4, 2, 4
11,-1:-4, 0, 0, 10, -6, -14, -8, 2
3,6:-4, 0, 0, 10, -2, 16, 6, -12
3,6:-4, 0, 0, 10, -2, 16, 6, -10
3,6:-4, 0, 0, 10, -2, 16, 6, -8
16,11:-4, 0, 2, -6, -14, -10, 8, -2
16,8:-4, 0, 4, -6, 4, -18, -6, -8
1,-2:-4, 0, 6, -6, -4, 10, 0, -18
4,12:-4, 0, 6, 2, -2, -10, 0, 2
4,12:-4, 0, 6, 2, -2, -2, -4, -12
4,12:-4, 0, 6, 2, -2, -2, -4, -10
4,12:-4, 0, 6, 2, -2, -2, -4, -8
9,-5:-4, 0, 8, -6, -14, -16, 2, 2
4,2:-4, 0, 8, -2, -24, -12, 18, -2
-1,1:-4, 0, 8, 8, 12, -2, 2, 20
-1,1:-4, 0, 8, 8, 12, -2, 2, 22
-1,1:-4, 0, 8, 8, 12, -2, 20, 2
2,-3:-4, 0, 8, 8, 16, -16, -6, -12
2,-3:-4, 0, 8, 8, 16, -16, -6, -10
2,-3:-4, 0, 8, 8, 16, -16, -6, -8
2,-3:-4, 0, 8, 8, 16, -6, -4, -12
11,5:-4, 2, 0, -8, -2, 2, -14, 2
11,5:-4, 2, 0, -8, -2, 2, 2, -14
11,5:-4, 2, 0, -8, -2, 2, 2, -12
-2,22:-4, 2, 2, -14, -10, 16, 14, 24
-6,2:-4, 2, 2, -14, 0, -2, 6, 8
4,2:-4, 2, 2, -8, -4, -16, -8, -28
4,2:-4, 2, 2, -8, -4, -16, -8, -26
4,2:-4, 2, 2, -8, -4, -16, -8, -24
7,-6:-4, 2, 2, -8, -4, -6, 0, -10
0,-3:-4, 2, 6, -14, -18, -6, 0, -18
0,-3:-4, 2, 6, -14, -18, -6, 0, -8
0,-3:-4, 2, 6, -14, -18, 2, 0, -18
0,-3:-4, 2, 6, -14, -18, 2, 0, -16
0,-3:-4, 2, 6, -14, -18, 2, 0, -14
2,14:-4, 2, 6, 0, 4, -10, -6, -4
2,14:-4, 2, 6, 0, 4, -10, -4, -8
2,14:-4, 2, 6, 0, 4, -10, 0, -4
2,14:-4, 2, 6, 0, 4, -10, 0, 0
2,14:-4, 2, 6, 0, 4, -8, 2, -8
2,14:-4, 2, 6, 0, 4, -8, 2, -6
2,14:-4, 2, 6, 0, 4, -8, 4, -2
2,14:-4, 2, 6, 0, 4, -6, -10, 2
2,14:-4, 2, 6, 0, 4, -6, -10, 4
2,14:-4, 2, 6, 0, 4, -6, 4, -6
2,14:-4, 2, 6, 0, 4, -6, 6, 4
2,14:-4, 2, 6, 0, 4, -2, -10, 0
2,14:-4, 2, 6, 0, 4, -2, -4, -4
2,14:-4, 2, 6, 0, 4, -2, -4, -2
2,14:-4, 2, 6, 0, 4, 2, -6, -6
2,14:-4, 2, 6, 0, 4, 2, -4, -8
2,14:-4, 2, 6, 0, 4, 2, -4, 2
2,14:-4, 2, 6, 0, 4, 2, -2, -4
2,14:-4, 2, 6, 0, 4, 2, -2, -2
2,14:-4, 2, 6, 0, 4, 2, -2, 0
2,14:-4, 2, 6, 0, 4, 2, 4, 2
2,14:-4, 2, 6, 0, 4, 4, -6, -10
2,14:-4, 2, 6, 0, 4, 4, -6, -6
2,14:-4, 2, 6, 0, 4, 4, -4, -2
2,14:-4, 2, 6, 0, 4, 4, 0, -10
-3,-1:-4, 4, -10, -12, -14, -2, -8, 2
2,16:-4, 4, -10, -8, -12, -20, -10, -26
5,3:-4, 4, -10, -6, -4, -12, 0, -2
11,-6:-4, 4, -10, -6, -2, -4, -14, -4
11,-6:-4, 4, -10, -6, -2, -4, -14, 0
11,-6:-4, 4, -10, -6, -2, -4, 0, -14
36,-8:-4, 4, -10, 2, -16, -26, -12, -10
36,-8:-4, 4, -10, 2, -16, -26, -12, -8
36,-8:-4, 4, -10, 2, -16, -26, -12, -6
9,-6:-4, 4, -8, -16, 0, -6, 2, 4
9,-6:-4, 4, -8, -16, 0, -6, 2, 6
9,-6:-4, 4, -8, -16, 0, -6, 2, 8
5,-14:-4, 4, -8, -14, 6, -4, -2, -8
5,-14:-4, 4, -8, -14, 6, -4, -2, -6
5,-14:-4, 4, -8, -14, 6, -4, -2, -4
5,-6:-4, 4, -8, -12, 6, -2, 14, -12
5,-6:-4, 4, -8, -12, 6, -2, 14, -10
5,-6:-4, 4, -8, -12, 6, -2, 14, -8
-1,19:-4, 4, -8, -12, 6, 0, 4, 20
10,-7:-4, 4, -8, 6, -4, -4, -14, 10
10,-7:-4, 4, -8, 6, -4, -4, 10, -14
5,-6:-4, 4, -8, 6, -2, 14, -14, -16
5,-6:-4, 4, -8, 6, -2, 14, -6, -10
5,-6:-4, 4, -8, 6, -2, 14, -6, -8
18,-8:-4, 4, -4, -16, -14, -36, -24, -26
21,-15:-4, 4, -4, -12, -10, -46, -36, -28
21,-15:-4, 4, -4, -12, -10, -46, -36, -26
21,-15:-4, 4, -4, -12, -10, -46, -36, -24
21,-15:-4, 4, -4, -12, -10, -46, -28, -36
19,-12:-4, 4, -4, -10, -18, -28, -18, -20
19,-12:-4, 4, -4, -10, -18, -28, -18, -16
19,-12:-4, 4, -4, -10, -18, -28, -16, -22
19,-12:-4, 4, -4, -10, -18, -28, -16, -20
19,-12:-4, 4, -4, -10, -18, -28, -16, -18
-3,-3:-4, 4, 4, -6, -4, -10, 0, 14
-10,16:-4, 4, 4, -6, 4, -8, 22, 4
-10,16:-4, 4, 4, -6, 4, -8, 22, 6
-10,16:-4, 4, 4, -6, 4, -8, 22, 8
-1,11:-4, 4, 4, 6, -14, -10, 2, 12
-1,11:-4, 4, 4, 6, -14, 2, 12, -10
-1,11:-4, 4, 4, 6, -14, 2, 12, -8
-1,11:-4, 4, 4, 6, -14, 2, 12, -6
5,-6:-4, 4, 4, 6, -6, -2, 16, 14
9,5:-4, 4, 4, 6, 10, 4, 16, 6
9,5:-4, 4, 4, 6, 10, 4, 16, 8
9,5:-4, 4, 4, 6, 10, 6, 4, 16
0,1:6, -4, -4, -6, -6, 2, 8, 8
8,-3:6, -4, -4, -6, 6, -2, 22, 16
8,-3:6, -4, -4, -6, 6, -2, 22, 18
8,-3:6, -4, -4, -6, 6, -2, 22, 20
5,0:6, -4, -4, 0, -12, 8, 8, 16
0,3:6, -4, -4, 0, -8, 6, 10, 0
3,-5:6, -4, -4, 0, 4, 6, -18, -8
5,0:6, -4, -4, 0, 8, 8, 16, -12
5,0:6, -4, -4, 0, 8, 8, 16, -10
5,0:6, -4, -4, 0, 8, 8, 16, -8
8,2:6, -4, -4, 4, -8, -16, 2, -6
-1,9:6, -4, 6, 6, 8, -4, 4, -16
-1,9:6, -4, 6, 6, 8, -4, 4, -14
-1,9:6, -4, 6, 6, 8, -4, 4, -12
2,1:6, -4, 6, 6, 8, 6, 12, 2
-2,-13:6, 6, -4, -4, -8, -16, 2, -8
0,5:6, 6, -4, -4, 2, -12, 6, 8
16,3:6, 6, -4, -4, 2, -2, -4, 6
16,3:6, 6, -4, -4, 2, -2, 2, 4
16,3:6, 6, -4, -4, 2, -2, 4, 4
16,3:6, 6, -4, -4, 2, -2, 12, 0
-4,6:6, 6, -2, -4, -2, 4, 4, 0
-4,6:6, 6, -2, -4, -2, 4, 4, 2
2,10:6, 6, -2, -4, 4, 16, 0, -4
-4,6:6, 6, -2, -4, 10, 4, -16, 10
-4,6:6, 6, -2, -4, 10, 4, -16, 12
-12,6:6, 6, -2, -4, 16, 4, 2, 8
-12,6:6, 6, -2, -4, 16, 4, 2, 18
-12,6:6, 6, -2, -4, 16, 4, 8, 2
-12,6:6, 6, -2, -4, 16, 4, 8, 6
-10,20:6, 6, -2, 6, 12, 20, 30, 22
-6,37:6, 6, -2, 12, 0, 18, 28, 6
-6,37:6, 6, -2, 12, 0, 18, 28, 8
-6,37:6, 6, -2, 12, 0, 18, 28, 10
-1,3:6, 6, 2, -6, -6, -14, 18, 12
-1,3:6, 6, 2, -6, -6, -14, 18, 14
-1,3:6, 6, 2, -6, -6, -14, 18, 16
-1,3:6, 6, 2, -6, -6, -12, 10, -16
-1,3:6, 6, 2, -6, -6, -10, 10, -16
-1,3:6, 6, 2, -6, -6, -10, 10, -14
-1,3:6, 6, 2, -6, -6, -10, 10, -12
15,17:6, 6, 2, -6, 8, 14, 16, -4
14,5:6, 6, 2, -4, 0, 4, 4, 8
14,5:6, 6, 2, -4, 0, 4, 4, 12
14,5:6, 6, 2, -4, 0, 4, 12, 4
15,7:6, 6, 2, 2, -8, -6, 18, 2
-4,6:6, 6, 8, -4, 4, -20, -10, -16
-4,6:6, 6, 8, -4, 4, -20, -10, -14
-4,6:6, 6, 8, -4, 4, -20, -10, -12
-4,6:6, 6, 8, -4, 4, -10, -8, -16
-1,1:6, 6, 8, -4, 10, 10, 2, 14
-1,1:6, 6, 8, -4, 10, 10, 2, 20
0,-1:6, 6, 8, 8, 2, 8, 8, 2
4,5:6, 6, 8, 10, 12, 4, 6, 12
4,5:6, 6, 8, 10, 12, 4, 6, 22
4,5:6, 6, 8, 10, 12, 4, 22, 6
4,5:6, 6, 8, 10, 12, 4, 22, 8
4,5:6, 6, 8, 10, 12, 4, 22, 10
7,11:6, 6, 14, 6, 6, 6, 16, -4
11,3:-4, -14, -12, 14, -12, -14, -12, -18, -8
19,0:-4, -14, -12, 14, -12, -14, -2, -10, 6
19,0:-4, -14, -12, 14, -12, -14, -2, -10, 8
19,0:-4, -14, -12, 14, -12, -14, -2, -10, 10
-1,2:-4, -14, -8, 10, 10, 8, 20, 12, 28
-1,2:-4, -14, -8, 10, 10, 8, 20, 12, 30
-1,2:-4, -14, -8, 10, 10, 8, 20, 12, 32
-8,11:-4, -14, -8, 20, 12, 24, 14, 32, 22
-10,8:-4, -14, -8, 20, 16, 8, 8, 0, 24
-10,8:-4, -14, -8, 20, 16, 8, 8, 0, 26
-10,8:-4, -14, -8, 20, 16, 8, 8, 0, 28
-10,8:-4, -14, -8, 20, 16, 8, 8, 24, 0
-7,3:-4, -14, -8, 20, 16, 10, 6, 24, 16
-15,6:-4, -14, -8, 20, 16, 12, 10, 34, 24
-13,11:-4, -14, -8, 20, 22, 10, 18, -6, -4
-13,11:-4, -14, -8, 20, 22, 10, 18, -6, -2
-13,11:-4, -14, -8, 20, 22, 10, 18, -6, 0
-9,3:-4, -14, -8, 20, 22, 22, 14, 8, 8
7,9:-4, -14, 10, -2, 0, -12, -4, -24, 12
7,9:-4, -14, 10, -2, 0, -12, -4, -24, 14
7,9:-4, -14, 10, -2, 0, -12, -4, -24, 16
10,1:-4, -14, 10, -2, 0, -2, 4, -6, 12
10,1:-4, -14, 10, -2, 0, -2, 4, -6, 14
10,1:-4, -14, 10, -2, 0, -2, 4, -6, 16
-9,5:-4, -14, 10, 10, 8, 10, 4, 14, -8
-9,5:-4, -14, 10, 10, 8, 10, 4, 14, -6
-9,5:-4, -14, 10, 10, 8, 10, 4, 14, -4
-4,5:-4, -14, 10, 10, 14, -4, 22, 22, 30
1,-4:-4, -14, 10, 10, 16, 14, 6, -4, 8
1,-4:-4, -14, 10, 10, 16, 14, 6, -4, 18
-6,5:-4, -14, 10, 10, 16, 20, 0, 4, 14
1,-4:-4, -14, 10, 10, 16, 20, 6, -4, 12
1,8:-4, -14, 10, 10, 18, 6, 8, -2, 0
12,9:-4, -14, 14, -2, -10, 2, -8, 10, 0
10,6:-4, -14, 14, -2, -6, -14, -14, -22, 2
10,6:-4, -14, 14, -2, -6, -14, -14, -22, 4
10,6:-4, -14, 14, -2, -6, -14, -14, -22, 6
10,6:-4, -14, 14, -2, -6, -14, -14, 2, -22
13,1:-4, -14, 14, -2, -6, -12, -16, 2, -6
5,4:-4, -14, 14, -2, -6, -10, -12, 12, 2
7,9:-4, -14, 14, -2, 0, -12, -4, -28, -26
7,9:-4, -14, 14, -2, 0, -12, -4, -28, -24
7,9:-4, -14, 14, -2, 0, -12, -4, -28, -22
11,1:-4, -14, 14, -2, 0, 0, -8, -14, -14
18,-2:-4, -12, -14, -4, -6, -20, -12, 6, -10
2,5:-4, -12, -14, -4, 2, 2, 2, -10, -4
2,5:-4, -12, -14, -4, 2, 2, 2, -10, -2
-2,8:-4, -12, -14, -4, 2, 2, 12, -12, -8
8,7:-4, -12, -14, -4, 2, 2, 12, 2, 12
8,7:-4, -12, -14, -4, 2, 2, 12, 2, 14
-9,9:-4, -12, -14, -4, 4, 2, -2, 8, 2
-9,9:-4, -12, -14, -4, 4, 2, -2, 8, 4
-9,9:-4, -12, -14, -4, 4, 2, -2, 8, 6
-9,9:-4, -12, -14, -4, 4, 2, 2, 8, 2
-2,12:-4, -12, -14, -4, 6, -8, 2, 6, 2
-4,11:-4, -12, -14, -4, 6, -8, 18, 4, 6
-6,-3:-4, -12, -14, -4, 6, 0, -2, -16, -4
1,18:-4, -12, -14, -4, 6, 2, -4, 2, 10
