6,-3:-4, -12, -6, -4, -4, 8, -12, 6
6,-3:-4, -12, -6, -4, -4, 8, -12, 8
6,-3:-4, -12, -6, -4, -4, 8, -12, 10
6,-3:-4, -12, -6, -4, -4, 8, 6, -12
6,-3:-4, -12, -6, -4, -4, 8, 6, -10
6,-3:-4, -12, -6, -4, -4, 8, 6, -8
11,16:-4, -4, -14, 8, 6, 8, -4, -4
11,16:-4, -4, -14, 8, 6, 8, -4, 0
7,10:-4, 0, -12, -10, 6, 4, 6, -6
7,10:-4, 0, -12, -10, 6, 4, 6, -4
7,10:-4, 0, -12, -10, 6, 4, 6, -2
7,10:-4, 0, -12, 6, 4, 6, -12, -20
7,10:-4, 0, -12, 6, 4, 6, -12, -16
7,10:-4, 0, -12, 6, 4, 6, -10, -20
7,10:-4, 0, -12, 6, 4, 6, -8, -30
7,10:-4, 0, -12, 6, 4, 6, -8, -20
7,10:-4, 0, -12, 6, 4, 6, -4, -10
7,10:-4, 0, -12, 6, 4, 6, -4, -6
6,1:-4, 4, -8, -16, 6, 0, 14, -6
6,-3:-4, -12, -6, -4, -4, 8, -12, 2, 6
6,-3:-4, -12, -6, -4, -4, 8, -12, 2, 8
6,-3:-4, -12, -6, -4, -4, 8, -4, 6, -10
6,-3:-4, -12, -6, -4, -4, 8, -4, 6, -8
6,-3:-4, -12, -6, -4, -4, 8, -4, 6, -6
11,16:-4, -4, -8, -20, -16, 8, 6, 8, -4
11,16:-4, -4, -8, -20, -16, 8, 6, 8, -2
11,16:-4, -4, -8, -20, -16, 8, 6, 8, 0
11,16:-4, -4, -8, -20, 8, 6, 8, -4, -16
11,16:-4, -4, -8, -20, 8, 6, 8, -4, -14
6,14:-4, -4, -8, -18, -20, -10, -10, -6, 2
11,16:-4, -4, -8, -10, -20, 8, 6, 8, -8
11,16:-4, -4, -8, -10, -20, 8, 6, 8, -6
11,16:-4, -4, -6, -14, 8, 6, 8, -4, -4
7,10:-4, 0, -12, 6, 4, 6, -12, -18, -14
7,10:-4, 0, -12, 6, 4, 6, -12, -18, -12
7,10:-4, 0, -12, 6, 4, 6, -12, -18, -10
7,10:-4, 0, -12, 6, 4, 6, -12, -14, -14
7,10:-4, 0, -12, 6, 4, 6, -10, -18, -2
7,10:-4, 0, -12, 6, 4, 6, -10, -2, -18
7,10:-4, 0, -12, 6, 4, 6, -10, -2, -8
7,10:-4, 0, -12, 6, 4, 6, -4, -4, -12
7,10:-4, 0, -12, 6, 4, 6, -4, -4, -10
7,10:-4, 0, -12, 6, 4, 6, -4, -4, -8
7,0:-4, 0, -8, -4, -2, 8, 2, -12, -12
12,7:-4, 0, 6, 4, 0, -4, -2, -4, -2
10,-1:-4, 0, 8, -2, 22, 0, -2, 0, 0
6,1:-4, 4, -8, -16, 6, 0, 14, -8, 2
6,1:-4, 4, -8, -16, 6, 0, 14, -4, -4
6,1:-4, 4, -8, -16, 6, 0, 14, -4, -2
6,1:-4, 4, -8, -16, 6, 0, 14, -4, 0
4,6:6, 6, -2, -4, 10, 2, 18, -12, 8
13,7:6, 6, 2, -4, -2, -4, 4, 10, 8
13,7:6, 6, 2, -4, -2, -4, 4, 10, 12
13,7:6, 6, 2, -4, -2, -4, 10, 10, 22
13,7:6, 6, 2, -4, -2, -4, 10, 10, 32
13,7:6, 6, 2, -4, -2, -4, 10, 12, 22
13,7:6, 6, 2, -4, -2, -4, 10, 14, 18
13,7:6, 6, 2, -4, -2, -4, 10, 14, 22
13,7:6, 6, 2, -4, -2, 12, 12, -4, 4
13,7:6, 6, 2, -4, -2, 12, 12, -4, 6
13,7:6, 6, 2, -4, -2, 12, 12, -4, 8
19,11:6, 6, 6, -6, -4, 16, -6, 2, 2
19,11:6, 6, 6, -6, -4, 16, -6, 2, 6
0,6:6, 6, 14, 8, 6, 6, -6, -8, 10
0,6:6, 6, 14, 8, 6, 6, -6, -8, 12
0,6:6, 6, 14, 8, 6, 6, -6, -8, 14
0,6:6, 6, 14, 8, 6, 6, -6, 10, -8
0,6:6, 6, 14, 8, 6, 6, -6, 10, -6
0,6:6, 6, 14, 8, 6, 6, -6, 10, -4
7,0:-4, 0, -8, -4, -2, 8, 2, -12, -14, -14
7,0:-4, 0, -8, -4, -2, 8, 2, -12, -14, -12
-1,1:-4, 0, -4, -6, -16, 12, 16, 2, 12, 12
-2,10:-4, 0, -4, 6, -4, 10, 6, 0, 10, 4
8,4:-4, 0, -2, -4, -14, 4, 6, 0, 0, -12
8,4:-4, 0, -2, -4, -14, 4, 6, 0, 0, -10
24,6:-4, 0, 4, -6, -10, -16, -14, -16, -6, -2
24,6:-4, 0, 4, -6, -10, -16, -14, -16, -6, 0
24,6:-4, 0, 4, -6, -10, -16, -14, -16, -6, 2
24,6:-4, 0, 4, -6, -10, -16, -14, -16, -2, -6
14,-10:-4, 0, 4, 4, -8, -6, 2, 0, 0, 2
-2,0:-4, 0, 4, 4, 6, 12, 0, -22, -6, 8
22,13:-4, 0, 6, -6, -14, -6, -8, -6, -18, 2
22,13:-4, 0, 6, -6, -14, -6, -8, -6, -18, 4
22,13:-4, 0, 6, -6, -14, -6, -8, -6, 2, -18
22,13:-4, 0, 6, -6, -14, -6, -8, -6, 2, -16
22,13:-4, 0, 6, -6, -14, -6, -8, -6, 2, -14
20,2:-4, 0, 6, -2, 12, 4, 4, 14, 8, -6
20,2:-4, 0, 6, -2, 12, 4, 4, 14, 8, 0
20,2:-4, 0, 6, -2, 12, 4, 4, 14, 8, 4
7,10:-4, 0, 6, 4, 6, -6, -4, -6, -10, -4
6,2:-4, 0, 8, -2, -24, -12, -2, -6, 18, 10
18,6:-4, 2, 6, 0, 4, -10, 6, -8, -8, 10
18,6:-4, 2, 6, 0, 4, -10, 6, -8, -8, 12
3,12:-4, 2, 6, 0, 4, 0, 8, 2, 4, -8
3,12:-4, 2, 6, 0, 4, 0, 8, 2, 4, -2
13,0:-4, 2, 6, 2, -8, -10, -12, -10, -22, 0
13,0:-4, 2, 6, 2, -8, -10, -12, -10, -22, 2
13,0:-4, 2, 6, 2, -8, -10, -12, -10, 0, -22
13,0:-4, 2, 6, 2, -8, -10, -12, -10, 0, -20
13,0:-4, 2, 6, 2, -8, -10, -12, -10, 0, -18
6,1:-4, 4, -8, -16, 6, 0, 14, -8, -8, -8
6,1:-4, 4, -8, -16, 6, 0, 14, -8, -8, -6
6,1:-4, 4, -8, -16, 6, 0, 14, -8, -8, -4
6,1:-4, 4, -8, -16, 6, 0, 14, -8, -4, -2
6,1:-4, 4, -8, -16, 6, 0, 14, -8, -2, -6
6,1:-4, 4, -8, -16, 6, 0, 14, -8, -2, -2
6,1:-4, 4, -8, -16, 6, 0, 14, -4, 4, -2
6,1:-4, 4, -8, -16, 6, 0, 14, -4, 4, 0
6,1:-4, 4, -8, -16, 6, 0, 14, -4, 4, 2
6,1:-4, 4, -8, -16, 6, 0, 14, 4, -6, -6
6,1:-4, 4, -8, -16, 6, 0, 14, 4, -2, -4
6,1:-4, 4, -8, -16, 6, 0, 14, 4, -2, -2
6,1:-4, 4, -8, -16, 6, 0, 14, 4, -2, 0
4,-11:-4, 4, -4, -22, -20, -30, -10, 0, -12, -10
4,-11:-4, 4, -4, -22, -20, -30, -10, 0, -8, -18
26,-10:-4, 4, -4, -16, -28, -34, -32, -34, -26, -20
26,-10:-4, 4, -4, -16, -28, -34, -32, -34, -26, -18
26,-10:-4, 4, -4, -16, -28, -34, -32, -34, -26, -16
26,-10:-4, 4, -4, -16, -28, -34, -32, -34, -20, -26
26,-10:-4, 4, -4, -16, -28, -34, -32, -34, -20, -24
26,-10:-4, 4, -4, -16, -28, -34, -32, -34, -20, -22
1,0:-4, 4, -2, -12, -2, -10, -16, -18, -22, -8
1,0:-4, 4, -2, -12, -2, -10, -16, -18, -22, -6
11,6:-4, 4, -2, -8, 2, -10, -18, -20, 4, 2
5,8:-4, 4, -2, 2, 6, -16, 6, 4, 6, -6
5,8:-4, 4, -2, 2, 6, -16, 6, 4, 6, -4
5,8:-4, 4, -2, 2, 6, -16, 6, 4, 6, -2
9,0:6, -4, -4, -12, -6, -4, -4, 8, -12, 6
9,0:6, -4, -4, -12, -6, -4, -4, 8, -12, 8
9,0:6, -4, -4, -12, -6, -4, -4, 8, -12, 10
9,0:6, -4, -4, -12, -6, -4, -4, 8, 6, -12
9,0:6, -4, -4, -12, -6, -4, -4, 8, 6, -10
9,0:6, -4, -4, -12, -6, -4, -4, 8, 6, -8
14,19:6, -4, -4, -4, -14, 8, 6, 8, -4, -4
14,19:6, -4, -4, -4, -14, 8, 6, 8, -4, 0
10,13:6, -4, -4, 0, -12, -10, 6, 4, 6, -6
10,13:6, -4, -4, 0, -12, -10, 6, 4, 6, -4
10,13:6, -4, -4, 0, -12, -10, 6, 4, 6, -2
10,13:6, -4, -4, 0, -12, 6, 4, 6, -12, -20
10,13:6, -4, -4, 0, -12, 6, 4, 6, -12, -16
10,13:6, -4, -4, 0, -12, 6, 4, 6, -10, -20
10,13:6, -4, -4, 0, -12, 6, 4, 6, -8, -30
10,13:6, -4, -4, 0, -12, 6, 4, 6, -8, -20
10,13:6, -4, -4, 0, -12, 6, 4, 6, -4, -10
10,13:6, -4, -4, 0, -12, 6, 4, 6, -4, -6
9,4:6, -4, -4, 4, -8, -16, 6, 0, 14, -6
4,6:6, 6, -2, -4, 10, 2, 18, -12, 6, 2
4,6:6, 6, -2, -4, 10, 2, 18, -12, 6, 4
4,6:6, 6, -2, -4, 10, 2, 18, -12, 6, 6
4,6:6, 6, -2, -4, 10, 2, 18, -12, 10, 0
2,10:6, 6, 2, -6, 4, -20, 2, 4, 2, 2
13,7:6, 6, 2, -4, -2, -4, 4, 6, 10, 10
13,7:6, 6, 2, -4, -2, -4, 4, 6, 10, 12
13,7:6, 6, 2, -4, -2, -4, 4, 6, 10, 14
13,7:6, 6, 2, -4, -2, -4, 10, 12, 4, 10
13,7:6, 6, 2, -4, -2, -4, 10, 12, 4, 20
13,7:6, 6, 2, -4, -2, -4, 10, 12, 20, 4
13,7:6, 6, 2, -4, -2, -4, 10, 14, 16, 16
13,7:6, 6, 2, -4, -2, -4, 10, 14, 20, 12
13,7:6, 6, 2, -4, -2, -4, 10, 14, 20, 14
13,7:6, 6, 2, -4, -2, -4, 10, 14, 20, 16
10,12:6, 6, 2, -4, -2, 2, 6, 4, 6, 4
3,7:6, 6, 2, 10, 6, 4, -6, 0, 14, 14
19,11:6, 6, 6, -6, -4, 8, 16, -6, 2, 6
19,11:6, 6, 6, -6, -4, 10, 12, 22, -6, 8
19,11:6, 6, 6, -6, -4, 10, 12, 22, -6, 10
19,11:6, 6, 6, -6, -4, 10, 20, 22, -6, 2
19,11:6, 6, 6, -6, -4, 10, 20, 22, -6, 4
19,11:6, 6, 6, -6, -4, 10, 20, 22, -6, 6
19,11:6, 6, 6, -6, -4, 10, 22, -6, 2, 16
19,11:6, 6, 6, -6, -4, 10, 22, -6, 2, 18
17,6:6, 6, 6, 10, 20, 12, 12, 8, 12, 0
0,6:6, 6, 14, 8, 6, 6, -6, -8, 6, 8
0,6:6, 6, 14, 8, 6, 6, -6, -8, 6, 10
0,6:6, 6, 14, 8, 6, 6, -6, -8, 6, 12
0,6:6, 6, 14, 8, 6, 6, -6, 0, 10, -6
0,6:6, 6, 14, 8, 6, 6, -6, 0, 10, -4
