3,-5:-4, -6, -4, -10
6,-10:-4, 0, 4, 6, -18
11,-3:-4, 4, -8, -16, 2
11,-3:-4, 4, -8, 2, -16
-3,4:6, 6, 8, 6, 12
-2,3:-4, -6, 6, -8, -20, -6
-2,3:-4, -6, 6, -8, -12, -14
-2,3:-4, -6, 6, -8, -8, -18
-2,3:-4, -6, 6, -8, -8, -12
3,-5:-4, -4, 4, -4, -10, 2
3,-5:-4, -4, 4, -4, -10, 4
3,-5:-4, -4, 4, -4, -10, 6
3,-5:-4, -4, 6, -4, -10, 0
3,-5:-4, -4, 6, -4, -10, 10
10,-4:-4, 2, 6, 0, 14, -4
-8,-6:-4, 2, 6, 10, 0, 14
-8,-6:-4, 2, 6, 10, 0, 18
-8,-6:-4, 2, 6, 10, 14, 0
11,-3:-4, 4, -8, -16, -4, -4
11,-3:-4, 4, -8, -16, -4, -2
11,-3:-4, 4, -8, -16, 0, -4
-2,3:-4, 4, -8, -6, 6, -16
6,-2:6, -4, -4, -6, -4, -10
-1,12:6, 6, -2, 10, 0, 18
-1,12:6, 6, -2, 10, 18, 0
-8,7:6, 6, 2, -2, -4, 20
12,4:-4, -4, -8, -12, -14, -10, 8
12,4:-4, -4, -8, -12, -14, -10, 10
12,4:-4, -4, -8, -12, -14, 6, -10
12,4:-4, -4, -8, -12, -10, 6, -14
3,-5:-4, -4, 4, -4, -10, -2, 0
3,-5:-4, -4, 4, -4, -10, -2, 2
3,-5:-4, -4, 4, -4, -10, -2, 4
20,5:-4, -4, 8, 10, 0, -4, -10
3,-5:-4, -4, 10, 6, -4, -10, 2
3,-5:-4, -4, 10, 6, -4, -10, 4
3,-5:-4, -4, 10, 6, -4, -10, 6
-1,4:-4, 0, -12, -12, -4, 6, 10
-1,4:-4, 0, -12, -12, 6, 10, -4
-1,4:-4, 0, -12, -12, 6, 10, -2
-1,4:-4, 0, -12, -4, 6, 10, -12
-1,4:-4, 0, -12, 0, 6, 10, -12
1,12:-4, 0, -12, 0, 10, -2, 16
1,12:-4, 0, -12, 0, 10, 16, -2
-1,4:-4, 0, -8, -10, 6, 10, -8
-1,4:-4, 0, -8, -10, 6, 10, 2
-3,3:-4, 0, -8, -10, 8, -8, 12
-3,3:-4, 0, -8, -10, 8, -8, 16
-3,3:-4, 0, -8, -10, 8, -8, 22
-1,4:-4, 0, -8, -4, -2, 10, -12
3,-10:-4, 0, -8, 4, 14, -14, -6
-1,4:-4, 0, -8, 6, -8, 10, -10
-1,4:-4, 0, -8, 6, -8, 10, -6
-3,3:-4, 0, -8, 8, -8, 12, -10
-3,3:-4, 0, -8, 8, -8, 12, -6
3,7:-4, 0, -8, 8, 10, -8, 2
3,7:-4, 0, -8, 8, 10, 2, -8
-3,3:-4, 0, -2, 4, 0, -8, 4
1,12:-4, 0, 0, 10, -2, 16, -12
1,12:-4, 0, 0, 10, -2, 16, -10
1,12:-4, 0, 0, 10, -2, 16, -8
14,17:-4, 0, 2, -6, -14, -10, 8
22,6:-4, 0, 4, -6, 4, -18, -6
22,6:-4, 0, 4, -6, 4, -6, -18
-1,4:-4, 0, 6, -6, -18, 10, -4
-1,4:-4, 0, 6, -6, -4, 10, -18
10,0:-4, 0, 8, -2, -24, -12, 18
10,0:-4, 0, 8, -2, -24, 18, -12
5,-1:-4, 0, 8, 8, 12, -2, 20
5,-1:-4, 0, 8, 8, 12, -2, 22
4,20:-4, 2, 2, -14, -10, 16, 14
0,0:-4, 2, 2, -14, 0, -2, 6
0,0:-4, 2, 2, -14, 0, -2, 14
0,0:-4, 2, 2, -14, 0, 6, -2
5,0:-4, 2, 2, -8, -4, -6, 0
-2,3:-4, 2, 6, -14, -18, -18, 2
-2,3:-4, 2, 6, -14, -18, -6, -18
-2,3:-4, 2, 6, -14, -18, -6, -8
-2,3:-4, 2, 6, -14, -18, 2, -18
-2,3:-4, 2, 6, -14, -18, 2, -16
-2,3:-4, 2, 6, -14, -18, 2, -14
-8,-6:-4, 2, 6, 10, 0, 12, 12
-8,-6:-4, 2, 6, 10, 0, 16, 8
-8,-6:-4, 2, 6, 10, 0, 16, 10
-8,-6:-4, 2, 6, 10, 0, 16, 12
3,-3:-4, 4, -10, -12, -14, -2, -8
-2,3:-4, 4, -10, -12, 6, -14, -6
-2,3:-4, 4, -10, -12, 6, -14, -4
11,1:-4, 4, -10, -6, -4, -12, 0
11,1:-4, 4, -10, -6, -4, 0, -12
9,0:-4, 4, -10, -6, -2, -4, 0
9,0:-4, 4, -10, -6, -2, 0, -4
11,-3:-4, 4, -8, -16, -4, 0, -4
11,-3:-4, 4, -8, -16, -4, 0, -2
11,-3:-4, 4, -8, -16, 6, 6, 10
5,17:-4, 4, -8, -12, 6, 0, 4
8,-1:-4, 4, -8, 6, -4, -4, 10
24,-10:-4, 4, -4, -16, -14, -36, -24
24,-10:-4, 4, -4, -16, -14, -36, -22
24,-10:-4, 4, -4, -16, -14, -24, -36
27,-17:-4, 4, -4, -12, -10, -46, -28
27,-17:-4, 4, -4, -12, -10, -46, -26
27,-17:-4, 4, -4, -12, -10, -46, -24
27,-17:-4, 4, -4, -12, -10, -28, -46
-2,3:-4, 4, -2, -12, 6, -16, -6
3,-5:-4, 4, 4, -6, -4, -10, 14
5,9:-4, 4, 4, 6, -14, -10, 2
5,9:-4, 4, 4, 6, -14, 2, -10
5,9:-4, 4, 4, 6, -14, 2, -8
5,9:-4, 4, 4, 6, -14, 2, -6
9,-7:6, -4, -4, 0, 4, 6, -18
14,0:6, -4, -4, 4, -8, -16, 2
14,0:6, -4, -4, 4, -8, 2, -16
0,7:6, -4, 6, 6, 8, 6, 12
-4,-7:6, 6, -4, -4, -8, -16, 2
-4,-7:6, 6, -4, -4, -8, 2, -16
-4,-7:6, 6, -4, -4, -8, 2, -12
-2,11:6, 6, -4, -4, 2, -12, 6
5,-1:6, 6, -2, -4, 10, 8, 18
-1,12:6, 6, -2, 10, 2, 18, 6
-1,12:6, 6, -2, 10, 6, 18, 4
-1,12:6, 6, -2, 10, 6, 18, 6
-3,4:6, 6, 6, -4, 6, 12, -8
-3,4:6, 6, 6, -4, 6, 12, 2
-3,4:6, 6, 6, -2, 6, 12, -4
-3,4:6, 6, 6, -2, 6, 12, -2
-3,4:6, 6, 6, -2, 6, 12, 0
5,-1:6, 6, 8, -4, 10, 10, 14
5,-1:6, 6, 8, -4, 10, 10, 20
5,-1:6, 6, 8, -4, 10, 14, 16
5,-1:6, 6, 8, -4, 10, 22, 8
