10,-5:-4, -6, -8, -20
5,-5:-4, -6, 6, -2, -4, 14
5,-5:-4, -6, 6, -2, -4, 16
5,-5:-4, -6, 6, -2, -4, 18
5,-5:-4, -6, 6, -2, 14, -4
7,3:-4, 4, 4, 4, -14, 8
7,3:-4, 4, 4, 4, 8, -14
13,-2:6, -4, -4, -6, -8, -20
0,0:6, 6, -2, 12, 12, 16
12,-9:-4, -6, 0, -8, -12, -14, -26
5,-5:-4, -6, 6, -2, -4, 22, 16
5,-5:-4, -6, 6, -2, -4, 22, 18
5,-5:-4, -6, 6, -2, -4, 22, 20
4,-6:-4, 2, 6, 0, 14, -16, -16
4,-6:-4, 2, 6, 0, 14, -16, -14
4,-6:-4, 2, 6, 0, 14, -16, -12
4,-6:-4, 2, 6, 0, 14, -12, -14
4,-6:-4, 2, 6, 0, 14, -12, -12
24,1:-4, -14, -12, 14, -12, -14, -16, -28
4,3:-4, -14, -8, 10, 10, 8, 6, -6
-9,5:-4, -14, -8, 20, 12, 26, 26, 30
11,3:-4, -14, 14, -2, -10, 4, 4, 8
10,6:-4, -12, -14, -4, -4, -6, 6, 2
10,-5:-4, -12, 4, 4, -6, -8, -20, -4
10,-5:-4, -12, 4, 4, -6, -8, -20, -2
10,-5:-4, -12, 4, 4, -6, -8, -20, 0
5,-13:-4, -6, -14, 6, -2, -16, -12, -4
5,-13:-4, -6, -14, 6, -2, -16, -12, 0
5,-13:-4, -6, -14, 6, -2, -16, -4, -12
18,-11:-4, -6, -8, -20, -20, -20, -22, -34
3,-7:-4, -6, -8, -10, -2, -8, -2, -8
-3,-5:-4, -6, 0, -2, -30, -4, -12, -4
-3,-5:-4, -6, 0, -2, -30, -4, -12, 2
17,-1:-4, -6, 0, -2, -14, -20, -28, -20
17,-1:-4, -6, 0, -2, -14, -20, -28, -14
0,-2:-4, -6, 6, -8, -12, -14, 0, 4
0,-2:-4, -6, 6, -8, -8, 0, 4, -18
0,-2:-4, -6, 6, -8, -8, 0, 4, -12
5,-5:-4, -6, 6, -2, -4, 12, 10, 18
5,-5:-4, -6, 6, -2, -4, 22, 12, 14
5,-5:-4, -6, 6, -2, -4, 22, 12, 16
5,-5:-4, -6, 6, -2, -4, 22, 12, 18
-4,5:-4, -6, 6, 0, -8, -4, 0, 14
8,-4:-4, 2, 2, -8, -14, 0, 0, 4
4,-6:-4, 2, 6, 0, 14, -16, -8, -14
4,-6:-4, 2, 6, 0, 14, -16, -8, -12
4,-6:-4, 2, 6, 0, 14, -16, -8, -10
4,-6:-4, 2, 6, 0, 14, -12, -16, -14
4,-6:-4, 2, 6, 0, 14, -12, -16, -12
4,-6:-4, 2, 6, 0, 14, -12, -16, -10
10,-5:-4, 4, 4, -6, 4, -8, -20, 10
10,-5:-4, 4, 4, -6, 4, -8, -20, 20
10,-5:-4, 4, 4, 4, 6, -8, -20, 4
10,-5:-4, 4, 4, 4, 6, -8, -20, 14
8,-2:-4, 4, 6, 6, -4, -16, -2, -2
8,-2:-4, 4, 6, 6, -4, -2, -2, -16
8,-2:6, -4, -4, -6, 6, -2, -4, 14
8,-2:6, -4, -4, -6, 6, -2, -4, 16
8,-2:6, -4, -4, -6, 6, -2, -4, 18
8,-2:6, -4, -4, -6, 6, -2, 14, -4
10,6:6, -4, -4, 4, 4, 4, -14, 8
10,6:6, -4, -4, 4, 4, 4, 8, -14
16,1:6, -4, 6, -4, -4, -6, -8, -20
3,3:6, -4, 6, 6, -2, 12, 12, 16
9,6:6, 6, -4, 0, 10, 6, 4, -8
6,6:6, 6, -2, -4, 12, 12, 16, 0
16,9:6, 6, 16, -16, 4, 2, 0, -12
5,-5:-4, -6, 6, -2, -4, 12, 18, 18, 14
5,-5:-4, -6, 6, -2, -4, 22, 12, 22, 16
5,-5:-4, -6, 6, -2, -4, 22, 12, 22, 18
5,-5:-4, -6, 6, -2, -4, 22, 12, 22, 20
1,-5:-4, -6, 6, 0, -8, -18, 14, -8, 0
12,-9:-4, -6, 6, 0, -8, -12, -14, -26, 2
12,-9:-4, -6, 6, 0, -8, -12, -14, -26, 12
12,10:-4, -6, 6, 0, 14, 0, -4, -12, -4
12,10:-4, -6, 6, 0, 14, 0, -4, -12, 2
12,-9:-4, -6, 6, 4, -8, -12, -14, -26, 2
12,-9:-4, -6, 6, 4, -8, -12, -14, -26, 4
12,-9:-4, -6, 6, 4, -8, -12, -14, -26, 6
5,7:-4, -6, 6, 6, 2, -8, -18, 2, -4
5,7:-4, -6, 6, 6, 2, -8, 2, -4, -18
5,7:-4, -6, 6, 6, 2, -8, 2, -4, -8
-3,-5:-4, -6, 6, 6, 2, -2, -30, -4, -14
-3,-5:-4, -6, 6, 6, 2, -2, -30, -4, -10
8,-2:-4, -6, 6, 10, -14, 12, -4, 14, 4
9,3:-4, -6, 6, 10, -10, 0, 4, -14, 4
9,3:-4, -6, 6, 10, -10, 0, 4, 4, -14
9,3:-4, -6, 6, 10, -10, 0, 4, 4, -10
0,-2:-4, 2, 6, -14, -18, -6, 0, 4, -18
0,-2:-4, 2, 6, -14, -18, -6, 0, 4, -8
0,-2:-4, 2, 6, -14, -18, 2, 0, 4, -18
0,-2:-4, 2, 6, -14, -18, 2, 0, 4, -16
0,-2:-4, 2, 6, -14, -18, 2, 0, 4, -14
4,-6:-4, 2, 6, 0, 14, -16, -8, -18, -16
4,-6:-4, 2, 6, 0, 14, -16, -8, -18, -14
4,-6:-4, 2, 6, 0, 14, -16, -8, -18, -12
4,-6:-4, 2, 6, 0, 14, -12, -16, -6, -12
4,-6:-4, 2, 6, 0, 14, -12, -16, -6, -10
4,-6:-4, 2, 6, 0, 14, -12, -16, -6, -8
11,-3:-4, 4, -10, -8, -16, -2, -2, 2, -4
11,-3:-4, 4, -10, -8, -16, -2, -2, 2, 0
11,-3:-4, 4, -10, 0, -8, -16, -2, -2, 2
20,-7:-4, 4, -10, 2, -16, -18, -20, -32, -14
20,-7:-4, 4, -10, 2, -16, -18, -20, -32, -4
20,-7:-4, 4, -10, 2, -16, -18, -20, -4, -32
14,3:-4, 4, -2, -12, -6, 2, -2, -4, -16
10,-4:-4, 4, -2, -12, -2, -10, -6, -2, -6
10,-5:-4, 4, 4, 4, 12, -8, -20, 14, -6
10,-5:-4, 4, 4, 4, 12, -8, -20, 14, -2
5,-5:-4, 4, 4, 6, -6, -2, -4, 16, 14
5,-14:-4, 4, 6, 6, -4, -14, -10, -12, -24
15,-6:6, -4, -4, -6, 0, -8, -12, -14, -26
8,-2:6, -4, -4, -6, 6, -2, -4, 22, 16
8,-2:6, -4, -4, -6, 6, -2, -4, 22, 18
8,-2:6, -4, -4, -6, 6, -2, -4, 22, 20
7,-3:6, -4, -4, 2, 6, 0, 14, -16, -16
7,-3:6, -4, -4, 2, 6, 0, 14, -16, -14
7,-3:6, -4, -4, 2, 6, 0, 14, -16, -12
7,-3:6, -4, -4, 2, 6, 0, 14, -12, -14
7,-3:6, -4, -4, 2, 6, 0, 14, -12, -12
0,6:6, 6, -4, -4, 2, -12, 6, 8, 12
-6,10:6, 6, -4, 0, 16, -12, 14, 6, 14
-6,10:6, 6, -4, 0, 16, -12, 14, 6, 20
14,14:6, 6, -4, 0, 16, 4, -2, -10, -2
14,14:6, 6, -4, 0, 16, 4, -2, -10, 4
16,6:6, 6, -2, -4, -2, 10, 16, 10, 12
-6,38:6, 6, -2, 12, 0, 18, 28, 6, 50
-6,38:6, 6, -2, 12, 0, 18, 28, 50, 6
-6,38:6, 6, -2, 12, 0, 18, 28, 50, 8
-6,38:6, 6, -2, 12, 0, 18, 28, 50, 10
10,9:6, 6, -2, 12, 2, 10, 8, 6, -6
12,-5:6, 6, -2, 16, 4, -6, -8, -10, -22
3,7:6, 6, 8, -4, -8, -8, -4, 10, 4
-4,2:6, 6, 8, 2, 10, 4, 18, 18, 22
4,6:6, 6, 8, 10, 12, 4, 6, 8, 12
4,6:6, 6, 8, 10, 12, 4, 6, 8, 22
4,6:6, 6, 8, 10, 12, 4, 6, 12, 8
-6,3:6, 6, 8, 10, 18, -2, 18, 16, 4
1,0:6, 6, 14, 6, 6, 12, -4, 6, 16
1,0:6, 6, 14, 6, 6, 12, -4, 6, 20
1,0:6, 6, 14, 6, 6, 12, -4, 16, 6
1,0:6, 6, 14, 6, 6, 12, -4, 16, 16
1,0:6, 6, 14, 6, 6, 12, 16, 16, -4
5,2:6, 6, 14, 6, 10, 8, 6, 4, -8
16,9:6, 6, 16, -8, 4, 2, 0, -12, -14
