3,4:-4, -6, 6, 10, -10, -2
8,-10:-4, -12, 4, -6, -14, -8, -12
-2,-4:-4, -6, 6, 6, 12, 16, 0
3,-2:-4, 4, -2, -12, -2, -2, -12
7,8:-4, 4, 4, 4, 6, 8, 16
7,3:6, 6, 8, -4, -8, 10, 4
2,-13:-4, -12, -8, -14, -22, 2, 4, -20
2,-9:-4, -12, -8, -14, -22, 2, 4, -14
2,-9:-4, -12, -8, -14, -22, 2, 4, -8
2,-9:-4, -12, -8, -14, 2, 4, -14, -18
2,-9:-4, -12, -8, -14, 2, 4, -14, -16
2,-9:-4, -12, -8, -14, 2, 4, -14, -14
2,-9:-4, -12, -8, -14, 2, 4, -8, -22
2,-9:-4, -12, -8, -14, 2, 4, -8, -20
2,-9:-4, -12, -8, -14, 2, 4, -8, -18
14,1:-4, -12, -8, -2, -14, -8, -20, -10
3,-12:-4, -12, -8, -2, -14, -8, -18, -12
14,1:-4, -12, -8, -2, -14, -8, -10, -20
14,1:-4, -12, -8, -2, -14, -8, -10, -18
-2,-4:-4, -6, -14, 6, 6, 12, 16, 0
12,-19:-4, 2, 0, -8, 4, -28, -22, -20
12,-19:-4, 2, 0, -8, 4, -22, -22, -28
15,4:-4, 2, 6, -14, -8, -12, -18, 4
15,4:-4, 2, 6, -14, -8, -12, 4, -18
15,4:-4, 2, 6, -14, -8, -12, 4, -16
1,-8:-4, 2, 6, -8, 6, -2, -14, -6
21,7:-4, 2, 6, 0, -4, -22, -22, 4
21,7:-4, 2, 6, 0, -4, -22, -22, 6
21,7:-4, 2, 6, 0, -4, -22, -22, 8
21,7:-4, 2, 6, 0, -4, -22, 4, -22
21,7:-4, 2, 6, 0, -4, -22, 4, -20
12,-8:-4, 2, 6, 0, -4, -10, 4, -18
-2,-4:-4, 2, 6, 6, 12, 16, 0, -12
-2,-4:-4, 2, 6, 6, 12, 16, 0, -2
0,-6:-4, 4, -2, -12, 6, 4, -12, -4
-1,-1:-4, 4, -2, -8, 6, 4, 2, -8
-1,-1:-4, 4, -2, -8, 6, 4, 2, -6
6,7:6, -4, -4, -6, 6, 10, -10, -2
11,7:6, 6, -2, -2, -2, -4, -6, -14
1,3:6, 6, -2, 4, 8, 4, 4, 14
-7,8:6, 6, -2, 14, 8, 16, 10, 14
-1,-2:6, 6, 8, -4, -4, -10, -18, 2
15,4:-4, 2, 6, -14, -8, -12, -22, 4, -16
15,4:-4, 2, 6, -14, -8, -12, -18, 0, 2
15,4:-4, 2, 6, -14, -8, -12, -18, 6, 0
15,4:-4, 2, 6, -14, -8, -12, -18, 6, 6
15,4:-4, 2, 6, -14, -8, -12, -18, 6, 8
15,4:-4, 2, 6, -14, -8, -12, -18, 10, 6
15,4:-4, 2, 6, -14, -8, -12, -18, 10, 8
15,4:-4, 2, 6, -14, -8, -12, -18, 10, 10
15,4:-4, 2, 6, -14, -8, 0, 4, -2, -12
8,-3:-4, 2, 6, 0, -8, -16, 14, -4, 8
8,-3:-4, 2, 6, 0, -8, -16, 14, 8, -4
8,-3:-4, 2, 6, 0, -8, -16, 14, 8, -2
8,-3:-4, 2, 6, 0, -8, -16, 14, 8, 0
21,7:-4, 2, 6, 0, -4, -22, -26, 4, -24
21,7:-4, 2, 6, 0, -4, -22, -26, 4, -22
21,7:-4, 2, 6, 0, -4, -22, -26, 4, -20
21,7:-4, 2, 6, 0, -4, -22, -22, 12, 6
21,7:-4, 2, 6, 0, -4, -22, -22, 12, 8
21,7:-4, 2, 6, 0, -4, -22, -22, 12, 10
7,7:-4, 2, 6, 6, 2, -4, -14, 2, 6
7,7:-4, 2, 6, 6, 2, -4, 2, 6, -14
0,-1:-4, 4, -10, -12, 6, -14, 6, 0, 10
-2,-4:-4, 4, -10, -12, 6, 6, 12, 16, 0
1,0:-4, 4, -10, 2, -16, -10, -6, -10, 2
-2,-4:-4, 4, -10, 6, 6, 12, 16, 0, -14
-2,-4:-4, 4, -10, 6, 6, 12, 16, 0, -12
-2,-4:-4, 4, -10, 6, 6, 12, 16, 0, -10
-2,-9:-4, 4, -2, -12, 6, 6, 10, 2, 6
-2,-9:-4, 4, -2, -12, 6, 6, 10, 2, 10
-2,-9:-4, 4, -2, -12, 6, 6, 10, 10, 2
-2,-9:-4, 4, -2, -12, 6, 6, 10, 10, 4
-2,-9:-4, 4, -2, -12, 6, 6, 10, 10, 6
-1,-1:-4, 4, -2, -8, 6, 4, 2, -12, -10
-1,-1:-4, 4, -2, -8, 6, 4, 2, -12, -8
-1,-1:-4, 4, -2, -8, 6, 4, 2, -12, -6
11,-7:6, -4, -4, -12, 4, -6, -14, -8, -12
1,-1:6, -4, -4, -6, 6, 6, 12, 16, 0
6,1:6, -4, -4, 4, -2, -12, -2, -2, -12
10,11:6, -4, -4, 4, 4, 4, 6, 8, 16
10,6:6, -4, 6, 6, 8, -4, -8, 10, 4
-1,-2:6, 6, -4, -4, -4, -10, -18, 2, 4
-1,-2:6, 6, -4, -4, -4, -10, -18, 2, 14
-5,1:6, 6, -4, -4, -4, 10, 4, 12, 8
-5,12:6, 6, -4, -4, 2, 6, -6, 12, 20
10,21:6, 6, -4, -4, 2, 6, -6, 24, 22
10,21:6, 6, -4, -4, 2, 6, -6, 24, 24
10,21:6, 6, -4, -4, 2, 6, 24, 22, -6
10,21:6, 6, -4, -4, 2, 6, 24, 22, -4
10,21:6, 6, -4, -4, 2, 6, 24, 22, -2
7,15:6, 6, -4, -4, 16, -2, 10, 14, 18
7,15:6, 6, -4, -4, 16, -2, 10, 14, 20
7,15:6, 6, -4, -4, 16, 10, 14, 18, -2
-16,12:6, 6, -4, 2, 10, -2, 14, 22, 30
-16,12:6, 6, -4, 2, 10, -2, 14, 30, 22
-1,-2:6, 6, -2, -4, -4, -10, -18, 16, 2
-3,0:6, 6, -2, -4, 4, -2, 8, 14, 6
2,-1:6, 6, -2, -4, 4, -2, 10, 0, 8
2,-1:6, 6, -2, -4, 4, -2, 10, 0, 10
-6,2:6, 6, 14, 10, -4, 16, -2, 10, 20
-6,2:6, 6, 14, 10, -4, 16, -2, 10, 22
-6,2:6, 6, 14, 10, -4, 16, -2, 10, 24
-6,2:6, 6, 14, 10, -4, 16, -2, 16, 16
-6,2:6, 6, 14, 10, -4, 16, -2, 16, 18
-6,2:6, 6, 14, 10, -4, 16, -2, 16, 20
-6,2:6, 6, 14, 10, -4, 16, -2, 20, 10
-6,2:6, 6, 14, 10, -4, 16, -2, 20, 16
-10,2:6, 6, 14, 10, -4, 16, -2, 20, 22
4,14:6, 6, 14, 10, 4, 16, 10, 12, 20
4,14:6, 6, 14, 10, 4, 16, 10, 12, 22
-9,3:6, 6, 14, 10, 4, 16, 10, 18, 14
4,14:6, 6, 14, 10, 4, 16, 10, 22, 12
