11,-4:-4, 4, -2, -12, -2, -2, -2, 8
6,-9:-4, -6, -8, -4, -14, -20, -20, -2, -16
-2,-1:-4, -6, 6, 0, -8, 14, -10, -20, -10
11,-4:-4, 4, -2, -12, -2, -2, -2, -2, 10
11,-4:-4, 4, -2, -12, -2, -2, -2, -2, 12
11,-4:-4, 4, -2, -12, -2, -2, -2, -2, 14
11,-4:-4, 4, -2, -12, -2, -2, -2, 10, -2
11,-4:-4, 4, -2, -12, -2, -2, -2, 10, 0
11,-4:-4, 4, -2, -12, -2, -2, -2, 10, 2
-3,5:6, 6, -4, 2, 10, 16, 16, -2, 12
-2,12:6, 6, -2, 4, 8, 4, 4, 4, -6
6,-9:-4, -12, -8, -14, -20, -20, -2, -16, 2, -2
6,-9:-4, -12, -8, -14, -20, -20, -2, -16, 2, 2
4,-5:-4, 2, 6, 0, -8, -14, -14, 4, -10, 2
4,-5:-4, 2, 6, 0, -8, -14, -14, 4, -10, 12
8,-2:-4, 2, 6, 0, -8, -14, 6, 8, 10, 2
0,10:-4, 2, 6, 0, -8, -4, -10, -14, -2, -10
11,-4:-4, 4, -2, -12, -2, -2, -2, -2, 6, 8
11,-4:-4, 4, -2, -12, -2, -2, -2, -2, 6, 10
11,-4:-4, 4, -2, -12, -2, -2, -2, -2, 6, 12
11,-4:-4, 4, -2, -12, -2, -2, -2, 6, 10, 0
11,-4:-4, 4, -2, -12, -2, -2, -2, 6, 10, 2
11,-4:-4, 4, -2, -12, -2, -2, -2, 6, 10, 4
4,-5:-4, 4, 6, 4, -8, -14, -14, 4, -10, 0
4,-5:-4, 4, 6, 4, -8, -14, -14, 4, -10, 2
7,-2:6, -4, -4, 2, 0, -8, -14, -14, 4, -10
14,-1:6, -4, -4, 4, -2, -12, -2, -2, -2, 8
-2,12:6, 6, -2, 4, 8, 4, 4, 4, -12, 0
-2,12:6, 6, -2, 4, 8, 4, 4, 4, -12, 2
-2,12:6, 6, -2, 4, 8, 4, 4, 4, -12, 4
-2,12:6, 6, -2, 4, 8, 4, 4, 4, 0, -12
-2,12:6, 6, -2, 4, 8, 4, 4, 4, 0, -10
-2,12:6, 6, -2, 4, 8, 4, 4, 4, 0, -8
1,-1:6, 6, 8, -4, 2, 10, -12, 12, 22, 12
-7,7:6, 6, 8, 10, 2, 16, 22, 22, 4, 18
8,-2:-4, 2, 6, 0, -8, -14, 6, 8, 10, -2, 4
8,-2:-4, 2, 6, 0, -8, -14, 6, 8, 10, -2, 6
8,-2:-4, 2, 6, 0, -8, -14, 6, 8, 10, 4, -2
8,-2:-4, 2, 6, 0, -8, -14, 6, 8, 10, 4, 0
8,-2:-4, 2, 6, 0, -8, -14, 6, 8, 10, 8, 2
0,10:-4, 2, 6, 0, -8, -4, -10, -14, -2, -16, -4
0,10:-4, 2, 6, 0, -8, -4, -10, -14, -2, -16, -2
0,10:-4, 2, 6, 0, -8, -4, -10, -14, -2, -16, 0
0,10:-4, 2, 6, 0, -8, -4, -10, -14, -2, -4, -16
0,10:-4, 2, 6, 0, -8, -4, -10, -14, -2, -4, -14
0,10:-4, 2, 6, 0, -8, -4, -10, -14, -2, -4, -12
18,-2:-4, 4, -10, -12, -12, -12, -4, -10, -20, -10, -14
11,-4:-4, 4, -2, -12, -2, -2, -2, -4, -6, 10, 2
11,-4:-4, 4, -2, -12, -2, -2, -2, -2, 6, 16, 10
11,-4:-4, 4, -2, -12, -2, -2, -2, -2, 6, 16, 12
11,-4:-4, 4, -2, -12, -2, -2, -2, -2, 6, 16, 14
11,-4:-4, 4, -2, -12, -2, -2, -2, -2, 16, 18, 10
11,-4:-4, 4, -2, -12, -2, -2, -2, 6, -4, 10, -2
11,-4:-4, 4, -2, -12, -2, -2, -2, 6, -4, 10, 0
11,-4:-4, 4, -2, -12, -2, -2, -2, 6, -4, 10, 2
13,2:-4, 4, -2, 6, 6, 12, 10, 16, 8, -4, 10
13,2:-4, 4, -2, 6, 6, 12, 10, 16, 8, -4, 12
13,2:-4, 4, -2, 6, 6, 12, 10, 16, 8, -4, 14
4,-5:-4, 4, 6, 4, -8, -14, -14, 4, -10, 6, 0
4,-5:-4, 4, 6, 4, -8, -14, -14, 4, -10, 6, 2
4,-5:-4, 4, 6, 4, -8, -14, -14, 4, -10, 6, 4
9,-6:6, -4, -4, -6, -8, -4, -14, -20, -20, -2, -16
1,2:6, -4, -4, -6, 6, 0, -8, 14, -10, -20, -10
41,1:6, -4, -4, 4, -10, 2, -16, -26, -40, -8, -32
14,-1:6, -4, -4, 4, -2, -12, -2, -2, -2, -2, 10
14,-1:6, -4, -4, 4, -2, -12, -2, -2, -2, -2, 12
14,-1:6, -4, -4, 4, -2, -12, -2, -2, -2, -2, 14
14,-1:6, -4, -4, 4, -2, -12, -2, -2, -2, 10, -2
14,-1:6, -4, -4, 4, -2, -12, -2, -2, -2, 10, 0
14,-1:6, -4, -4, 4, -2, -12, -2, -2, -2, 10, 2
0,8:6, -4, 6, 6, -4, 2, 10, 16, 16, -2, 12
1,15:6, -4, 6, 6, -2, 4, 8, 4, 4, 4, -6
0,9:6, 6, -4, -4, 2, 10, -4, -6, 16, -8, 0
12,1:6, 6, -4, -4, 2, 10, 6, 12, 16, 4, 12
-3,5:6, 6, -4, -4, 2, 10, 16, 16, -2, 12, -10
-3,5:6, 6, -4, -4, 2, 10, 16, 16, -2, 12, 0
-3,5:6, 6, -2, -4, -2, 10, 16, 16, -2, 12, 0
-3,5:6, 6, -2, -4, -2, 10, 16, 16, -2, 12, 2
-2,12:6, 6, -2, 4, 8, 4, 4, 4, -12, -4, -2
-2,12:6, 6, -2, 4, 8, 4, 4, 4, -12, -4, 0
-2,12:6, 6, -2, 4, 8, 4, 4, 4, -12, -4, 2
-2,12:6, 6, -2, 4, 8, 4, 4, 4, 0, -4, -10
-2,12:6, 6, -2, 4, 8, 4, 4, 4, 0, -4, -8
-2,12:6, 6, -2, 4, 8, 4, 4, 4, 0, -4, -6
-7,7:6, 6, 14, 10, -4, 16, 22, 22, 4, 18, 0
-7,7:6, 6, 14, 10, -4, 16, 22, 22, 4, 18, 4
