8,-1:-4, 4, -2, 6, 4, 4, -16
8,-1:-4, 4, -2, 6, 6, 2, -16, 10
13,-2:-4, -12, -8, -14, -10, -16, -14, 2, 6
13,2:-4, -12, 4, -6, 2, -4, 6, 10, -18
8,-1:-4, 4, -2, 6, 6, 2, 12, -16, 6
8,-1:-4, 4, -2, 6, 6, 2, 12, -16, 8
8,-1:-4, 4, -2, 6, 6, 2, 12, -16, 10
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 16
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 20
11,2:6, -4, -4, 4, -2, 6, 4, 4, -16
12,-9:-4, -12, -8, -18, -14, -8, -14, -8, -28, 2
12,-9:-4, -12, -8, -18, -14, -8, -14, -8, -28, 4
12,-9:-4, -12, -8, -18, -14, -8, -14, -8, -28, 6
12,-9:-4, -12, -8, -18, -14, -8, -14, -8, 2, -28
-2,-9:-4, -12, -8, -2, 8, -2, -10, -22, -14, 8
-2,-9:-4, -12, -8, -2, 8, -2, -10, -22, -14, 10
-2,-9:-4, -12, -8, -2, 8, -2, -10, -22, -14, 12
-2,-9:-4, -12, -8, -2, 8, -2, -10, -22, 8, -14
-2,-9:-4, -12, -8, -2, 8, -2, -10, 4, -4, -20
-2,-9:-4, -12, -8, -2, 8, -2, -10, 4, -4, -10
0,-10:-4, -12, 4, -6, -14, -8, -20, -20, -4, -8
10,-5:-4, -6, 0, -8, -2, -8, 0, -2, -2, -22
15,0:-4, -6, 6, -8, -12, -28, 6, -4, -24, -24
15,0:-4, -6, 6, -8, -12, -28, 6, -4, -24, -22
10,-5:-4, -6, 6, 0, -8, -2, -8, -2, 6, -22
18,-3:-4, 4, -10, 6, 0, -16, -8, -14, 14, -28
16,1:-4, 4, -2, -14, -8, -10, -2, -8, 2, -22
12,1:-4, 4, -2, -14, 6, 4, -2, 2, -4, -18
-2,2:-4, 4, -2, -14, 6, 6, 2, -2, 10, 6
8,-1:-4, 4, -2, 6, 6, 2, 12, -16, 2, 6
8,-1:-4, 4, -2, 6, 6, 2, 12, -16, 2, 8
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 18, 10
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 18, 12
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 18, 14
11,2:6, -4, -4, 4, -2, 6, 6, 2, -16, 10
14,7:6, 6, -2, -2, -2, 6, 0, -14, 16, 6
14,7:6, 6, -2, -2, -2, 6, 0, 16, 6, -14
13,2:-4, -12, 4, -6, 2, -4, 4, 2, 2, -18, 2
14,3:-4, -12, 4, -6, 2, 6, 6, 10, -18, 0, 12
14,3:-4, -12, 4, -6, 2, 6, 6, 10, -18, 0, 14
14,3:-4, -12, 4, -6, 2, 6, 6, 10, -18, 0, 16
14,3:-4, -12, 4, -6, 2, 6, 6, 10, -18, 14, 0
14,3:-4, -12, 4, -6, 2, 6, 6, 10, -18, 14, 10
14,3:-4, -12, 4, -6, 2, 6, 6, 10, 0, 12, -18
20,3:-4, -6, -14, 6, -2, -22, -10, -4, -10, 4, -24
16,-7:-4, -6, -8, -20, -20, -10, -16, -8, -10, -10, -30
11,-12:-4, -6, -8, -18, -2, -14, -6, -10, -16, -4, -30
10,-5:-4, -6, 0, -8, -2, -8, 0, 0, -4, -22, 4
-3,-6:-4, -6, 6, -2, -4, 22, 12, 12, 10, 16, 14
10,-5:-4, -6, 6, 0, -8, -2, -8, 0, -2, -22, 8
10,-5:-4, -6, 6, 0, -8, -2, -8, 0, -2, -22, 10
10,-5:-4, -6, 6, 0, -8, -2, -8, 0, -2, -22, 12
15,-4:-4, -6, 6, 10, -10, -14, -14, -6, -12, -2, -26
22,3:-4, 2, 0, -8, -14, -14, -14, -6, -12, -26, -8
22,3:-4, 2, 0, -8, -14, -14, -14, -6, -12, -8, -26
20,-21:-4, 2, 0, -8, 4, -32, -28, -34, -28, -48, -24
20,-21:-4, 2, 0, -8, 4, -32, -28, -34, -28, -48, -22
20,-21:-4, 2, 0, -8, 4, -32, -28, -34, -28, -48, -20
20,-21:-4, 2, 0, -8, 4, -32, -28, -34, -28, -24, -48
16,-1:-4, 4, -10, -12, -12, -14, -12, -4, -10, 2, -24
16,1:-4, 4, -2, -8, -10, -2, -8, 6, 4, 2, -22
8,-1:-4, 4, -2, 6, 4, 10, 10, 0, 4, -16, 8
8,-1:-4, 4, -2, 6, 4, 10, 10, 0, 4, -16, 18
8,-1:-4, 4, -2, 6, 4, 10, 10, 12, 6, -16, 10
8,-1:-4, 4, -2, 6, 4, 10, 10, 12, 6, -16, 20
8,-1:-4, 4, -2, 6, 6, 2, -16, 4, 8, 2, 6
8,-1:-4, 4, -2, 6, 6, 2, -16, 4, 8, 2, 16
8,-1:-4, 4, -2, 6, 6, 2, -16, 4, 8, 16, 2
8,-1:-4, 4, -2, 6, 6, 2, -16, 4, 8, 16, 6
8,-1:-4, 4, -2, 6, 6, 2, 12, -16, 2, 12, 6
8,-1:-4, 4, -2, 6, 6, 2, 12, -16, 2, 12, 8
8,-1:-4, 4, -2, 6, 6, 2, 12, -16, 2, 12, 10
8,-1:-4, 4, -2, 6, 6, 2, 12, -16, 12, 14, 6
8,-1:-4, 4, -2, 6, 6, 12, 2, 10, 8, -16, 6
8,-1:-4, 4, -2, 6, 6, 12, 2, 10, 8, -16, 16
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 10, 10, 18
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 10, 12, 10
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 10, 12, 12
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 10, 12, 14
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 10, 16, 4
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 10, 16, 14
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 18, 18, 12
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 18, 18, 14
8,-1:-4, 4, -2, 6, 6, 12, 6, -16, 18, 18, 16
8,-1:-4, 4, -2, 6, 6, 12, 16, 4, 10, -16, 2
16,1:6, -4, -4, -12, -8, -14, -10, -16, -14, 2, 6
16,5:6, -4, -4, -12, 4, -6, 2, -4, 6, 10, -18
11,2:6, -4, -4, 4, -2, 6, 6, 2, 12, -16, 6
11,2:6, -4, -4, 4, -2, 6, 6, 2, 12, -16, 8
11,2:6, -4, -4, 4, -2, 6, 6, 2, 12, -16, 10
11,2:6, -4, -4, 4, -2, 6, 6, 12, 6, -16, 16
11,2:6, -4, -4, 4, -2, 6, 6, 12, 6, -16, 20
14,5:6, -4, 6, -4, -4, 4, -2, 6, 4, 4, -16
7,10:6, 6, -4, 0, 10, 16, 10, 18, 16, 16, -4
7,10:6, 6, -4, 2, 10, 16, 10, 18, 16, 16, -4
14,7:6, 6, -2, -4, -4, -2, -2, 6, 0, -14, 4
14,7:6, 6, -2, -2, -2, 6, 0, -14, 10, 4, 18
14,7:6, 6, -2, -2, -2, 6, 0, -14, 10, 22, 16
14,7:6, 6, -2, -2, -2, 6, 0, -14, 10, 22, 18
14,13:6, 6, 16, -16, 4, 12, 6, 14, 12, 12, -8
