16,-5:-4, -12, -8, -14, 2, 4, -10, -14
16,-5:-4, -12, -8, -14, 2, 4, -10, -12
16,-5:-4, -12, -8, -14, 2, 4, -8, -10
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -14
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -8
0,-4:-4, -12, 4, -6, -8, 4, 4, -4, -8
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 12
-4,18:6, 6, 14, 10, -4, 16, -2, 12, 14
-4,18:6, 6, 14, 10, -4, 16, -2, 12, 16
16,-5:-4, -12, -8, -14, 2, 4, -8, -12, -14, -12
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -10
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -8
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -6
4,-3:-4, -6, 6, -8, -12, -24, -8, -10, 0, -24
27,-11:-4, -6, 6, 10, -6, -16, -4, -4, -2, -10
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -10, -14
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -10, -12
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -8, -10
-3,2:6, 6, -2, 14, 8, 10, -2, -2, 6, 10
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 10, 10
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 10, 16
-13,23:-4, -14, -8, 20, 28, 24, 10, 30, 12, 24, 26
-13,23:-4, -14, -8, 20, 28, 24, 10, 30, 12, 26, 28
-13,23:-4, -14, -8, 20, 28, 24, 10, 30, 12, 26, 30
7,21:-4, -14, 14, -2, 6, 2, -12, 8, -10, 2, 4
7,21:-4, -14, 14, -2, 6, 2, -12, 8, -10, 4, 6
7,21:-4, -14, 14, -2, 6, 2, -12, 8, -10, 4, 8
-1,7:-4, -12, -8, -18, -2, -2, -10, -6, -12, -2, -4
16,-5:-4, -12, -8, -14, 2, 4, -10, -10, -8, -14, -10
16,-5:-4, -12, -8, -14, 2, 4, -10, -10, -8, -14, 0
16,-5:-4, -12, -8, -14, 2, 4, -10, -10, -8, 0, -14
16,-5:-4, -12, -8, -14, 2, 4, -10, -10, -8, 0, -10
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -2, -8
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -2, -6
16,-5:-4, -12, -8, -14, 2, 4, -8, -8, -10, -2, -4
18,-9:-4, -6, 0, -8, -18, -14, -20, -4, -2, -16, -20
18,-9:-4, -6, 0, -8, -18, -14, -20, -4, -2, -16, -18
18,-9:-4, -6, 0, -8, -18, -14, -20, -4, -2, -14, -16
6,-9:-4, -6, 6, -8, -8, 0, 4, -4, 2, 4, 8
2,-2:-4, -6, 6, 0, -8, -18, -20, 14, -8, -32, -22
2,-2:-4, -6, 6, 0, -8, -18, -20, 14, -8, -16, -14
-5,3:-4, -6, 6, 0, 8, 4, -4, 0, -8, -10, -14
11,-9:-4, -6, 6, 6, 2, -8, 2, -6, -14, 0, -8
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, -6, 18, 4
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, -6, 18, 6
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, -6, 18, 8
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, 18, -10, 2
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, 18, -10, 4
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, 18, -10, 6
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, 18, 4, -6
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, 18, 4, -2
4,14:-4, 2, 2, -8, 2, -2, -16, 4, -14, -2, 0
4,14:-4, 2, 2, -8, 2, -2, -16, 4, -14, 0, 2
4,14:-4, 2, 2, -8, 2, -2, -16, 4, -14, 0, 4
23,2:-4, 2, 6, 0, 8, -2, -8, 14, 16, 0, -14
23,2:-4, 2, 6, 0, 8, -2, -8, 14, 16, 0, -4
-6,9:-4, 4, 4, 4, 6, 8, 12, -8, -20, -16, 8
-6,9:-4, 4, 4, 4, 6, 8, 12, -8, -20, 8, -16
-6,9:-4, 4, 4, 4, 6, 8, 12, -8, -20, 8, -14
-6,9:-4, 4, 4, 4, 6, 8, 12, -8, -2, 8, -16
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -8, -8, -14
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -8, -8, -8
3,-1:6, -4, -4, -12, 4, -6, -8, 4, 4, -4, -8
-1,21:6, -4, 6, 6, 14, 10, -4, 16, -2, 10, 12
-1,21:6, -4, 6, 6, 14, 10, -4, 16, -2, 12, 14
-1,21:6, -4, 6, 6, 14, 10, -4, 16, -2, 12, 16
-10,29:6, 6, 8, -4, -8, 8, 6, 6, 18, 4, 12
-2,6:6, 6, 8, -4, 10, 14, 8, 2, 24, 12, 26
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 10, 12, 8
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 10, 12, 10
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 10, 12, 12
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 14, 14, 14
18,-9:-4, -6, 0, -8, -18, -14, -20, -4, -2, -14, -14, -14
2,-8:-4, -6, 0, -8, -18, -2, -12, -14, -2, -2, -10, -14
7,-2:-4, -6, 6, -8, -18, -10, -12, -20, -2, -14, -2, -26
10,-4:-4, -6, 6, -8, -12, -8, -12, -26, -28, -20, -26, -12
1,-6:-4, -6, 6, -8, -8, 0, 4, -4, 0, 0, -22, -24
-1,13:-4, -6, 6, -2, -10, 12, 10, 8, 12, 2, 14, -2
-1,13:-4, -6, 6, -2, -10, 12, 10, 8, 12, 2, 14, 6
1,4:-4, -6, 6, 0, -8, -18, -20, -2, -12, 8, 2, -8
2,-2:-4, -6, 6, 0, -8, -18, -20, 14, -8, -32, -26, -32
2,-2:-4, -6, 6, 0, -8, -18, -20, 14, -8, -32, -26, -24
2,-2:-4, -6, 6, 0, -8, -18, -20, 14, -8, -32, -20, -26
2,-2:-4, -6, 6, 0, -8, -18, -20, 14, -8, -32, -20, -20
2,-2:-4, -6, 6, 0, -8, -18, -20, 14, -8, -32, -20, -18
2,-2:-4, -6, 6, 0, -8, -18, -20, 14, -8, -32, -16, -20
2,-2:-4, -6, 6, 0, -8, -18, -20, 14, -8, -32, -16, -18
2,-2:-4, -6, 6, 0, -8, -18, -20, 14, -8, -32, -16, -16
2,-2:-4, -6, 6, 0, -8, -18, -20, 14, -8, -26, -28, -12
2,-2:-4, -6, 6, 0, -8, -18, -20, 14, -8, -26, -28, -10
-18,0:-4, -6, 6, 0, -8, 14, -8, -16, -4, -6, -8, 0
-18,0:-4, -6, 6, 0, -8, 14, -8, -16, -4, -6, -8, 10
-5,3:-4, -6, 6, 0, 8, -2, -4, 0, -8, -10, -14, 12
-5,3:-4, -6, 6, 0, 8, -2, -4, 0, -8, -10, -14, 16
2,1:-4, -6, 6, 4, -8, -4, -4, 0, 6, 6, -14, -18
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, -6, 18, 0, 2
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, -6, 18, 0, 4
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, -6, 18, 0, 6
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, 18, -10, -2, 0
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, 18, -10, -2, 2
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, 18, -10, -2, 4
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, 18, 0, 4, -8
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, 18, 0, 4, -6
-14,8:-4, -6, 6, 10, -14, 12, 2, 22, 18, 0, 4, -4
6,-2:-4, -6, 6, 10, -14, 12, 14, 2, 8, 16, 24, 10
1,-1:-4, -6, 6, 10, -10, 12, 14, 2, -2, 4, -8, 22
1,-1:-4, -6, 6, 10, -10, 12, 14, 2, -2, 4, 22, -8
-9,24:-4, -6, 6, 10, -4, 2, 2, 0, -6, 12, -2, 6
38,-4:-4, -6, 6, 10, 2, -6, -16, -8, 4, -20, -6, -14
8,6:-4, -6, 6, 10, 12, 4, 4, 4, -2, -12, 6, 6
8,6:-4, -6, 6, 10, 12, 4, 4, 4, -2, 6, 6, -12
-12,-10:-4, 2, 0, -8, 4, -36, -18, -6, -18, -6, -2, -16
-12,-10:-4, 2, 0, -8, 4, -36, -18, -6, -18, -6, -2, -14
-12,-10:-4, 2, 0, -8, 4, -36, -18, -6, -18, -6, -2, -12
5,-2:-4, 2, 2, -8, -14, 2, -4, -2, -14, -14, -6, -2
4,14:-4, 2, 2, -8, 2, -2, -16, 4, -14, -2, -2, -2
4,14:-4, 2, 2, -8, 2, -2, -16, 4, -14, -2, -2, 4
18,-11:-4, 2, 6, -14, 10, 4, -12, -22, -8, -12, -12, -30
18,-11:-4, 2, 6, -14, 10, 4, -12, -22, -8, -12, -12, -20
-6,5:-4, 2, 6, -8, 2, -6, -2, -8, -18, -8, -12, -6
-6,5:-4, 2, 6, -8, 2, -6, -2, -8, -18, -8, -12, 0
-6,5:-4, 2, 6, -8, 2, -6, -2, -8, -18, -8, -12, 2
-6,5:-4, 2, 6, -8, 2, -6, -2, -8, -18, -8, -4, -6
-6,5:-4, 2, 6, -8, 2, -6, -2, -8, -18, -8, -4, -2
-6,5:-4, 2, 6, -8, 2, -6, -2, -8, -18, -8, 0, -12
-6,5:-4, 2, 6, -8, 2, -6, -2, -8, -18, -8, 0, -8
-5,1:-4, 2, 6, 0, -8, -14, 0, 10, -4, -4, -8, -14
-5,1:-4, 2, 6, 0, -8, -14, 0, 10, -4, -4, -8, -10
0,-1:-4, 2, 6, 0, -8, -4, -10, 14, 18, -2, 4, 16
0,-1:-4, 2, 6, 0, -8, -4, -10, 14, 18, -2, 16, 4
0,-1:-4, 2, 6, 0, -8, -4, 14, 18, -2, 4, 16, -10
0,-1:-4, 2, 6, 0, -8, -4, 14, 18, -2, 4, 16, -6
3,-6:-4, 4, -10, -8, -16, -18, 0, -22, -12, -22, -16, 12
3,-6:-4, 4, -10, -8, -16, -18, 0, -22, -12, -22, 12, -16
3,-6:-4, 4, -10, -8, -16, -18, 0, -22, -12, -22, 12, -14
3,-6:-4, 4, -10, -8, -16, -18, 0, -22, -12, -22, 12, -12
6,9:-4, 4, -10, -8, -16, 0, -6, 6, -2, -4, -10, 10
6,9:-4, 4, -10, -8, -16, 0, -6, 6, -2, -4, 10, -10
6,9:-4, 4, -10, -8, -16, 0, -6, 6, -2, -4, 10, -8
7,15:-4, 4, -10, 0, -8, 0, -4, -18, 2, -16, -4, -2
7,15:-4, 4, -10, 0, -8, 0, -4, -18, 2, -16, -2, 0
7,15:-4, 4, -10, 0, -8, 0, -4, -18, 2, -16, -2, 2
16,-15:-4, 4, -10, 6, 6, 2, -14, -6, -16, -20, -26, -16
16,-15:-4, 4, -10, 6, 6, 2, -14, -6, -16, -20, -26, -14
16,-15:-4, 4, -10, 6, 6, 2, -14, -6, -16, -20, -26, -12
15,-2:-4, 4, -10, 6, 6, 12, 6, 10, -14, -10, -4, 6
15,-2:-4, 4, -10, 6, 6, 12, 6, 10, -14, -10, -4, 16
15,-2:-4, 4, -10, 6, 6, 12, 6, 10, -14, -10, 6, -4
7,2:-4, 4, -2, -12, -2, -10, -18, -18, -18, -4, -10, 2
7,2:-4, 4, -2, -12, -2, -10, -18, -18, -18, -4, -10, 4
7,2:-4, 4, -2, -12, -2, -10, -18, -18, -18, -4, -10, 6
-6,11:-4, 4, -2, -12, -2, 8, -10, 4, -4, 10, -14, 24
-6,11:-4, 4, -2, -12, -2, 8, -10, 4, -4, 10, 24, -14
-9,2:-4, 4, -2, -12, 6, 2, -10, 0, 6, 20, 16, 26
-9,2:-4, 4, -2, -12, 6, 2, -10, 0, 6, 20, 16, 28
-9,2:-4, 4, -2, -12, 6, 2, -10, 0, 6, 20, 16, 30
2,-11:-4, 4, -2, -8, -12, -2, -2, -2, 6, -12, -12, 2
2,-11:-4, 4, -2, -8, -12, -2, -2, -2, 6, -12, 2, -12
2,-11:-4, 4, -2, -8, -12, -2, -2, -2, 6, -12, 2, -8
2,-11:-4, 4, -2, -8, -12, -2, -2, -2, 6, -12, 2, -2
-10,-3:-4, 4, -2, -8, -10, -18, -20, -2, 6, 0, -16, -14
-10,-3:-4, 4, -2, -8, -10, -12, -20, 6, 0, -16, -12, -10
-10,-3:-4, 4, -2, -8, -10, -12, -20, 6, 0, -16, -12, -8
-10,-3:-4, 4, -2, -8, -10, -12, -20, 6, 0, -16, -12, -6
-10,-3:-4, 4, -2, -8, -10, -12, -20, 6, 0, -16, 4, -6
-10,-3:-4, 4, -2, -8, -10, -12, -20, 6, 0, -16, 4, -2
-8,-1:-4, 4, 4, -6, -14, 4, 6, 6, 2, 18, 12, 22
-8,-1:-4, 4, 4, -6, -14, 4, 6, 6, 2, 18, 12, 24
-8,-1:-4, 4, 4, -6, -14, 4, 6, 6, 2, 18, 12, 26
-8,-1:-4, 4, 4, -6, 4, 6, 6, 2, 18, 12, 22, -14
-8,-1:-4, 4, 4, -6, 4, 6, 6, 2, 18, 12, 22, -4
9,1:-4, 4, 4, -6, 4, 16, 6, 14, -8, -20, 0, 2
9,1:-4, 4, 4, -6, 4, 16, 12, -8, -20, 0, 2, 10
9,1:-4, 4, 4, -6, 4, 16, 12, -8, -20, 0, 2, 12
9,1:-4, 4, 4, -6, 4, 16, 12, -8, -20, 0, 2, 14
9,1:-4, 4, 4, -6, 4, 16, 12, 18, -8, -20, 0, 2
9,1:-4, 4, 4, -6, 4, 16, 12, 18, -8, -20, 6, 2
3,2:-4, 4, 4, 4, 6, -8, -18, -20, 8, 2, 20, 4
-6,9:-4, 4, 4, 4, 6, 8, 12, -8, -18, -20, 8, -4
-6,9:-4, 4, 4, 4, 6, 8, 12, -8, -18, -20, 8, 0
-6,9:-4, 4, 4, 4, 6, 8, 12, -8, -18, -4, 8, -20
-6,9:-4, 4, 4, 4, 6, 8, 12, -8, -18, -4, 8, -10
-6,9:-4, 4, 4, 4, 6, 8, 12, -8, -2, -20, 8, -18
-6,9:-4, 4, 4, 4, 6, 8, 12, -8, -2, -20, 8, -14
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -8, -12, -14, -12
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -8, -8, -10, -10
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -8, -8, -10, -8
19,-2:6, -4, -4, -12, -8, -14, 2, 4, -8, -8, -10, -6
7,0:6, -4, -4, -6, 6, -8, -12, -24, -8, -10, 0, -24
30,-8:6, -4, -4, -6, 6, 10, -6, -16, -4, -4, -2, -10
22,1:6, -4, 6, -4, -4, -12, -8, -14, 2, 4, -10, -14
22,1:6, -4, 6, -4, -4, -12, -8, -14, 2, 4, -10, -12
22,1:6, -4, 6, -4, -4, -12, -8, -14, 2, 4, -8, -10
0,5:6, -4, 6, 6, -2, 14, 8, 10, -2, -2, 6, 10
-1,21:6, -4, 6, 6, 14, 10, -4, 16, -2, 10, 10, 10
-1,21:6, -4, 6, 6, 14, 10, -4, 16, -2, 10, 10, 16
3,25:6, 6, -4, -4, 2, -6, -12, -14, 4, 10, 2, 6
3,25:6, 6, -4, -4, 2, -6, -12, -14, 4, 10, 2, 16
15,6:6, 6, -4, 0, 10, 0, 4, -2, 14, 16, 2, -2
15,6:6, 6, -4, 0, 10, 0, 4, -2, 14, 16, 2, 0
15,6:6, 6, -4, 0, 10, 0, 4, -2, 14, 16, 4, 2
10,-4:6, 6, -2, -2, -2, -4, -6, -10, 10, -6, 4, 18
10,-4:6, 6, -2, -2, -2, -4, -6, -10, 10, -6, 22, 16
10,-4:6, 6, -2, -2, -2, -4, -6, -10, 10, -6, 22, 18
10,-4:6, 6, -2, -2, -2, -4, -6, -10, 10, 4, 18, -6
9,-12:6, 6, 8, -4, -8, -10, -4, 16, -20, -16, -6, 4
9,-12:6, 6, 8, -4, -8, -10, -4, 16, -20, -16, -6, 8
9,-12:6, 6, 8, -4, -8, -10, -4, 16, -20, -16, 4, -6
9,-12:6, 6, 8, -4, -8, -10, -4, 16, -20, -16, 4, -4
9,-12:6, 6, 8, -4, -8, -10, -4, 16, -20, -16, 4, -2
9,-12:6, 6, 8, -4, -8, -10, -4, 16, -20, -16, 12, -4
9,-12:6, 6, 8, -4, -8, -10, -4, 16, -20, -16, 12, -2
9,-12:6, 6, 8, -4, -8, -10, -4, 16, -20, -16, 12, 0
-8,13:6, 6, 8, -4, -4, 0, 10, 0, 8, 16, 2, 10
4,-3:6, 6, 8, -4, 2, -6, -2, 6, 2, 10, 12, 16
-1,4:6, 6, 8, -4, 2, 10, -12, 20, 22, 10, 14, 16
-1,4:6, 6, 8, -4, 2, 10, -12, 20, 22, 10, 34, 24
-8,8:6, 6, 8, -4, 10, 10, 2, -2, 6, 0, -2, -6
-8,20:6, 6, 8, 2, 10, 20, 16, 2, 22, 4, 16, 18
-8,20:6, 6, 8, 2, 10, 20, 16, 2, 22, 4, 18, 20
-8,20:6, 6, 8, 2, 10, 20, 16, 2, 22, 4, 18, 22
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 10, 12, 4, 6
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 10, 12, 4, 8
-4,18:6, 6, 14, 10, -4, 16, -2, 10, 10, 12, 4, 10
-4,18:6, 6, 14, 10, -4, 16, -2, 12, 12, 10, 2, 12
