2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, -2, 8
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, 2, 8
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, 2, 18
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, 6, 6
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, 8, 2
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, 8, 4
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, -4, 8, 6
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, 2, 8, -6
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, 2, 8, -4
2,-3:-4, -14, 10, 10, 16, 16, 6, -4, 2, 8, -2
12,1:-4, -12, -8, -14, 0, -14, -10, -8, -4, -10, -4
12,1:-4, -12, -8, -14, 0, -14, -10, -8, -4, -10, -2
12,1:-4, -12, -8, -14, 0, -14, -10, -8, -4, -10, 0
12,1:-4, -12, -8, -14, 0, -14, -10, -8, -4, -4, -12
12,1:-4, -12, -8, -14, 0, -14, -10, -8, -4, -4, -10
12,1:-4, -12, -8, -14, 0, -14, -10, -8, -4, -4, -8
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -12, -8, -6
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -12, -8, -4
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -12, -8, -2
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -16, -8
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -16, -6
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -16, -4
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -12, -10
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -6, -16
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -6, -12
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -8, -6, -14
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -8, -6, -12
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -8, -6, -10
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, -8, -2
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, -6, -10
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, 4, -4
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, 4, -2
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, 4, 0
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -12, -8, -14
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -12, -8, -8
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -12, -8, -6
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -12, -4, -8
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -12, -4, -6
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -12, -4, -4
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -6, -14, -10
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -6, -14, -8
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -10, -6, -14, -6
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -8, -6, -18, -16
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -8, -6, -18, -14
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, -8, -6, -18, -12
4,-9:-4, -6, 6, -8, -12, -8, 4, -20, 2, -10, -4, -8
4,-9:-4, -6, 6, -8, -12, -8, 6, -20, -12, -8, -10, 2
4,-9:-4, -6, 6, -8, -12, -8, 6, -20, -12, -8, -6, 0
4,-9:-4, -6, 6, -8, -12, -8, 6, -20, -12, -8, -6, 6
4,-9:-4, -6, 6, -8, -12, -8, 6, -20, -12, -8, -6, 8
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, -8, -6, 6
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, -8, -6, 8
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, -8, -6, 10
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, -8, 2, 4
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, -8, 2, 6
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, -8, 2, 8
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, -8, 12, 22
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, -6, 0, -8
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, 4, 4, -2
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, 4, 4, 0
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -12, 4, 4, 2
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, -10, 2, 4, -8
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, 2, -10, 4, -4
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, 2, -10, 4, -2
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, 2, -10, 4, 0
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, 12, 18, -14, 4
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, 12, 18, -14, 6
4,-9:-4, -6, 6, -8, -12, -8, 10, -20, 12, 22, -14, 6
4,-9:-4, -6, 6, -8, -12, -8, 10, 12, -20, -12, 14, -2
3,-19:-4, -6, 6, -8, -12, 10, 4, -2, -8, -10, -20, -16
3,-19:-4, -6, 6, -8, -12, 10, 4, -2, -8, -10, -20, -14
3,-19:-4, -6, 6, -8, -12, 10, 4, -2, -8, -10, -20, -12
3,-19:-4, -6, 6, -8, -12, 10, 4, -2, -8, -10, -14, -24
3,-19:-4, -6, 6, -8, -12, 10, 4, -2, -8, -10, -14, -22
3,-19:-4, -6, 6, -8, -12, 10, 4, -2, -8, -10, -14, -20
-3,4:-4, -6, 6, 0, -2, -30, -4, -12, -6, 14, 8, 14
-3,4:-4, -6, 6, 0, -2, -30, -4, -12, -6, 14, 8, 16
-3,4:-4, -6, 6, 0, -2, -30, -4, -12, -6, 14, 8, 18
-3,4:-4, -6, 6, 0, -2, -30, -4, -12, -6, 14, 14, 6
-3,4:-4, -6, 6, 0, -2, -30, -4, -12, -6, 14, 14, 8
-3,4:-4, -6, 6, 0, -2, -30, -4, -12, -6, 14, 14, 10
7,-25:-4, 2, 0, -8, 4, -32, -18, -12, -24, -46, -30, -26
7,-25:-4, 2, 0, -8, 4, -32, -18, -12, -24, -46, -30, -24
7,-25:-4, 2, 0, -8, 4, -32, -18, -12, -24, -46, -30, -22
7,-25:-4, 2, 0, -8, 4, -32, -18, -12, -24, -46, -24, -34
7,-25:-4, 2, 0, -8, 4, -32, -18, -12, -24, -46, -24, -32
7,-25:-4, 2, 0, -8, 4, -32, -18, -12, -24, -46, -24, -30
7,-25:-4, 2, 0, -8, 4, -32, -18, -12, -24, -30, -26, -46
7,-25:-4, 2, 0, -8, 4, -32, -18, -12, -24, -30, -26, -36
7,-25:-4, 2, 0, -8, 4, -32, -18, -12, -24, -24, -34, -34
7,-25:-4, 2, 0, -8, 4, -32, -18, -12, -24, -24, -26, -36
16,-15:-4, 2, 0, -8, 4, -30, -28, -18, -10, -30, -24, -16
16,-15:-4, 2, 0, -8, 4, -30, -28, -18, -10, -30, -24, -14
16,-15:-4, 2, 0, -8, 4, -30, -28, -18, -10, -30, -24, -12
16,-15:-4, 2, 0, -8, 4, -30, -28, -18, -10, -30, -16, -24
16,-15:-4, 2, 0, -8, 4, -30, -28, -18, -10, -30, -16, -22
16,-15:-4, 2, 0, -8, 4, -30, -28, -18, -10, -30, -16, -20
16,-15:-4, 2, 0, -8, 4, -30, -28, -18, -10, -24, -16, -32
16,-15:-4, 2, 0, -8, 4, -30, -28, -18, -10, -24, -16, -30
16,-15:-4, 2, 0, -8, 4, -30, -28, -18, -10, -24, -16, -28
-3,4:-4, 2, 6, 0, -8, -14, 6, 4, -10, 8, 14, -14
-3,4:-4, 2, 6, 0, -8, -14, 6, 4, -10, 8, 14, -4
-3,4:-4, 2, 6, 0, -8, -14, 6, 4, -4, 8, 14, -10
-3,4:-4, 2, 6, 0, -8, -14, 6, 4, -4, 8, 14, -6
4,5:-4, 4, -2, -8, -10, -18, -10, -14, -6, 8, 2, 8
4,5:-4, 4, -2, -8, -10, -18, -10, -14, -6, 8, 2, 10
4,5:-4, 4, -2, -8, -10, -18, -10, -14, -6, 8, 2, 12
4,5:-4, 4, -2, -8, -10, -18, -10, -14, -6, 8, 8, 0
4,5:-4, 4, -2, -8, -10, -18, -10, -14, -6, 8, 8, 2
4,5:-4, 4, -2, -8, -10, -18, -10, -14, -6, 8, 8, 4
4,1:-4, 4, 6, 4, -8, 6, -2, 0, 4, -14, -2, 4
4,1:-4, 4, 6, 4, -8, 6, -2, 0, 4, -14, -2, 6
4,1:-4, 4, 6, 4, -8, 6, -2, 0, 4, -14, -2, 8
4,1:-4, 4, 6, 4, -8, 6, -2, 0, 4, -14, 4, -4
4,1:-4, 4, 6, 4, -8, 6, -2, 0, 4, -14, 4, -2
4,1:-4, 4, 6, 4, -8, 6, -2, 0, 4, -14, 4, 0
4,1:-4, 4, 6, 4, -8, 6, -2, 0, 4, -2, 4, -14
-4,2:6, 6, 8, -4, 10, -8, 14, 8, 22, 6, 14, 4
-4,2:6, 6, 8, -4, 10, -8, 14, 8, 22, 14, -2, 2
-4,2:6, 6, 8, -4, 10, -8, 14, 8, 22, 14, -2, 4
-4,2:6, 6, 8, -4, 10, -8, 14, 8, 22, 14, -2, 6
-4,2:6, 6, 8, -4, 10, -8, 14, 8, 22, 14, 8, 12
-4,2:6, 6, 8, -4, 10, -2, 14, 8, 22, 6, 8, 12
-4,2:6, 6, 8, -4, 10, -2, 14, 8, 22, 6, 8, 14
-4,2:6, 6, 8, -4, 10, -2, 14, 8, 22, 6, 8, 16
-4,2:6, 6, 8, -4, 10, -2, 14, 8, 22, 6, 14, 4
-4,2:6, 6, 8, -4, 10, -2, 14, 8, 22, 6, 14, 6
-4,2:6, 6, 8, -4, 10, -2, 14, 8, 22, 6, 14, 8
-4,2:6, 6, 8, -4, 10, -2, 14, 8, 22, 12, 6, 14
-4,2:6, 6, 8, -4, 10, -2, 14, 8, 22, 12, 6, 18
-4,2:6, 6, 8, -4, 10, -2, 14, 8, 22, 12, 14, 12
-4,2:6, 6, 8, -4, 10, -2, 14, 8, 22, 12, 18, 6
-4,2:6, 6, 8, -4, 10, -2, 14, 8, 22, 12, 18, 8
-4,2:6, 6, 8, -4, 10, -2, 14, 8, 22, 12, 18, 10
6,10:6, 6, 14, 10, 16, 2, 16, 12, 6, 6, 6, 10
6,10:6, 6, 14, 10, 16, 2, 16, 12, 6, 6, 6, 12
6,10:6, 6, 14, 10, 16, 2, 16, 12, 6, 6, 6, 14
6,10:6, 6, 14, 10, 16, 2, 16, 12, 6, 6, 12, 2
6,10:6, 6, 14, 10, 16, 2, 16, 12, 6, 6, 12, 4
6,10:6, 6, 14, 10, 16, 2, 16, 12, 6, 6, 12, 6
2,0:6, 6, 16, -8, -8, -18, -14, -4, 6, -16, 0, 4
2,0:6, 6, 16, -8, -8, -18, -14, -4, 6, -16, 0, 6
2,0:6, 6, 16, -8, -8, -18, -14, -4, 6, -16, 0, 8
2,0:6, 6, 16, -8, -8, -18, -14, -4, 6, -16, 6, -4
2,0:6, 6, 16, -8, -8, -18, -14, -4, 6, -16, 6, -2
2,0:6, 6, 16, -8, -8, -18, -14, -4, 6, -16, 6, 0
2,0:6, 6, 16, -8, -8, -18, -14, -4, 6, 0, 4, -16
2,0:6, 6, 16, -8, -8, -18, -14, -4, 6, 0, 4, -6
2,0:6, 6, 16, -8, -8, -18, -14, -4, 6, 6, -4, -4
2,0:6, 6, 16, -8, -8, -18, -14, -4, 6, 6, 4, -6
