-5,0:-4, -6, -13, 6, -8, -22
-5,0:-4, -6, -13, 6, -8, -17
-5,0:-4, -6, -13, 6, -8, -16
-5,0:-4, -6, -13, 6, -8, -11
4,0:-4, 2, 1, -5, 2, -2
1,-3:-4, 2, 1, 7, 11, -8
1,-3:-4, 2, 1, 7, 13, -8
5,3:-4, 2, 2, -3, -14, -9
2,-6:-4, 4, 1, 8, 1, 4
-8,-3:-4, 4, 4, -7, -13, -2
-8,7:5, 2, -6, 14, 3, 8
-9,4:5, 2, -5, 14, 0, -14
-9,4:5, 2, -5, 14, 0, -9
-9,4:5, 2, -5, 14, 0, -8
-9,4:5, 2, -5, 14, 0, -3
0,4:5, 10, 9, 3, 10, 6
-3,1:5, 10, 9, 15, 19, 0
-3,1:5, 10, 9, 15, 21, 0
1,7:5, 10, 10, 5, -6, -1
-2,-2:5, 12, 9, 16, 9, 12
-12,1:5, 12, 12, 1, -5, 6
5,5:5, 10, 10, 5, 4, 4, 0
-4,1:5, 10, 14, 0, -8, 17, 12
-3,11:5, 10, 14, 0, -1, 9, 0
-3,11:5, 10, 14, 0, -1, 9, 1
-3,11:5, 10, 14, 0, -1, 9, 2
-3,11:5, 10, 14, 0, -1, 9, 3
-3,11:5, 10, 14, 0, -1, 9, 4
-3,11:5, 10, 14, 0, -1, 9, 5
-1,-3:5, 10, 14, 0, 14, 6, -6
-1,-3:5, 10, 14, 0, 14, 6, -5
-1,-3:5, 10, 14, 0, 14, 6, -4
-1,-3:5, 10, 14, 0, 14, 6, -3
-1,-3:5, 10, 14, 0, 14, 6, -2
-1,-3:5, 10, 14, 0, 14, 6, -1
-4,1:5, 10, 14, 0, 17, 12, -8
-4,1:5, 10, 14, 0, 17, 12, -7
-4,1:5, 10, 14, 0, 17, 12, -4
-4,1:5, 10, 14, 0, 17, 12, 3
5,4:5, 10, 14, 8, 11, 10, 16
-10,3:5, 12, 6, -4, 3, 5, 7
-10,3:5, 12, 6, -4, 3, 5, 12
1,4:5, 12, 6, 3, 14, 8, 18
-2,17:5, 12, 9, 2, -1, 5, 17
-10,5:5, 12, 9, 2, 20, 7, 16
1,-1:5, 12, 9, 16, 9, 12, 3
-9,2:5, 12, 12, 1, -5, 6, 16
-3,12:5, 12, 12, 1, 14, 5, -1
-3,12:5, 12, 12, 1, 14, 5, 0
-3,12:5, 12, 12, 1, 14, 5, 1
-3,12:5, 12, 12, 1, 14, 5, 2
-3,12:5, 12, 12, 1, 14, 5, 3
-3,12:5, 12, 12, 1, 14, 5, 4
-8,1:5, 15, -20, -11, -14, -7, -2
4,-7:5, 15, -10, -5, -6, 0, -15
-3,5:6, -3, -5, -13, 7, -4, 1
-4,2:6, -3, -5, -12, 7, -7, -21
-4,2:6, -3, -5, -12, 7, -7, -16
-4,2:6, -3, -5, -12, 7, -7, -15
-4,2:6, -3, -5, -12, 7, -7, -10
5,2:6, -3, 3, 2, -4, 3, -1
2,-1:6, -3, 3, 2, 8, 12, -7
2,-1:6, -3, 3, 2, 8, 14, -7
6,5:6, -3, 3, 3, -2, -13, -8
3,-4:6, -3, 5, 2, 9, 2, 5
-7,-1:6, -3, 5, 5, -6, -12, -1
-7,9:6, 6, 3, -5, 15, 4, 9
-8,6:6, 6, 3, -4, 15, 1, -13
-8,6:6, 6, 3, -4, 15, 1, -8
-8,6:6, 6, 3, -4, 15, 1, -7
-8,6:6, 6, 3, -4, 15, 1, -2
1,6:6, 6, 11, 10, 4, 11, 7
-2,3:6, 6, 11, 10, 16, 20, 1
-2,3:6, 6, 11, 10, 16, 22, 1
2,9:6, 6, 11, 11, 6, -5, 0
-1,0:6, 6, 13, 10, 17, 10, 13
-11,3:6, 6, 13, 13, 2, -4, 7
