4,3:5, 12, 6, 15, -8
10,0:-5, -5, 3, -3, 6, -17
6,4:-5, 4, 11, 5, 14, -9
14,12:-4, 4, -10, -17, -9, -22
14,12:-4, 4, -10, -17, -9, -21
14,12:-4, 4, -10, -17, -9, -14
14,12:-4, 4, -10, -17, -9, -13
10,16:5, 12, -2, -9, -1, -14
10,16:5, 12, -2, -9, -1, -13
10,16:5, 12, -2, -9, -1, -6
10,16:5, 12, -2, -9, -1, -5
9,1:6, -3, 5, -1, 8, -15
5,5:6, 6, 13, 7, 16, -7
10,16:5, 12, -2, -9, -1, -12, -18
10,16:5, 12, -2, -9, -1, -12, -11
10,16:5, 12, -2, -9, -1, -10, -14
10,16:5, 12, -2, -9, -1, -10, -13
10,16:5, 12, -2, -9, -1, -10, -10
10,16:5, 12, -2, -9, -1, -10, -3
10,16:5, 12, -2, -9, -1, -9, -16
10,16:5, 12, -2, -9, -1, -9, -9
10,16:5, 12, -2, -9, -1, -9, -6
10,16:5, 12, -2, -9, -1, -9, -5
10,16:5, 12, -2, -9, -1, -7, -8
10,16:5, 12, -2, -9, -1, -7, -1
10,16:5, 12, -2, -9, -1, -4, -14
10,16:5, 12, -2, -9, -1, -4, -11
10,16:5, 12, -2, -9, -1, -4, -9
10,16:5, 12, -2, -9, -1, -4, -8
10,16:5, 12, -2, -9, -1, -4, -4
4,3:5, 12, 6, 14, 9, -8, 11
4,3:5, 12, 6, 14, 9, -8, 12
4,3:5, 12, 6, 14, 9, -8, 15
4,3:5, 12, 6, 14, 9, -8, 22
15,14:6, -3, 5, -9, -16, -8, -21
15,14:6, -3, 5, -9, -16, -8, -20
15,14:6, -3, 5, -9, -16, -8, -13
15,14:6, -3, 5, -9, -16, -8, -12
11,18:6, 6, 13, -1, -8, 0, -13
11,18:6, 6, 13, -1, -8, 0, -12
11,18:6, 6, 13, -1, -8, 0, -5
11,18:6, 6, 13, -1, -8, 0, -4
10,3:6, 7, -2, 6, 0, 9, -14
6,7:6, 7, 7, 14, 8, 17, -6
