2,15:-4, -14, 11, 18, 3
2,15:-4, -14, 11, 18, 6
6,4:-4, -11, -14, -5, 7
6,4:-4, -11, -14, -5, 8
6,4:-4, -11, -5, 7, -14
9,1:-4, 4, -2, -15, 7
9,1:-4, 4, -2, 7, -15
9,1:-4, 4, -2, 7, -14
20,-3:-4, 7, -18, -25, -13
20,-3:-4, 7, -18, -25, -10
20,-3:-4, 7, -18, -25, -9
-2,19:5, -6, 19, 26, 10
-2,19:5, -6, 19, 26, 11
-2,19:5, -6, 19, 26, 14
2,8:5, -3, -6, 3, 15
2,8:5, -3, -6, 3, 16
2,8:5, -3, 3, 15, -6
5,5:5, 12, 6, -7, 15
5,5:5, 12, 6, 15, -7
5,5:5, 12, 6, 15, -6
16,1:5, 15, -10, -17, -5
16,1:5, 15, -10, -17, -2
16,1:5, 15, -10, -17, -1
15,-1:-4, -11, -13, -12, -3, -4
15,-1:-4, -11, -13, -12, -3, -3
6,-3:-4, -11, -13, -5, -8, 6
6,4:-4, -11, -13, -5, 7, -20
15,-4:-4, -11, -10, -8, -9, -4
15,-4:-4, -11, -10, -8, -9, 7
15,-4:-4, -11, -10, -8, -4, -9
15,-4:-4, -11, -10, -8, -4, 2
15,-4:-4, -11, -10, 7, 2, -8
5,-7:-4, -11, -8, -15, -11, -2
5,-7:-4, -11, -8, -15, -11, 5
5,-7:-4, -11, -8, -15, -11, 8
5,-7:-4, -11, -8, -15, -11, 9
5,-7:-4, -11, -8, -15, -2, -11
5,-7:-4, -11, -8, -15, -2, -10
6,8:-4, -11, 3, 2, 16, 3
6,8:-4, -11, 3, 2, 16, 4
-4,5:-4, -6, -13, 1, -16, 1
-4,5:-4, -6, -13, 1, 1, -16
-4,5:-4, -6, -13, 1, 1, -11
14,-4:-4, -6, -13, 6, -8, 1
14,-4:-4, -6, -13, 6, -8, 3
14,-4:-4, -6, -13, 6, -8, 6
1,9:-4, -6, -13, 6, 1, -13
1,9:-4, -6, -13, 6, 1, -10
1,9:-4, -6, -13, 6, 1, -8
10,-9:-4, -6, 6, -8, -8, 4
10,-9:-4, -6, 6, -8, -8, 9
10,-9:-4, -6, 6, -8, 4, -8
1,2:-4, 2, 1, -13, 7, 10
1,2:-4, 2, 1, 7, 10, -13
1,2:-4, 2, 1, 7, 10, -12
1,2:-4, 2, 1, 7, 10, -11
1,2:-4, 2, 1, 7, 10, -10
1,2:-4, 2, 1, 7, 10, -9
1,2:-4, 2, 1, 7, 10, -8
13,1:-4, 4, -10, -9, -23, -11
13,1:-4, 4, -10, -9, -23, -10
9,1:-4, 4, -2, -15, 6, 13
2,1:-4, 4, -2, 6, 1, -13
7,-1:-4, 4, -2, 7, -16, -8
-2,0:-4, 4, 1, 8, -16, 3
-2,0:-4, 4, 1, 8, -16, 4
-2,0:-4, 4, 1, 8, 3, -16
-2,0:-4, 4, 1, 8, 3, -15
-2,0:-4, 4, 1, 8, 3, -12
-2,0:-4, 4, 1, 8, 3, -5
1,10:-4, 4, 3, -14, -9, 1
1,10:-4, 4, 3, -14, 1, -9
1,10:-4, 4, 3, -14, 1, 2
1,10:-4, 4, 3, 1, 2, -14
1,10:-4, 4, 3, 1, 2, -3
4,10:-4, 4, 6, 5, -4, -4
4,10:-4, 4, 6, 5, -4, -3
4,10:-4, 4, 6, 5, -4, -2
4,10:-4, 4, 6, 5, -4, -1
4,10:-4, 4, 6, 5, -4, 0
3,0:5, -5, 0, -6, -9, 9
3,0:5, -5, 0, -6, -9, 10
3,0:5, -5, 0, -6, -9, 11
3,0:5, -5, 0, -6, -9, 12
3,0:5, -5, 0, -6, -9, 13
3,0:5, -5, 0, -6, -9, 14
3,0:5, -5, 0, -6, 10, -9
0,6:5, -3, -6, 3, 17, 9
11,3:5, -3, -5, -4, 5, 1
11,3:5, -3, -5, -4, 5, 2
11,3:5, -3, -5, -4, 5, 3
11,3:5, -3, -5, -4, 5, 4
11,3:5, -3, -5, -4, 5, 5
2,1:5, -3, -5, 3, 0, 14
2,8:5, -3, -5, 3, 15, -12
11,0:5, -3, -2, 0, -1, 4
11,0:5, -3, -2, 0, -1, 15
11,0:5, -3, -2, 0, 4, -1
11,0:5, -3, -2, 0, 4, 10
11,0:5, -3, -2, 15, 10, 0
1,-3:5, -3, 0, -7, -3, 6
1,-3:5, -3, 0, -7, -3, 13
1,-3:5, -3, 0, -7, -3, 16
1,-3:5, -3, 0, -7, -3, 17
1,-3:5, -3, 0, -7, 6, -3
1,-3:5, -3, 0, -7, 6, -2
2,12:5, -3, 11, 10, 24, 11
2,12:5, -3, 11, 10, 24, 12
-8,9:5, 2, -5, 9, -8, 9
-8,9:5, 2, -5, 9, 9, -8
-8,9:5, 2, -5, 9, 9, -3
10,0:5, 2, -5, 14, 0, 9
10,0:5, 2, -5, 14, 0, 11
10,0:5, 2, -5, 14, 0, 14
-3,13:5, 2, -5, 14, 9, -5
-3,13:5, 2, -5, 14, 9, -2
-3,13:5, 2, -5, 14, 9, 0
6,-5:5, 2, 14, 0, 0, 12
6,-5:5, 2, 14, 0, 0, 17
6,-5:5, 2, 14, 0, 12, 0
-3,6:5, 10, 9, -5, 15, 18
-3,6:5, 10, 9, 15, 18, -5
-3,6:5, 10, 9, 15, 18, -4
-3,6:5, 10, 9, 15, 18, -3
-3,6:5, 10, 9, 15, 18, -2
-3,6:5, 10, 9, 15, 18, -1
-3,6:5, 10, 9, 15, 18, 0
9,5:5, 12, -2, -1, -15, -3
9,5:5, 12, -2, -1, -15, -2
5,5:5, 12, 6, -7, 14, 21
-2,5:5, 12, 6, 14, 9, -5
3,3:5, 12, 6, 15, -8, 0
-6,4:5, 12, 9, 16, -8, 11
-6,4:5, 12, 9, 16, -8, 12
-6,4:5, 12, 9, 16, 11, -8
-6,4:5, 12, 9, 16, 11, -7
-6,4:5, 12, 9, 16, 11, -4
-6,4:5, 12, 9, 16, 11, 3
-3,14:5, 12, 11, -6, -1, 9
-3,14:5, 12, 11, -6, 9, -1
-3,14:5, 12, 11, -6, 9, 10
-3,14:5, 12, 11, 9, 10, -6
-3,14:5, 12, 11, 9, 10, 5
0,14:5, 12, 14, 13, 4, 4
0,14:5, 12, 14, 13, 4, 5
0,14:5, 12, 14, 13, 4, 6
0,14:5, 12, 14, 13, 4, 7
0,14:5, 12, 14, 13, 4, 8
3,17:6, -3, -13, 12, 19, 3
3,17:6, -3, -13, 12, 19, 4
3,17:6, -3, -13, 12, 19, 7
7,6:6, -3, -10, -13, -4, 8
7,6:6, -3, -10, -13, -4, 9
7,6:6, -3, -10, -4, 8, -13
10,3:6, -3, 5, -1, -14, 8
10,3:6, -3, 5, -1, 8, -14
10,3:6, -3, 5, -1, 8, -13
21,-1:6, -3, 8, -17, -24, -12
21,-1:6, -3, 8, -17, -24, -9
21,-1:6, -3, 8, -17, -24, -8
-1,21:6, 6, -5, 20, 27, 11
-1,21:6, 6, -5, 20, 27, 12
-1,21:6, 6, -5, 20, 27, 15
3,10:6, 6, -2, -5, 4, 16
3,10:6, 6, -2, -5, 4, 17
3,10:6, 6, -2, 4, 16, -5
6,7:6, 6, 13, 7, -6, 16
6,7:6, 6, 13, 7, 16, -6
6,7:6, 6, 13, 7, 16, -5
17,3:6, 6, 16, -9, -16, -4
17,3:6, 6, 16, -9, -16, -1
17,3:6, 6, 16, -9, -16, 0
