9,-7:-4, -11, -8, -11, -4, -15
9,-7:-4, -11, -8, -11, -4, -14
-3,-1:-4, -6, -13, -17, -3, -6
-3,-1:-4, -6, -13, -17, -3, -5
8,-7:-4, -6, -13, -14, -2, 1
8,-7:-4, -6, -13, -14, -2, 2
8,-7:-4, -6, -13, -14, -2, 3
8,-7:-4, -6, -13, -14, -2, 4
8,-7:-4, -6, -13, -14, -2, 5
8,-7:-4, -6, -13, -14, -2, 6
8,-7:-4, -6, -13, -2, 1, -14
8,-7:-4, -6, -13, -2, 1, -13
-2,3:-4, -6, 6, -5, -13, 6
-2,3:-4, -6, 6, -5, -13, 7
-2,3:-4, -6, 6, -5, 6, -13
-2,3:-4, -6, 6, -5, 6, -12
-2,3:-4, -6, 6, -5, 6, -11
-2,3:-4, -6, 6, -5, 6, -10
-2,3:-4, -6, 6, -5, 6, -9
-2,3:-4, -6, 6, -5, 6, -8
4,-8:-4, -6, 6, 10, -4, -2
4,-8:-4, -6, 6, 10, -4, -1
-2,4:-4, 4, 1, -1, -3, 7
-2,4:-4, 4, 1, -1, -3, 8
-5,3:-4, 4, 6, 4, 5, -11
4,-6:5, -3, -5, -3, -4, 12
5,-3:5, -3, 0, -3, 4, -7
5,-3:5, -3, 0, -3, 4, -6
-7,3:5, 2, -5, -9, 5, 2
-7,3:5, 2, -5, -9, 5, 3
4,-3:5, 2, -5, -6, 6, 9
4,-3:5, 2, -5, -6, 6, 10
4,-3:5, 2, -5, -6, 6, 11
4,-3:5, 2, -5, -6, 6, 12
4,-3:5, 2, -5, -6, 6, 13
4,-3:5, 2, -5, -6, 6, 14
4,-3:5, 2, -5, 6, 9, -6
4,-3:5, 2, -5, 6, 9, -5
-6,7:5, 2, 14, 3, -5, 14
-6,7:5, 2, 14, 3, -5, 15
-6,7:5, 2, 14, 3, 14, -5
-6,7:5, 2, 14, 3, 14, -4
-6,7:5, 2, 14, 3, 14, -3
-6,7:5, 2, 14, 3, 14, -2
-6,7:5, 2, 14, 3, 14, -1
-6,7:5, 2, 14, 3, 14, 0
0,-4:5, 2, 14, 18, 4, 6
0,-4:5, 2, 14, 18, 4, 7
-6,8:5, 12, 9, 7, 5, 15
-6,8:5, 12, 9, 7, 5, 16
-9,7:5, 12, 14, 12, 13, -3
-4,8:-5, 4, 1, 13, 2, 13, -3
-4,8:-5, 4, 1, 13, 2, 13, -2
-4,8:-5, 4, 1, 13, 2, 13, -1
2,-3:-5, 4, 1, 13, 17, 3, 5
2,-3:-5, 4, 1, 13, 17, 3, 6
-4,9:-5, 4, 11, 8, 6, 4, 14
-4,9:-5, 4, 11, 8, 6, 4, 15
-7,8:-5, 4, 11, 13, 11, 12, -4
8,-7:-4, -13, -13, -14, 1, -8, 0
1,5:-4, -13, -13, -7, -21, -3, 5
1,5:-4, -13, -13, -7, -21, -3, 6
1,5:-4, -13, -13, -7, -21, 5, -3
1,-5:-4, -13, -13, -7, -4, -21, -3
8,2:-4, -13, -9, -4, -5, 7, 3
8,2:-4, -13, -9, -4, -5, 7, 4
8,2:-4, -13, -9, -4, 7, 3, -5
8,2:-4, -13, -9, -4, 7, 3, -4
7,0:-4, -13, 4, 3, 0, 4, -6
7,0:-4, -13, 4, 3, 0, 4, -5
4,3:-4, -11, -14, -5, 9, -6, 0
4,3:-4, -11, -14, -5, 9, -6, 1
8,-7:-4, -11, -13, -14, 7, -2, -6
8,-7:-4, -11, -13, -14, 7, -2, -5
8,3:-4, -11, -13, -5, -10, -6, 0
5,2:-4, -11, 2, -10, -12, -11, -2
5,2:-4, -11, 2, -10, -12, -11, -1
-2,3:-4, -6, -14, 6, -5, 6, -2
-2,3:-4, -6, -14, 6, -5, 6, -1
-3,-1:-4, -6, -13, -17, -17, -3, -5
-3,-1:-4, -6, -13, -17, -17, -3, -4
-3,-1:-4, -6, -13, -17, -17, -3, -3
-3,-1:-4, -6, -13, -17, -17, -3, -2
-3,-1:-4, -6, -13, -17, -17, -3, -1
-3,-1:-4, -6, -13, -17, -3, -8, -12
-3,-1:-4, -6, -13, -17, -3, -8, -6
-3,-1:-4, -6, -13, -17, -3, -4, -17
-3,-1:-4, -6, -13, -17, -3, -4, -16
-3,-1:-4, -6, -13, -17, -3, -4, -15
-3,-1:-4, -6, -13, -17, -3, -4, -14
-3,-1:-4, -6, -13, -17, -3, -4, -13
-3,-1:-4, -6, -13, -17, -3, -4, -12
8,-7:-4, -6, -13, -14, -2, -2, 0
8,-7:-4, -6, -13, -14, -2, -2, 1
8,-7:-4, -6, -13, -14, -2, -2, 2
8,-7:-4, -6, -13, -14, -2, -2, 3
8,-7:-4, -6, -13, -14, -2, -2, 4
8,-7:-4, -6, -13, -14, -2, -2, 5
8,-7:-4, -6, -13, -14, -2, 9, 2
8,-7:-4, -6, -13, -14, -2, 9, 3
8,-7:-4, -6, -13, -14, -2, 9, 4
8,-7:-4, -6, -13, -14, -2, 9, 5
8,-7:-4, -6, -13, -14, -2, 9, 6
8,-7:-4, -6, -13, -14, -2, 9, 7
8,-7:-4, -6, -13, -14, 1, 1, 5
8,-7:-4, -6, -13, -14, 1, 1, 10
8,-7:-4, -6, -13, -14, 1, 1, 11
8,-7:-4, -6, -13, -14, 1, 1, 16
8,-7:-4, -6, -13, -14, 1, 2, 2
8,-7:-4, -6, -13, -14, 1, 2, 3
8,-7:-4, -6, -13, -14, 1, 2, 6
8,-7:-4, -6, -13, -14, 1, 2, 13
8,-7:-4, -6, -13, -14, 1, 5, 7
8,-7:-4, -6, -13, -14, 1, 5, 8
12,-3:-4, -6, -13, -7, -10, -2, 0
-2,3:-4, -6, 6, -8, -12, 6, -15
-2,3:-4, -6, 6, -8, -12, 6, -14
-2,3:-4, -6, 6, -8, -9, 6, -20
-2,3:-4, -6, 6, -8, -9, 6, -13
-2,3:-4, -6, 6, -8, -9, 6, -10
-2,3:-4, -6, 6, -8, -9, 6, -9
-2,3:-4, -6, 6, -8, -8, 6, -23
-2,3:-4, -6, 6, -8, -8, 6, -18
-2,3:-4, -6, 6, -8, -8, 6, -17
-2,3:-4, -6, 6, -8, -8, 6, -12
-2,3:-4, -6, 6, -5, -16, 6, -14
-2,3:-4, -6, 6, -5, -16, 6, -13
-2,3:-4, -6, 6, -5, -16, 6, -12
-2,3:-4, -6, 6, -5, -16, 6, -11
-2,3:-4, -6, 6, -5, -16, 6, -10
-2,3:-4, -6, 6, -5, -16, 6, -9
-2,3:-4, -6, 6, -5, -5, 6, -12
-2,3:-4, -6, 6, -5, -5, 6, -11
-2,3:-4, -6, 6, -5, -5, 6, -10
-2,3:-4, -6, 6, -5, -5, 6, -9
-2,3:-4, -6, 6, -5, -5, 6, -8
-2,3:-4, -6, 6, -5, -5, 6, -7
2,7:-4, -6, 6, 0, -5, 3, -7
4,-8:-4, -6, 6, 10, -4, -6, 5
4,-8:-4, -6, 6, 10, -4, -6, 6
4,-8:-4, -6, 6, 10, -4, -6, 7
4,-8:-4, -6, 6, 10, -4, -6, 8
4,-8:-4, -6, 6, 10, -4, -6, 9
4,-8:-4, -6, 6, 10, -4, -6, 10
4,-8:-4, -6, 6, 10, -4, 1, -1
4,-8:-4, -6, 6, 10, -4, 1, 5
4,-8:-4, -6, 6, 10, -4, 5, -6
4,-8:-4, -6, 6, 10, -4, 5, -5
4,-8:-4, -6, 6, 10, -4, 5, -4
4,-8:-4, -6, 6, 10, -4, 5, -3
4,-8:-4, -6, 6, 10, -4, 5, -2
7,3:-4, 2, 2, -3, -14, -11, -3
7,3:-4, 2, 2, -3, -14, -11, -2
7,3:-4, 2, 2, -3, -14, -3, -11
7,3:-4, 2, 2, -3, -14, -3, -10
-2,3:-4, 2, 6, -8, 1, 6, -7
0,-4:-4, 2, 6, 0, -3, 14, -4
10,-4:-4, 2, 6, 0, 14, -13, -4
10,-4:-4, 2, 6, 0, 14, -4, -13
10,-4:-4, 2, 6, 0, 14, -4, -12
8,3:-4, 4, -2, -12, 6, 3, -7
8,-1:-4, 4, -2, 7, -16, -1, -8
8,-1:-4, 4, -2, 7, -16, -1, -7
4,-3:5, -5, -5, -6, 9, 0, 8
-3,9:5, -5, -5, 1, -13, 5, 13
-3,9:5, -5, -5, 1, -13, 5, 14
-3,9:5, -5, -5, 1, -13, 13, 5
-3,-1:5, -5, -5, 1, 4, -13, 5
4,6:5, -5, -1, 4, 3, 15, 11
4,6:5, -5, -1, 4, 3, 15, 12
4,6:5, -5, -1, 4, 15, 11, 3
4,6:5, -5, -1, 4, 15, 11, 4
3,4:5, -5, 12, 11, 8, 12, 2
3,4:5, -5, 12, 11, 8, 12, 3
0,7:5, -3, -6, 3, 17, 2, 8
0,7:5, -3, -6, 3, 17, 2, 9
4,-3:5, -3, -5, -6, 15, 6, 2
4,-3:5, -3, -5, -6, 15, 6, 3
4,7:5, -3, -5, 3, -2, 2, 8
1,6:5, -3, 10, -2, -4, -3, 6
1,6:5, -3, 10, -2, -4, -3, 7
-6,7:5, 2, -6, 14, 3, 14, 6
-6,7:5, 2, -6, 14, 3, 14, 7
-7,3:5, 2, -5, -9, -9, 5, 3
-7,3:5, 2, -5, -9, -9, 5, 4
-7,3:5, 2, -5, -9, -9, 5, 5
-7,3:5, 2, -5, -9, -9, 5, 6
-7,3:5, 2, -5, -9, -9, 5, 7
-7,3:5, 2, -5, -9, 5, 0, -4
-7,3:5, 2, -5, -9, 5, 0, 2
-7,3:5, 2, -5, -9, 5, 4, -9
-7,3:5, 2, -5, -9, 5, 4, -8
-7,3:5, 2, -5, -9, 5, 4, -7
-7,3:5, 2, -5, -9, 5, 4, -6
-7,3:5, 2, -5, -9, 5, 4, -5
-7,3:5, 2, -5, -9, 5, 4, -4
4,-3:5, 2, -5, -6, 6, 6, 8
4,-3:5, 2, -5, -6, 6, 6, 9
4,-3:5, 2, -5, -6, 6, 6, 10
4,-3:5, 2, -5, -6, 6, 6, 11
4,-3:5, 2, -5, -6, 6, 6, 12
4,-3:5, 2, -5, -6, 6, 6, 13
4,-3:5, 2, -5, -6, 6, 17, 10
4,-3:5, 2, -5, -6, 6, 17, 11
4,-3:5, 2, -5, -6, 6, 17, 12
4,-3:5, 2, -5, -6, 6, 17, 13
4,-3:5, 2, -5, -6, 6, 17, 14
4,-3:5, 2, -5, -6, 6, 17, 15
4,-3:5, 2, -5, -6, 9, 9, 13
4,-3:5, 2, -5, -6, 9, 9, 18
4,-3:5, 2, -5, -6, 9, 9, 19
4,-3:5, 2, -5, -6, 9, 9, 24
4,-3:5, 2, -5, -6, 9, 10, 10
4,-3:5, 2, -5, -6, 9, 10, 11
4,-3:5, 2, -5, -6, 9, 10, 14
4,-3:5, 2, -5, -6, 9, 10, 21
4,-3:5, 2, -5, -6, 9, 13, 15
4,-3:5, 2, -5, -6, 9, 13, 16
8,1:5, 2, -5, 1, -2, 6, 8
-6,7:5, 2, 14, 0, -4, 14, -7
-6,7:5, 2, 14, 0, -4, 14, -6
-6,7:5, 2, 14, 0, -1, 14, -12
-6,7:5, 2, 14, 0, -1, 14, -5
-6,7:5, 2, 14, 0, -1, 14, -2
-6,7:5, 2, 14, 0, -1, 14, -1
-6,7:5, 2, 14, 0, 0, 14, -15
-6,7:5, 2, 14, 0, 0, 14, -10
-6,7:5, 2, 14, 0, 0, 14, -9
-6,7:5, 2, 14, 0, 0, 14, -4
-6,7:5, 2, 14, 3, -8, 14, -6
-6,7:5, 2, 14, 3, -8, 14, -5
-6,7:5, 2, 14, 3, -8, 14, -4
-6,7:5, 2, 14, 3, -8, 14, -3
-6,7:5, 2, 14, 3, -8, 14, -2
-6,7:5, 2, 14, 3, -8, 14, -1
-6,7:5, 2, 14, 3, 3, 14, -4
-6,7:5, 2, 14, 3, 3, 14, -3
-6,7:5, 2, 14, 3, 3, 14, -2
-6,7:5, 2, 14, 3, 3, 14, -1
-6,7:5, 2, 14, 3, 3, 14, 0
-6,7:5, 2, 14, 3, 3, 14, 1
-2,11:5, 2, 14, 8, 3, 11, 1
0,-4:5, 2, 14, 18, 4, 2, 13
0,-4:5, 2, 14, 18, 4, 2, 14
0,-4:5, 2, 14, 18, 4, 2, 15
0,-4:5, 2, 14, 18, 4, 2, 16
0,-4:5, 2, 14, 18, 4, 2, 17
0,-4:5, 2, 14, 18, 4, 2, 18
0,-4:5, 2, 14, 18, 4, 9, 7
0,-4:5, 2, 14, 18, 4, 9, 13
0,-4:5, 2, 14, 18, 4, 13, 2
0,-4:5, 2, 14, 18, 4, 13, 3
0,-4:5, 2, 14, 18, 4, 13, 4
0,-4:5, 2, 14, 18, 4, 13, 5
0,-4:5, 2, 14, 18, 4, 13, 6
3,7:5, 10, 10, 5, -6, -3, 5
3,7:5, 10, 10, 5, -6, -3, 6
3,7:5, 10, 10, 5, -6, 5, -3
3,7:5, 10, 10, 5, -6, 5, -2
-6,7:5, 10, 14, 0, 9, 14, 1
-4,0:5, 10, 14, 8, 5, 22, 4
6,0:5, 10, 14, 8, 22, -5, 4
6,0:5, 10, 14, 8, 22, 4, -5
6,0:5, 10, 14, 8, 22, 4, -4
4,7:5, 12, 6, -4, 14, 11, 1
9,-8:6, -3, -10, -12, -10, -11, 5
10,-5:6, -3, -10, -7, -10, -3, -14
10,-5:6, -3, -10, -7, -10, -3, -13
-2,1:6, -3, -5, -12, -16, -2, -5
-2,1:6, -3, -5, -12, -16, -2, -4
9,-5:6, -3, -5, -12, -13, -1, 2
9,-5:6, -3, -5, -12, -13, -1, 3
9,-5:6, -3, -5, -12, -13, -1, 4
9,-5:6, -3, -5, -12, -13, -1, 5
9,-5:6, -3, -5, -12, -13, -1, 6
9,-5:6, -3, -5, -12, -13, -1, 7
9,-5:6, -3, -5, -12, -1, 2, -13
9,-5:6, -3, -5, -12, -1, 2, -12
-1,5:6, -3, -5, 7, -4, -12, 7
-1,5:6, -3, -5, 7, -4, -12, 8
-1,5:6, -3, -5, 7, -4, 7, -12
-1,5:6, -3, -5, 7, -4, 7, -11
-1,5:6, -3, -5, 7, -4, 7, -10
-1,5:6, -3, -5, 7, -4, 7, -9
-1,5:6, -3, -5, 7, -4, 7, -8
-1,5:6, -3, -5, 7, -4, 7, -7
5,-6:6, -3, -5, 7, 11, -3, -1
5,-6:6, -3, -5, 7, 11, -3, 0
-1,6:6, -3, 5, 2, 0, -2, 8
-1,6:6, -3, 5, 2, 0, -2, 9
-4,5:6, -3, 5, 7, 5, 6, -10
5,-4:6, 6, -2, -4, -2, -3, 13
6,-1:6, 6, -2, 1, -2, 5, -6
6,-1:6, 6, -2, 1, -2, 5, -5
-6,5:6, 6, 3, -4, -8, 6, 3
-6,5:6, 6, 3, -4, -8, 6, 4
5,-1:6, 6, 3, -4, -5, 7, 10
5,-1:6, 6, 3, -4, -5, 7, 11
5,-1:6, 6, 3, -4, -5, 7, 12
5,-1:6, 6, 3, -4, -5, 7, 13
5,-1:6, 6, 3, -4, -5, 7, 14
5,-1:6, 6, 3, -4, -5, 7, 15
5,-1:6, 6, 3, -4, 7, 10, -5
5,-1:6, 6, 3, -4, 7, 10, -4
-5,9:6, 6, 3, 15, 4, -4, 15
-5,9:6, 6, 3, 15, 4, -4, 16
-5,9:6, 6, 3, 15, 4, 15, -4
-5,9:6, 6, 3, 15, 4, 15, -3
-5,9:6, 6, 3, 15, 4, 15, -2
-5,9:6, 6, 3, 15, 4, 15, -1
-5,9:6, 6, 3, 15, 4, 15, 0
-5,9:6, 6, 3, 15, 4, 15, 1
1,-2:6, 6, 3, 15, 19, 5, 7
1,-2:6, 6, 3, 15, 19, 5, 8
-5,10:6, 6, 13, 10, 8, 6, 16
-5,10:6, 6, 13, 10, 8, 6, 17
-8,9:6, 6, 13, 15, 13, 14, -2
