-1,-1:-4, -6, -7
8,-1:-4, 2, 2
-1,-1:-4, 4, -14
-5,3:5, 2, -6
-5,3:5, 2, 1
4,3:5, 10, 10
-5,3:5, 12, -6
1,0:-5, -5, -7, -15
1,0:-5, -5, -7, -8
10,0:-5, -5, 1, 1
1,0:-5, -5, 3, -15
-3,4:-5, 4, 1, -7
-3,4:-5, 4, 1, 0
6,4:-5, 4, 9, 9
-3,4:-5, 4, 11, -7
-1,-1:-4, -13, -14, -5
-1,-1:-4, -13, -14, 2
-1,-1:-4, -13, -14, 5
-1,-1:-4, -13, -14, 6
-1,-1:-4, -11, -14, -1
-1,-1:-4, -6, -13, -20
-5,3:5, -5, -6, 3
-5,3:5, -5, -6, 10
-5,3:5, -5, -6, 13
-5,3:5, -5, -6, 14
-5,3:5, -3, -6, 7
-5,3:5, 2, -5, -12
0,1:6, -3, -5, -13
0,1:6, -3, -5, -6
9,1:6, -3, 3, 3
0,1:6, -3, 5, -13
-4,5:6, 6, 3, -5
-4,5:6, 6, 3, 2
5,5:6, 6, 11, 11
-4,5:6, 6, 13, -5
8,6:-4, 2, 2, -3, -8
-1,-1:-4, 4, -10, -13, -13
-1,-1:-4, 4, -2, -15, -12
-1,-1:-4, 4, -2, -15, -7
-1,-1:-4, 4, -2, -15, -6
-1,-1:-4, 4, -2, -15, -1
-1,-1:-4, 4, -2, -12, -15
-1,-1:-4, 4, -2, -12, -14
-1,-1:-4, 4, -2, -12, -11
6,-5:-4, 4, -2, -12, -3
6,-5:-4, 4, -2, -12, 0
6,-5:-4, 4, -2, -12, 7
6,-5:-4, 4, -2, 7, -12
6,-5:-4, 4, -2, 7, -7
6,-5:-4, 4, -2, 7, -6
6,-5:-4, 4, -2, 7, -1
6,-6:-4, 4, 1, 8, 2
6,-6:-4, 4, 1, 8, 5
-2,12:5, -6, 19, 26, 17
-2,12:5, -6, 19, 26, 22
-2,12:5, -6, 19, 26, 23
-6,8:5, -6, 19, 26, 25
-2,12:5, -6, 19, 26, 28
-5,3:5, -5, -6, 4, -3
-5,8:5, -5, -6, 9, 12
-5,3:5, -5, -6, 12, 4
-5,3:5, -5, -6, 12, 5
-5,3:5, -5, -6, 12, 6
-5,3:5, -5, -6, 12, 7
-5,3:5, -5, -6, 12, 8
-5,3:5, -5, -6, 12, 9
-5,3:5, -5, -5, -4, 2
-5,6:5, -5, -5, -2, 1
-5,3:5, -5, -5, 12, -1
6,7:5, -5, -1, 4, 10
6,7:5, -5, 4, 10, 10
-5,3:5, -3, -6, 10, 0
-5,3:5, -3, -6, 10, 1
-5,3:5, -3, -6, 10, 2
-5,3:5, -3, -6, 10, 3
-5,3:5, -3, -6, 10, 4
-5,3:5, -3, -6, 10, 5
-5,3:5, -3, -6, 11, 6
-5,3:5, -3, -6, 11, 8
-5,3:5, -3, -6, 12, 0
-5,3:5, -3, -5, -8, 4
-5,3:5, -3, -5, -8, 15
-5,3:5, -3, -5, -4, 0
6,-2:5, -3, -5, 15, 1
7,5:5, -3, 3, 2, 7
-5,3:5, -3, 10, -2, 5
-5,3:5, -3, 11, -1, 10
-5,3:5, -3, 11, -1, 11
-5,3:5, -3, 11, -1, 12
-5,3:5, -3, 11, -1, 13
-5,3:5, -3, 11, -1, 14
-5,3:5, -3, 11, -1, 15
-5,3:5, -3, 11, 11, -1
-5,10:5, 2, -6, 14, 9
-5,3:5, 2, -5, -4, 2
-5,3:5, 2, -5, -3, -6
-5,3:5, 2, -5, -3, -5
-5,3:5, 2, -5, -3, -4
-5,3:5, 2, -5, -3, -3
-5,3:5, 2, -5, -3, -2
-5,3:5, 2, -5, -3, -1
-5,3:5, 2, -5, -2, 0
-5,3:5, 2, -5, -2, 2
-5,3:5, 2, -5, 1, -12
-5,3:5, 2, -5, 1, -11
-5,3:5, 2, -5, 1, -8
-5,3:5, 2, -5, 1, -1
6,-2:5, 2, -5, 1, 4
6,-2:5, 2, -5, 1, 5
6,-2:5, 2, -5, 1, 8
6,-2:5, 2, -5, 1, 15
-9,5:5, 2, 9, 1, 9
-9,5:5, 2, 9, 1, 16
-9,5:5, 2, 9, 1, 19
-9,5:5, 2, 9, 1, 20
-9,5:5, 2, 9, 3, 15
-9,5:5, 2, 9, 10, 14
-9,5:5, 2, 9, 10, 17
-9,5:5, 2, 9, 16, 1
-9,5:5, 2, 9, 16, 2
-9,5:5, 2, 9, 16, 5
-9,5:5, 2, 9, 16, 12
1,6:5, 2, 9, 16, 14
1,6:5, 2, 9, 16, 21
-9,5:5, 2, 9, 18, 1
-9,5:5, 2, 9, 18, 3
-9,5:5, 2, 9, 18, 10
-9,5:5, 2, 9, 18, 11
-6,11:5, 2, 14, 14, 5
-6,0:5, 2, 14, 14, 21
4,10:5, 10, 5, 0, -1
4,10:5, 10, 10, 5, 0
-5,3:5, 12, -2, -5, -5
-5,3:5, 12, 6, -7, -4
-5,3:5, 12, 6, -7, 1
-5,3:5, 12, 6, -7, 2
-5,3:5, 12, 6, -7, 7
-5,3:5, 12, 6, -4, -7
-5,3:5, 12, 6, -4, -6
-5,3:5, 12, 6, -4, -3
2,-1:5, 12, 6, -4, 5
2,-1:5, 12, 6, -4, 8
2,-1:5, 12, 6, -4, 15
2,-1:5, 12, 6, 15, -4
2,-1:5, 12, 6, 15, 1
2,-1:5, 12, 6, 15, 2
2,-1:5, 12, 6, 15, 7
2,-2:5, 12, 9, 16, 10
2,-2:5, 12, 9, 16, 13
0,1:6, -3, -12, -13, -4
0,1:6, -3, -12, -13, 3
0,1:6, -3, -12, -13, 6
0,1:6, -3, -12, -13, 7
0,1:6, -3, -10, -13, 0
0,1:6, -3, -5, -12, -19
-4,5:6, 6, -4, -5, 4
-4,5:6, 6, -4, -5, 11
-4,5:6, 6, -4, -5, 14
-4,5:6, 6, -4, -5, 15
-4,5:6, 6, -2, -5, 8
-4,5:6, 6, 3, -4, -11
1,3:6, 7, -2, -4, -12
1,3:6, 7, -2, -4, -5
10,3:6, 7, -2, 4, 4
1,3:6, 7, -2, 6, -12
-3,7:6, 7, 7, 4, -4
-3,7:6, 7, 7, 4, 3
6,7:6, 7, 7, 12, 12
-3,7:6, 7, 7, 14, -4
