6,-1:5, 2, 0, -12
12,-4:-5, -5, -7, -9, -21
8,0:-5, 4, 1, -1, -13
3,-6:-4, -11, 3, 3, 7
10,-8:-4, 7, -18, -25, -8
-1,-2:5, -3, 11, 11, 15
6,-4:5, 15, -10, -17, 0
11,-3:6, -3, -5, -7, -19
7,1:6, 6, 3, 1, -11
14,-3:-5, -6, -6, -8, -10, -22
10,1:-5, -6, 3, 0, -2, -14
5,-5:-5, -5, -12, 2, 2, 6
12,-7:-5, -5, 6, -19, -26, -9
1,-1:-5, 4, -4, 10, 10, 14
8,-3:-5, 4, 14, -11, -18, -1
13,-2:-5, 5, -4, -6, -8, -20
9,2:-5, 5, 5, 2, 0, -12
4,2:-4, -11, -14, 4, -10, -4
6,-8:-4, -11, -8, -15, 10, -1
-1,1:-4, -6, -13, -5, -26, 8
-1,1:-4, -6, -13, -5, 8, -26
-1,1:-4, -6, -13, -5, 8, -25
-1,1:-4, -6, -13, -5, 8, -24
-1,1:-4, -6, -13, -5, 8, -23
-1,1:-4, -6, -13, -5, 8, -22
-1,1:-4, -6, -13, -5, 8, -21
-3,-4:-4, -6, 1, -8, -7, -31
-3,-4:-4, -6, 1, -8, -7, -24
-3,-4:-4, -6, 1, -8, -7, -21
-3,-4:-4, -6, 1, -8, -7, -20
5,-5:-4, -6, 6, -2, -4, 14
5,-5:-4, -6, 6, -2, -4, 15
5,-5:-4, -6, 6, -2, -4, 16
5,-5:-4, -6, 6, -2, -4, 17
5,-5:-4, -6, 6, -2, -4, 18
5,-5:-4, -6, 6, -2, -4, 19
5,-5:-4, -6, 6, -2, 14, -4
4,-6:-4, 4, 1, 6, 8, 5
4,-6:-4, 4, 1, 6, 8, 16
7,3:-4, 4, 4, 4, -14, 8
7,3:-4, 4, 4, 4, 8, -14
18,-12:-4, 4, 6, 6, -4, -1
0,6:5, -3, -6, 12, -2, 4
2,-4:5, -3, 0, -7, 18, 7
-5,5:5, 2, -5, 3, -18, 16
-5,5:5, 2, -5, 3, 16, -18
-5,5:5, 2, -5, 3, 16, -17
-5,5:5, 2, -5, 3, 16, -16
-5,5:5, 2, -5, 3, 16, -15
-5,5:5, 2, -5, 3, 16, -14
-5,5:5, 2, -5, 3, 16, -13
-7,0:5, 2, 9, 0, 1, -23
-7,0:5, 2, 9, 0, 1, -16
-7,0:5, 2, 9, 0, 1, -13
-7,0:5, 2, 9, 0, 1, -12
1,-1:5, 2, 14, 6, 4, 22
1,-1:5, 2, 14, 6, 4, 23
1,-1:5, 2, 14, 6, 4, 24
1,-1:5, 2, 14, 6, 4, 25
1,-1:5, 2, 14, 6, 4, 26
1,-1:5, 2, 14, 6, 4, 27
1,-1:5, 2, 14, 6, 22, 4
0,-2:5, 12, 9, 14, 16, 13
0,-2:5, 12, 9, 14, 16, 24
3,7:5, 12, 12, 12, -6, 16
3,7:5, 12, 12, 12, 16, -6
14,-8:5, 12, 14, 14, 4, 7
4,-4:6, -3, -10, 4, 4, 8
11,-6:6, -3, 8, -17, -24, -7
0,0:6, 6, -2, 12, 12, 16
7,-2:6, 6, 16, -9, -16, 1
12,-1:6, 7, -2, -4, -6, -18
8,3:6, 7, 7, 4, 2, -10
14,0:-5, 5, 6, -3, -5, -7, -19
10,4:-5, 5, 6, 6, 3, 1, -11
22,0:-4, -14, -11, -13, -15, -27, 13
22,0:-4, -14, -11, -13, -15, -27, 14
22,0:-4, -14, -11, -13, -15, -27, 15
22,0:-4, -14, -11, -13, -15, -27, 16
22,0:-4, -14, -11, -13, -15, -27, 17
22,0:-4, -14, -11, -13, -15, -27, 18
22,0:-4, -14, -11, -13, -15, 13, -27
2,2:-4, -14, -9, 11, 9, 7, -5
-2,6:-4, -14, -9, 20, 17, 15, 3
18,4:-4, -14, -2, -5, -7, -19, 13
18,4:-4, -14, -2, -5, -7, -19, 14
18,4:-4, -14, -2, -5, -7, -19, 15
18,4:-4, -14, -2, -5, -7, -19, 16
18,4:-4, -14, -2, -5, -7, -19, 17
18,4:-4, -14, -2, -5, -7, -19, 18
18,4:-4, -14, -2, -5, -7, 13, -19
5,11:-4, -14, 10, 10, 17, 12, 20
5,11:-4, -14, 10, 10, 17, 12, 21
5,11:-4, -14, 10, 10, 17, 12, 22
5,11:-4, -14, 10, 10, 17, 12, 23
5,11:-4, -14, 10, 10, 17, 12, 24
5,11:-4, -14, 10, 10, 17, 12, 25
5,11:-4, -14, 10, 10, 17, 20, 12
-2,6:-4, -14, 20, 17, 15, 3, -9
-2,6:-4, -14, 20, 17, 15, 3, -8
-2,6:-4, -14, 20, 17, 15, 3, -7
-2,6:-4, -14, 20, 17, 15, 3, -6
-2,6:-4, -14, 20, 17, 15, 3, -5
-2,6:-4, -14, 20, 17, 15, 3, -4
10,6:-4, -13, -14, -4, -1, 6, 2
1,5:-4, -13, -13, -7, -21, 12, 4
12,0:-4, -13, -9, 1, -3, -5, -17
6,-10:-4, -13, -8, -9, -10, 0, 6
3,-6:-4, -13, -4, -3, -10, -11, 6
11,8:-4, -11, -14, -11, 0, -7, 0
-1,0:-4, -11, -14, 2, -1, -9, -1
0,-3:-4, -11, -14, 4, 3, -21, -16
0,-3:-4, -11, -14, 4, 3, -21, -15
0,-3:-4, -11, -14, 4, 3, -21, -12
0,-3:-4, -11, -14, 4, 3, -12, -21
0,-3:-4, -11, -14, 4, 3, -12, -20
0,-3:-4, -11, -14, 4, 3, -12, -19
0,-3:-4, -11, -14, 4, 3, -12, -18
0,-3:-4, -11, -14, 4, 3, -12, -17
0,-3:-4, -11, -14, 4, 3, -12, -16
26,-1:-4, -11, -13, -12, -3, 0, -18
9,0:-4, -11, -13, 3, 3, 7, -9
11,8:-4, -11, -11, 0, -7, 0, -14
6,-8:-4, -11, -8, -15, 10, -6, -2
6,-8:-4, -11, -8, -15, 10, -6, -1
6,-8:-4, -11, -8, -15, 10, -6, 0
6,-8:-4, -11, -8, -15, 10, -6, 1
6,-8:-4, -11, -8, -15, 10, -6, 2
6,-8:-4, -11, -8, -15, 10, -6, 3
6,-8:-4, -11, -8, -15, 10, 2, -5
6,-8:-4, -11, -8, -15, 10, 2, -4
6,-8:-4, -11, -8, -15, 10, 2, -3
6,-8:-4, -11, -8, -15, 10, 2, -2
6,-8:-4, -11, -8, -15, 10, 2, -1
6,-8:-4, -11, -8, -15, 10, 2, 0
6,-8:-4, -11, -8, -15, 10, 6, 1
6,-8:-4, -11, -8, -15, 10, 6, 3
11,-12:-4, -11, -8, -11, -4, -21, -17
3,-4:-4, -11, -8, -11, -4, -8, -1
0,6:-4, -11, -8, -11, 1, 3, -2
-7,5:-4, -11, -8, 6, -2, -13, 4
-6,-1:-4, -11, -8, 6, -2, -13, 11
-6,-1:-4, -11, -8, 6, -2, -13, 13
-6,-1:-4, -11, -8, 6, -2, -13, 14
-6,-1:-4, -11, -8, 6, -2, -13, 18
-7,5:-4, -11, -8, 6, -2, 4, -13
-7,5:-4, -11, -8, 6, -2, 4, -12
-7,5:-4, -11, -8, 6, -2, 4, -11
-7,5:-4, -11, -8, 6, -2, 4, -10
-7,5:-4, -11, -8, 6, -2, 4, -9
-7,5:-4, -11, -8, 6, -2, 4, -8
-6,-1:-4, -11, -8, 6, -2, 11, -13
-6,-1:-4, -11, -8, 6, -2, 11, -12
-6,-1:-4, -11, -8, 6, -2, 11, -11
-6,-1:-4, -11, -8, 6, -2, 11, -10
-6,-1:-4, -11, -8, 6, -2, 11, -9
-6,-1:-4, -11, -8, 6, -2, 11, -8
4,-6:-4, -11, -5, -2, 5, 15, -20
4,-6:-4, -11, -5, -2, 5, 15, -19
4,-6:-4, -11, -5, -2, 5, 15, -18
4,-6:-4, -11, -5, -2, 5, 15, -17
4,-6:-4, -11, -5, -2, 5, 15, -16
4,-6:-4, -11, -5, -2, 5, 15, -15
7,-6:-4, -11, -5, -2, 5, 15, -7
9,-8:-4, -11, 2, -10, -16, -15, -5
9,-8:-4, -11, 2, -10, -16, -15, 2
9,-8:-4, -11, 2, -10, -16, -15, 5
9,-8:-4, -11, 2, -10, -16, -15, 6
9,-8:-4, -11, 2, -10, -16, -5, -15
13,0:-4, -11, 2, -10, -16, -4, -16
9,-8:-4, -11, 2, -10, -16, 4, -15
2,12:-4, -11, 3, 10, 2, -14, 16
2,12:-4, -11, 3, 10, 2, 16, -14
2,12:-4, -11, 3, 10, 2, 16, -8
2,12:-4, -11, 3, 10, 2, 16, -3
2,12:-4, -11, 3, 10, 2, 16, 0
12,-9:-4, -11, 7, -8, -12, -14, -26
6,-3:-4, -6, -14, 1, 0, -2, -14
7,4:-4, -6, -13, -7, -15, -24, -23
7,4:-4, -6, -13, -7, -15, -24, -22
7,4:-4, -6, -13, -7, -15, -24, -21
7,4:-4, -6, -13, -7, -15, -24, -20
7,4:-4, -6, -13, -7, -15, -24, -19
7,4:-4, -6, -13, -7, -15, -24, -18
15,1:-4, -6, -13, -7, 6, -5, -4
-1,1:-4, -6, -13, -5, -29, 8, -27
-1,1:-4, -6, -13, -5, -29, 8, -26
-1,1:-4, -6, -13, -5, -29, 8, -25
-1,1:-4, -6, -13, -5, -29, 8, -24
-1,1:-4, -6, -13, -5, -29, 8, -23
-1,1:-4, -6, -13, -5, -29, 8, -22
-1,1:-4, -6, -13, -5, -18, 8, -25
-1,1:-4, -6, -13, -5, -18, 8, -24
-1,1:-4, -6, -13, -5, -18, 8, -23
-1,1:-4, -6, -13, -5, -18, 8, -22
-1,1:-4, -6, -13, -5, -18, 8, -21
-1,1:-4, -6, -13, -5, -18, 8, -20
10,-12:-4, -6, -13, -2, -20, -16, 1
10,-12:-4, -6, -13, -2, -20, -16, 2
10,-12:-4, -6, -13, -2, -20, -16, 3
10,-12:-4, -6, -13, -2, -20, -16, 4
10,-12:-4, -6, -13, -2, -20, -16, 5
10,-12:-4, -6, -13, -2, -20, -16, 6
10,-12:-4, -6, -13, -2, -20, 1, -16
2,-4:-4, -6, -13, -2, -7, 2, 0
-3,-4:-4, -6, 1, -8, -7, -30, -37
-3,-4:-4, -6, 1, -8, -7, -22, -30
-3,-4:-4, -6, 1, -8, -7, -22, -29
-3,-4:-4, -6, 1, -8, -7, -22, -28
-3,-4:-4, -6, 1, -8, -7, -22, -27
-3,-4:-4, -6, 1, -8, -7, -22, -26
-3,-4:-4, -6, 1, -8, -7, -22, -25
9,12:-4, -6, 1, 0, 8, 15, -4
9,12:-4, -6, 1, 0, 8, 15, -3
3,7:-4, -6, 1, 3, -8, 9, 13
3,7:-4, -6, 1, 3, -8, 13, 9
4,8:-4, -6, 1, 10, 12, 7, 13
4,8:-4, -6, 1, 10, 12, 7, 14
4,8:-4, -6, 1, 10, 12, 7, 15
4,8:-4, -6, 1, 10, 12, 7, 16
4,8:-4, -6, 1, 10, 12, 7, 17
0,-2:-4, -6, 6, -5, -13, 0, 4
-8,6:-4, -6, 6, -5, -13, 13, 20
0,-2:-4, -6, 6, -5, 0, 4, -13
0,-2:-4, -6, 6, -5, 0, 4, -12
0,-2:-4, -6, 6, -5, 0, 4, -11
0,-2:-4, -6, 6, -5, 0, 4, -10
0,-2:-4, -6, 6, -5, 0, 4, -9
7,6:-4, -6, 6, -5, 2, -17, -9
9,1:-4, -6, 6, -5, 2, -16, -1
9,1:-4, -6, 6, -5, 2, -16, 2
9,1:-4, -6, 6, -5, 2, -1, -16
9,1:-4, -6, 6, -5, 2, -1, -15
9,1:-4, -6, 6, -5, 2, -1, -12
9,1:-4, -6, 6, -5, 2, -1, -5
-8,6:-4, -6, 6, -5, 13, 20, -13
-8,6:-4, -6, 6, -5, 13, 20, -12
-8,6:-4, -6, 6, -5, 13, 20, -11
-8,6:-4, -6, 6, -5, 13, 20, -10
-8,6:-4, -6, 6, -5, 13, 20, -9
-8,6:-4, -6, 6, -5, 13, 20, -8
5,-5:-4, -6, 6, -2, -4, 11, 13
5,-5:-4, -6, 6, -2, -4, 11, 14
5,-5:-4, -6, 6, -2, -4, 11, 15
5,-5:-4, -6, 6, -2, -4, 11, 16
5,-5:-4, -6, 6, -2, -4, 11, 17
5,-5:-4, -6, 6, -2, -4, 11, 18
5,-5:-4, -6, 6, -2, -4, 22, 15
5,-5:-4, -6, 6, -2, -4, 22, 16
5,-5:-4, -6, 6, -2, -4, 22, 17
5,-5:-4, -6, 6, -2, -4, 22, 18
5,-5:-4, -6, 6, -2, -4, 22, 19
5,-5:-4, -6, 6, -2, -4, 22, 20
0,-3:-4, -6, 6, 10, -4, -11, -1
10,-5:-4, 2, -3, -9, -8, -20, -7
10,-5:-4, 2, -3, -9, -8, -20, 0
10,-5:-4, 2, -3, -9, -8, -20, 3
10,-5:-4, 2, -3, -9, -8, -20, 4
10,-5:-4, 2, -3, -8, -8, -20, -6
10,-5:-4, 2, -3, -8, -8, -20, -5
10,-5:-4, 2, -3, -8, -8, -20, -2
10,-5:-4, 2, -3, -8, -8, -20, 5
4,-6:-4, 2, 0, -8, 1, -2, 5
-7,1:-4, 2, 1, 7, -5, 30, 19
15,-3:-4, 2, 2, -8, -9, -11, -23
4,-6:-4, 2, 6, 0, -8, 7, -3
4,-6:-4, 2, 6, 0, 3, 8, 3
2,-3:-4, 2, 6, 0, 14, -19, -15
4,-6:-4, 2, 6, 0, 14, -16, -16
4,-6:-4, 2, 6, 0, 14, -16, -15
4,-6:-4, 2, 6, 0, 14, -16, -14
4,-6:-4, 2, 6, 0, 14, -16, -13
4,-6:-4, 2, 6, 0, 14, -16, -12
4,-6:-4, 2, 6, 0, 14, -16, -11
4,-6:-4, 2, 6, 0, 14, -13, -14
4,-6:-4, 2, 6, 0, 14, -13, -13
4,-6:-4, 2, 6, 0, 14, -13, -12
4,-6:-4, 2, 6, 0, 14, -9, -14
4,-6:-4, 2, 6, 0, 14, -9, -13
4,-6:-4, 2, 6, 0, 14, -9, -12
4,-6:-4, 2, 6, 0, 14, -9, -11
4,-6:-4, 2, 6, 0, 14, -9, -10
4,-6:-4, 2, 6, 0, 14, -9, -9
16,-2:-4, 4, -10, -17, -9, -12, -7
16,-2:-4, 4, -10, -17, -9, -12, -4
16,-2:-4, 4, -10, -17, -9, -12, 1
16,-2:-4, 4, -10, -17, -9, -12, 7
16,-2:-4, 4, -10, -17, -9, -7, -12
3,1:-4, 4, -2, -12, -5, -16, 4
-9,1:-4, 4, 1, -13, 9, 3, 6
0,-1:-4, 4, 1, -1, -3, 1, 5
-8,7:-4, 4, 1, -1, -3, 14, 21
4,-6:-4, 4, 1, 6, 0, 5, 27
4,-6:-4, 4, 1, 6, 0, 5, 28
4,-6:-4, 4, 1, 6, 0, 5, 29
4,-6:-4, 4, 1, 6, 0, 5, 30
4,-6:-4, 4, 1, 6, 0, 5, 31
4,-6:-4, 4, 1, 6, 0, 5, 32
4,-6:-4, 4, 1, 6, 0, 27, 5
4,-6:-4, 4, 1, 6, 0, 27, 6
4,-6:-4, 4, 1, 6, 0, 27, 7
4,-6:-4, 4, 1, 6, 0, 27, 8
4,-6:-4, 4, 1, 6, 0, 27, 9
4,-6:-4, 4, 1, 6, 0, 27, 10
4,-6:-4, 4, 1, 6, 1, 5, 9
4,-6:-4, 4, 1, 6, 1, 5, 16
4,-6:-4, 4, 1, 6, 1, 5, 19
4,-6:-4, 4, 1, 6, 1, 5, 20
4,-6:-4, 4, 1, 6, 3, 0, 21
4,-6:-4, 4, 1, 6, 3, 21, 0
4,-6:-4, 4, 1, 6, 3, 21, 7
4,-6:-4, 4, 1, 6, 3, 21, 10
4,-6:-4, 4, 1, 6, 3, 21, 11
4,-6:-4, 4, 1, 6, 8, 0, 10
4,-6:-4, 4, 1, 6, 8, 0, 11
4,-6:-4, 4, 1, 6, 8, 0, 14
4,-6:-4, 4, 1, 6, 8, 0, 21
4,-6:-4, 4, 1, 6, 16, 16, 1
4,-6:-4, 4, 1, 6, 16, 16, 2
4,-6:-4, 4, 1, 6, 16, 16, 5
4,-6:-4, 4, 1, 6, 16, 16, 12
4,-6:-4, 4, 1, 6, 18, 21, 0
10,-5:-4, 4, 4, -6, -8, -20, 3
10,-5:-4, 4, 4, -6, -8, -20, 14
7,3:-4, 4, 4, 4, -13, 8, -20
10,0:-4, 4, 6, 6, -11, -3, -2
10,0:-4, 4, 6, 6, -11, -3, 10
10,0:-4, 4, 6, 6, -11, 13, -2
10,0:-4, 4, 6, 6, -11, 13, 5
11,-6:-4, 4, 6, 9, -13, -8, 1
21,-17:-4, 7, -27, -29, -31, -43, -3
21,-17:-4, 7, -27, -29, -31, -43, -2
21,-17:-4, 7, -27, -29, -31, -43, -1
21,-17:-4, 7, -27, -29, -31, -43, 0
21,-17:-4, 7, -27, -29, -31, -43, 1
21,-17:-4, 7, -27, -29, -31, -43, 2
21,-17:-4, 7, -27, -29, -31, -3, -43
19,3:-4, 7, -25, -5, -7, -9, -21
15,7:-4, 7, -25, 4, 1, -1, -13
17,-13:-4, 7, -18, -21, -23, -35, -3
17,-13:-4, 7, -18, -21, -23, -35, -2
17,-13:-4, 7, -18, -21, -23, -35, -1
17,-13:-4, 7, -18, -21, -23, -35, 0
17,-13:-4, 7, -18, -21, -23, -35, 1
17,-13:-4, 7, -18, -21, -23, -35, 2
17,-13:-4, 7, -18, -21, -23, -3, -35
15,1:-4, 7, -17, -17, -24, -32, -8
15,1:-4, 7, -17, -17, -24, -8, -32
15,1:-4, 7, -17, -17, -24, -8, -31
15,1:-4, 7, -17, -17, -24, -8, -30
15,1:-4, 7, -17, -17, -24, -8, -29
15,1:-4, 7, -17, -17, -24, -8, -28
15,1:-4, 7, -17, -17, -24, -8, -27
19,3:-4, 7, -5, -7, -9, -21, -25
19,3:-4, 7, -5, -7, -9, -21, -24
19,3:-4, 7, -5, -7, -9, -21, -23
19,3:-4, 7, -5, -7, -9, -21, -22
15,7:-4, 7, 4, 1, -1, -13, -25
15,7:-4, 7, 4, 1, -1, -13, -24
15,7:-4, 7, 4, 1, -1, -13, -23
15,7:-4, 7, 4, 1, -1, -13, -22
15,7:-4, 7, 4, 1, -1, -13, -21
15,7:-4, 7, 4, 1, -1, -13, -20
18,4:5, -6, -3, -5, -7, -19, 21
18,4:5, -6, -3, -5, -7, -19, 22
18,4:5, -6, -3, -5, -7, -19, 23
18,4:5, -6, -3, -5, -7, -19, 24
18,4:5, -6, -3, -5, -7, -19, 25
18,4:5, -6, -3, -5, -7, -19, 26
-6,10:5, -6, -1, 28, 25, 23, 11
14,8:5, -6, 6, 3, 1, -11, 21
14,8:5, -6, 6, 3, 1, -11, 22
14,8:5, -6, 6, 3, 1, -11, 23
14,8:5, -6, 6, 3, 1, -11, 24
14,8:5, -6, 6, 3, 1, -11, 25
14,8:5, -6, 6, 3, 1, -11, 26
14,8:5, -6, 6, 3, 1, 21, -11
1,15:5, -6, 18, 18, 25, 20, 28
1,15:5, -6, 18, 18, 25, 20, 29
1,15:5, -6, 18, 18, 25, 20, 30
1,15:5, -6, 18, 18, 25, 20, 31
1,15:5, -6, 18, 18, 25, 20, 32
1,15:5, -6, 18, 18, 25, 20, 33
1,15:5, -6, 18, 18, 25, 28, 20
-6,10:5, -6, 28, 25, 23, 11, -1
-6,10:5, -6, 28, 25, 23, 11, 0
-6,10:5, -6, 28, 25, 23, 11, 1
-6,10:5, -6, 28, 25, 23, 11, 2
-6,10:5, -6, 28, 25, 23, 11, 3
-6,10:5, -6, 28, 25, 23, 11, 4
6,10:5, -5, -6, 4, 7, 14, 10
-3,9:5, -5, -5, 1, -13, 20, 12
8,4:5, -5, -1, 9, 5, 3, -9
2,-6:5, -5, 0, -1, -2, 8, 14
-1,-2:5, -5, 4, 5, -2, -3, 14
7,12:5, -3, -6, -3, 8, 1, 8
-5,4:5, -3, -6, 10, 7, -1, 7
-4,1:5, -3, -6, 12, 11, -13, -8
-4,1:5, -3, -6, 12, 11, -13, -7
-4,1:5, -3, -6, 12, 11, -13, -4
-4,1:5, -3, -6, 12, 11, -4, -13
-4,1:5, -3, -6, 12, 11, -4, -12
-4,1:5, -3, -6, 12, 11, -4, -11
-4,1:5, -3, -6, 12, 11, -4, -10
-4,1:5, -3, -6, 12, 11, -4, -9
-4,1:5, -3, -6, 12, 11, -4, -8
22,3:5, -3, -5, -4, 5, 8, -10
5,4:5, -3, -5, 11, 11, 15, -1
7,12:5, -3, -3, 8, 1, 8, -6
2,-4:5, -3, 0, -7, 18, 2, 6
2,-4:5, -3, 0, -7, 18, 2, 7
2,-4:5, -3, 0, -7, 18, 2, 8
2,-4:5, -3, 0, -7, 18, 2, 9
2,-4:5, -3, 0, -7, 18, 2, 10
2,-4:5, -3, 0, -7, 18, 2, 11
2,-4:5, -3, 0, -7, 18, 10, 3
2,-4:5, -3, 0, -7, 18, 10, 4
2,-4:5, -3, 0, -7, 18, 10, 5
2,-4:5, -3, 0, -7, 18, 10, 6
2,-4:5, -3, 0, -7, 18, 10, 7
2,-4:5, -3, 0, -7, 18, 10, 8
2,-4:5, -3, 0, -7, 18, 14, 9
2,-4:5, -3, 0, -7, 18, 14, 11
7,-8:5, -3, 0, -3, 4, -13, -9
-1,0:5, -3, 0, -3, 4, 0, 7
-4,10:5, -3, 0, -3, 9, 11, 6
-11,9:5, -3, 0, 14, 6, -5, 12
-10,3:5, -3, 0, 14, 6, -5, 19
-10,3:5, -3, 0, 14, 6, -5, 21
-10,3:5, -3, 0, 14, 6, -5, 22
-10,3:5, -3, 0, 14, 6, -5, 26
-11,9:5, -3, 0, 14, 6, 12, -5
