16,-5:-4, -6, -8, -2, -17
-1,12:-4, -6, 1, -5, 10
-7,0:-4, -6, 1, -5, 13
0,-7:5, 2, 0, 6, -12
12,-1:5, 2, 0, 6, -9
-5,16:5, 2, 9, 3, 18
-11,4:5, 2, 9, 3, 21
12,4:-4, 2, -3, 3, 2, 11
12,4:-4, 2, -3, 3, 2, 12
12,4:-4, 2, -3, 3, 2, 13
12,4:-4, 2, -3, 3, 2, 14
12,4:-4, 2, -3, 3, 2, 15
12,4:-4, 2, -3, 3, 2, 16
12,4:-4, 2, -3, 3, 11, 2
3,-6:-4, 2, 1, -13, 1, 2
3,-6:-4, 2, 1, -13, 1, 3
3,-6:-4, 2, 1, -13, 1, 6
3,-6:-4, 2, 1, -13, 1, 13
3,-6:-4, 2, 1, 1, 2, -13
3,-6:-4, 2, 1, 1, 2, -12
3,-6:-4, 2, 1, 1, 2, -11
3,-6:-4, 2, 1, 1, 2, -10
3,-6:-4, 2, 1, 1, 2, -9
3,-6:-4, 2, 1, 1, 2, -8
12,-2:-4, 4, 4, 5, 7, -14
4,17:-4, 4, 6, 5, -4, 10
4,12:5, -5, -1, 4, -2, -15
4,12:5, -5, -1, 4, -2, -14
4,12:5, -5, -1, 4, -2, -13
4,12:5, -5, -1, 4, -2, -12
4,12:5, -5, -1, 4, -2, -11
4,12:5, -5, -1, 4, -2, -10
-6,3:5, -5, 0, -11, -12, 9
-6,3:5, -5, 0, -11, -12, 10
-6,3:5, -5, 0, -11, -12, 11
-6,3:5, -5, 0, -11, -12, 12
-6,3:5, -5, 0, -11, -12, 13
-6,3:5, -5, 0, -11, -12, 14
-6,3:5, -5, 0, -11, 9, -12
-6,3:5, -5, 0, -11, 9, -5
-6,3:5, -5, 0, -11, 9, -2
-6,3:5, -5, 0, -11, 9, -1
4,12:5, -5, 4, -2, -15, -1
-2,12:5, -3, -6, -3, -4, 15
17,4:5, -3, -5, -4, 5, -9
4,3:5, -3, -5, 15, -11, -24
4,3:5, -3, -5, 15, -11, -23
4,3:5, -3, -5, 15, -11, -22
4,3:5, -3, -5, 15, -11, -21
4,3:5, -3, -5, 15, -11, -20
4,3:5, -3, -5, 15, -11, -19
-1,8:5, 2, -6, 14, 20, 28
-1,8:5, 2, -6, 14, 20, 29
-1,8:5, 2, -6, 14, 20, 30
-1,8:5, 2, -6, 14, 20, 31
-1,8:5, 2, -6, 14, 20, 32
-1,8:5, 2, -6, 14, 20, 33
4,3:5, 2, -5, -11, -24, 8
4,3:5, 2, -5, -11, -24, 15
-1,8:5, 2, 14, 20, 28, -6
-1,8:5, 2, 14, 20, 28, 1
8,8:5, 10, 5, 11, 10, 19
8,8:5, 10, 5, 11, 10, 20
8,8:5, 10, 5, 11, 10, 21
8,8:5, 10, 5, 11, 10, 22
8,8:5, 10, 5, 11, 10, 23
8,8:5, 10, 5, 11, 10, 24
8,8:5, 10, 5, 11, 19, 10
-1,-2:5, 10, 9, -5, 9, 10
-1,-2:5, 10, 9, -5, 9, 11
-1,-2:5, 10, 9, -5, 9, 14
-1,-2:5, 10, 9, -5, 9, 21
-1,-2:5, 10, 9, 9, 10, -5
-1,-2:5, 10, 9, 9, 10, -4
-1,-2:5, 10, 9, 9, 10, -3
-1,-2:5, 10, 9, 9, 10, -2
-1,-2:5, 10, 9, 9, 10, -1
-1,-2:5, 10, 9, 9, 10, 0
8,2:5, 12, 12, 13, 15, -6
0,21:5, 12, 14, 13, 4, 18
5,-9:6, -3, -5, -7, -1, -19
17,-3:6, -3, -5, -7, -1, -16
0,14:6, -3, -5, 2, -4, 11
-6,2:6, -3, -5, 2, -4, 14
1,-5:6, 6, 3, 1, 7, -11
13,1:6, 6, 3, 1, 7, -8
-4,18:6, 6, 3, 10, 4, 19
-10,6:6, 6, 3, 10, 4, 22
