2,-4:-4, -13, -8, -14, -22, 1
2,-4:-4, -13, -8, -14, -20, 1
5,-1:-4, -13, -8, -2, -9, -5
8,-9:-4, -11, -13, 7, -2, -7
2,-13:-4, -11, -11, 0, 1, -5
-1,-3:-4, -11, -8, -15, -8, -11
5,-10:-4, -6, -13, 6, 1, 4
5,-10:-4, -6, -13, 6, 1, 9
5,-10:-4, -6, -13, 6, 1, 10
5,-10:-4, -6, -13, 6, 1, 15
4,4:5, -5, -1, 4, 15, 10
-2,0:5, -5, 0, -6, -14, 9
-2,0:5, -5, 0, -6, -12, 9
1,3:5, -5, 0, 6, -1, 3
4,-5:5, -3, -5, 15, 6, 1
-2,-9:5, -3, -3, 8, 9, 3
-5,1:5, -3, 0, -7, 0, -3
1,-6:5, 2, -5, 14, 9, 12
1,-6:5, 2, -5, 14, 9, 17
1,-6:5, 2, -5, 14, 9, 18
1,-6:5, 2, -5, 14, 9, 23
-2,-2:-4, -13, -13, -14, 1, -5, 2
-2,-2:-4, -13, -13, -14, 1, -5, 3
-2,-2:-4, -13, -13, -14, 1, -5, 4
-2,-2:-4, -13, -13, -14, 1, -5, 5
-2,-2:-4, -13, -13, -14, 1, -5, 6
-2,-2:-4, -13, -13, -14, 1, -5, 7
5,4:-4, -13, -13, -7, -10, -10, -15
2,-5:-4, -13, -13, 1, -16, -11, -2
2,-5:-4, -13, -13, 1, -16, -11, 5
2,-5:-4, -13, -13, 1, -16, -11, 8
2,-5:-4, -13, -13, 1, -16, -11, 9
2,-5:-4, -13, -13, 1, -16, 5, -11
12,-4:-4, -13, -13, 1, -10, -8, -4
12,-4:-4, -13, -13, 1, -10, -8, -3
12,-4:-4, -13, -13, 1, -10, -8, -2
12,-4:-4, -13, -13, 1, -10, -8, -1
12,-4:-4, -13, -13, 1, -10, -8, 0
12,-4:-4, -13, -13, 1, -10, -8, 1
6,4:-4, -13, -9, -4, -3, -6, 1
9,3:-4, -13, -9, -4, 7, 2, -8
3,-1:-4, -13, -8, -14, -22, 1, -6
6,-11:-4, -13, -8, -9, -20, -9, -13
6,2:-4, -13, -8, -2, -9, -5, -6
5,-1:-4, -13, -8, -2, -3, -9, -5
6,4:-4, -13, -4, -3, -6, 1, -9
9,3:-4, -13, -4, 7, 2, -8, 2
8,0:-4, -13, -4, 7, 2, 0, -14
1,-1:-4, -13, 4, 6, 4, 6, -3
6,-5:-4, -11, -13, -12, -15, 7, -8
5,0:-4, -11, -13, -5, -2, -7, -17
9,-6:-4, -11, -13, 7, -2, -7, -17
13,-4:-4, -11, -11, -13, 0, -4, -3
13,-4:-4, -11, -11, -13, 0, -4, -2
13,-4:-4, -11, -11, -13, 0, -4, -1
13,-4:-4, -11, -11, -13, 0, -4, 0
13,-4:-4, -11, -11, -13, 0, -4, 1
13,-4:-4, -11, -11, -13, 0, -4, 2
3,-10:-4, -11, -11, 0, 1, -5, -15
0,0:-4, -11, -8, -15, -8, -11, -2
6,-11:-4, -11, -8, -11, -19, -6, -15
18,-3:-4, -11, -8, -1, 2, -4, -16
4,-11:-4, -11, -5, -6, -2, -4, -11
4,-11:-4, -11, -5, -6, -2, -4, -6
-2,-1:-4, -6, -14, 6, 6, 12, 9
-2,-1:-4, -6, -14, 6, 6, 12, 16
-2,-1:-4, -6, -14, 6, 6, 12, 19
-2,-1:-4, -6, -14, 6, 6, 12, 20
-10,5:-4, -6, -13, -14, 1, 5, -3
6,-5:-4, -6, -13, -12, -15, -8, -3
6,-5:-4, -6, -13, -12, -15, -8, 0
6,-5:-4, -6, -13, -12, -15, -8, 7
6,-7:-4, -6, -13, 6, 1, -15, 4
6,-7:-4, -6, -13, 6, 1, -15, 9
6,-7:-4, -6, -13, 6, 1, -15, 10
6,-7:-4, -6, -13, 6, 1, -15, 15
6,-7:-4, -6, -13, 6, 1, 4, -15
5,-10:-4, -6, -13, 6, 1, 8, 8
5,-10:-4, -6, -13, 6, 1, 8, 9
5,-10:-4, -6, -13, 6, 1, 8, 10
5,-10:-4, -6, -13, 6, 1, 8, 11
5,-10:-4, -6, -13, 6, 1, 8, 12
5,-10:-4, -6, -13, 6, 1, 8, 13
5,-10:-4, -6, -13, 6, 1, 11, 6
5,-10:-4, -6, -13, 6, 1, 11, 7
5,-10:-4, -6, -13, 6, 1, 11, 8
5,-10:-4, -6, -13, 6, 1, 11, 9
5,-10:-4, -6, -13, 6, 1, 11, 10
5,-10:-4, -6, -13, 6, 1, 11, 11
17,4:-4, -6, -8, 1, -19, 8, -10
5,-5:-4, -6, -8, 1, -5, 0, -3
6,-1:-4, -6, -8, 1, 1, 5, -8
6,1:-4, -6, 1, 4, 4, 3, 9
-1,-1:-4, -6, 1, 9, 1, -9, 28
-1,-1:-4, -6, 1, 9, 1, -9, 29
-1,-1:-4, -6, 1, 9, 1, -9, 30
-1,-1:-4, -6, 1, 9, 1, -9, 31
-1,-1:-4, -6, 1, 9, 1, -9, 32
-1,-1:-4, -6, 1, 9, 1, -9, 33
-1,-1:-4, -6, 1, 9, 1, 28, -9
3,-4:-4, -6, 1, 10, -4, -7, 0
4,1:-4, -6, 1, 10, 13, 4, 15
4,1:-4, -6, 1, 10, 13, 4, 16
4,1:-4, -6, 1, 10, 13, 4, 17
4,1:-4, -6, 1, 10, 13, 4, 18
4,1:-4, -6, 1, 10, 13, 4, 19
4,1:-4, -6, 1, 10, 13, 4, 20
-2,-1:-4, -6, 6, 6, 12, 9, -14
-2,-1:-4, -6, 6, 6, 12, 9, -7
-2,-1:-4, -6, 6, 6, 12, 9, -4
-5,2:-4, 2, 1, -15, 4, -14, -20
-5,2:-4, 2, 1, -15, 4, -14, -17
-5,2:-4, 2, 1, -15, 4, -14, -15
17,-5:-4, 2, 1, -15, 4, -14, 9
17,-5:-4, 2, 1, -15, 4, -14, 12
17,-5:-4, 2, 1, -15, 4, -14, 14
-6,0:-4, 2, 1, -5, 7, 1, 6
-6,0:-4, 2, 1, -5, 7, 1, 9
-6,0:-4, 2, 1, -5, 7, 1, 11
7,11:-4, 2, 1, -5, 7, 1, 13
-4,4:-4, 2, 1, 7, -2, -3, 1
-4,4:-4, 2, 1, 7, -2, -3, 2
-4,4:-4, 2, 1, 7, -2, -3, 3
-4,4:-4, 2, 1, 7, -2, -3, 4
-4,4:-4, 2, 1, 7, -2, -3, 5
-4,4:-4, 2, 1, 7, -2, -3, 6
7,-1:-4, 2, 2, -3, -3, 3, 0
7,-1:-4, 2, 2, -3, -3, 3, 7
7,-1:-4, 2, 2, -3, -3, 3, 10
7,-1:-4, 2, 2, -3, -3, 3, 11
12,-5:-4, 2, 6, 0, -4, -13, 4
12,-5:-4, 2, 6, 0, -4, -13, 5
12,-5:-4, 2, 6, 0, -4, -13, 6
12,-5:-4, 2, 6, 0, -4, -13, 7
12,-5:-4, 2, 6, 0, -4, -13, 8
12,-5:-4, 2, 6, 0, -4, -13, 9
12,-5:-4, 2, 6, 0, -4, 4, -13
12,-5:-4, 2, 6, 0, -4, 4, -10
0,1:-4, 2, 6, 0, -3, 14, -14
0,1:-4, 2, 6, 0, -3, 14, -7
1,4:-4, 2, 6, 0, -3, 14, 1
14,-4:-4, 2, 6, 6, 1, 0, 14
14,-4:-4, 2, 6, 6, 1, 0, 15
14,-4:-4, 2, 6, 6, 1, 0, 17
14,-4:-4, 2, 6, 6, 1, 15, 0
14,-4:-4, 2, 6, 6, 1, 15, 1
14,-4:-4, 2, 6, 6, 1, 15, 4
14,-4:-4, 2, 6, 6, 1, 15, 11
4,0:-4, 4, -10, -17, -10, 0, -9
12,10:-4, 4, -10, -17, -9, -15, -2
0,-3:-4, 4, -2, -12, 6, 4, -12
23,1:-4, 4, -2, -8, -10, 2, -15
-2,-1:-4, 4, 6, 6, 12, 9, -14
-10,7:5, -6, 19, 10, 15, 9, 24
-2,-5:5, -6, 29, 20, 18, 16, 11
4,4:5, -5, -6, 4, 15, 10, 8
4,4:5, -5, -6, 4, 15, 10, 15
-17,13:5, -5, -6, 9, -3, 13, 20
-17,13:5, -5, -6, 9, -3, 13, 21
-17,13:5, -5, -6, 9, -3, 13, 22
-17,13:5, -5, -6, 9, -3, 13, 23
-17,13:5, -5, -6, 9, -3, 13, 24
-6,2:5, -5, -5, -6, 9, 3, 10
-6,2:5, -5, -5, -6, 9, 3, 11
-6,2:5, -5, -5, -6, 9, 3, 12
-6,2:5, -5, -5, -6, 9, 3, 13
-6,2:5, -5, -5, -6, 9, 3, 14
-6,2:5, -5, -5, -6, 9, 3, 15
1,8:5, -5, -5, 1, -2, -2, -7
-2,-1:5, -5, -5, 9, -8, -3, 6
-2,-1:5, -5, -5, 9, -8, -3, 13
-2,-1:5, -5, -5, 9, -8, -3, 16
-2,-1:5, -5, -5, 9, -8, -3, 17
-2,-1:5, -5, -5, 9, -8, 13, -3
8,0:5, -5, -5, 9, -2, 0, 4
8,0:5, -5, -5, 9, -2, 0, 5
8,0:5, -5, -5, 9, -2, 0, 6
8,0:5, -5, -5, 9, -2, 0, 7
8,0:5, -5, -5, 9, -2, 0, 8
8,0:5, -5, -5, 9, -2, 0, 9
2,8:5, -5, -1, 4, 5, 2, 9
5,7:5, -5, -1, 4, 15, 10, 0
-1,3:5, -5, 0, -6, -14, 9, 2
2,-7:5, -5, 0, -1, -12, -1, -5
2,6:5, -5, 0, 6, -1, 3, 2
1,3:5, -5, 0, 6, 5, -1, 3
2,8:5, -5, 4, 5, 2, 9, -1
5,7:5, -5, 4, 15, 10, 0, 10
4,4:5, -5, 4, 15, 10, 8, -6
-3,3:5, -5, 12, 14, 12, 14, 5
2,-1:5, -3, -5, -4, -7, 15, 0
1,4:5, -3, -5, 3, 6, 1, -9
5,-2:5, -3, -5, 15, 6, 1, -9
9,0:5, -3, -3, -5, 8, 4, 5
9,0:5, -3, -3, -5, 8, 4, 6
9,0:5, -3, -3, -5, 8, 4, 7
9,0:5, -3, -3, -5, 8, 4, 8
9,0:5, -3, -3, -5, 8, 4, 9
9,0:5, -3, -3, -5, 8, 4, 10
-1,-6:5, -3, -3, 8, 9, 3, -7
-4,4:5, -3, 0, -7, 0, -3, 6
2,-7:5, -3, 0, -3, -11, 2, -7
14,1:5, -3, 0, 7, 10, 4, -8
0,-7:5, -3, 3, 2, 6, 4, -3
0,-7:5, -3, 3, 2, 6, 4, 2
-6,3:5, 2, -6, 14, 14, 20, 17
-6,3:5, 2, -6, 14, 14, 20, 24
-6,3:5, 2, -6, 14, 14, 20, 27
-6,3:5, 2, -6, 14, 14, 20, 28
-14,9:5, 2, -5, -6, 9, 13, 5
2,-1:5, 2, -5, -4, -7, 0, 5
2,-1:5, 2, -5, -4, -7, 0, 8
2,-1:5, 2, -5, -4, -7, 0, 15
2,-3:5, 2, -5, 14, 9, -7, 12
2,-3:5, 2, -5, 14, 9, -7, 17
2,-3:5, 2, -5, 14, 9, -7, 18
2,-3:5, 2, -5, 14, 9, -7, 23
2,-3:5, 2, -5, 14, 9, 12, -7
1,-6:5, 2, -5, 14, 9, 16, 16
1,-6:5, 2, -5, 14, 9, 16, 17
1,-6:5, 2, -5, 14, 9, 16, 18
1,-6:5, 2, -5, 14, 9, 16, 19
1,-6:5, 2, -5, 14, 9, 16, 20
1,-6:5, 2, -5, 14, 9, 16, 21
1,-6:5, 2, -5, 14, 9, 19, 14
1,-6:5, 2, -5, 14, 9, 19, 15
1,-6:5, 2, -5, 14, 9, 19, 16
1,-6:5, 2, -5, 14, 9, 19, 17
1,-6:5, 2, -5, 14, 9, 19, 18
1,-6:5, 2, -5, 14, 9, 19, 19
13,8:5, 2, 0, 9, -11, 16, -2
1,-1:5, 2, 0, 9, 3, 8, 5
2,3:5, 2, 0, 9, 9, 13, 0
2,5:5, 2, 9, 12, 12, 11, 17
-5,3:5, 2, 9, 17, 9, -1, 36
-5,3:5, 2, 9, 17, 9, -1, 37
-5,3:5, 2, 9, 17, 9, -1, 38
-5,3:5, 2, 9, 17, 9, -1, 39
-5,3:5, 2, 9, 17, 9, -1, 40
-5,3:5, 2, 9, 17, 9, -1, 41
-5,3:5, 2, 9, 17, 9, 36, -1
-1,0:5, 2, 9, 18, 4, 1, 8
0,5:5, 2, 9, 18, 21, 12, 23
0,5:5, 2, 9, 18, 21, 12, 24
0,5:5, 2, 9, 18, 21, 12, 25
0,5:5, 2, 9, 18, 21, 12, 26
0,5:5, 2, 9, 18, 21, 12, 27
0,5:5, 2, 9, 18, 21, 12, 28
-6,3:5, 2, 14, 14, 20, 17, -6
-6,3:5, 2, 14, 14, 20, 17, 1
-6,3:5, 2, 14, 14, 20, 17, 4
-9,6:5, 10, 9, -7, 12, -6, -12
-9,6:5, 10, 9, -7, 12, -6, -9
-9,6:5, 10, 9, -7, 12, -6, -7
13,-1:5, 10, 9, -7, 12, -6, 17
13,-1:5, 10, 9, -7, 12, -6, 20
13,-1:5, 10, 9, -7, 12, -6, 22
-10,4:5, 10, 9, 3, 15, 9, 14
-10,4:5, 10, 9, 3, 15, 9, 17
-10,4:5, 10, 9, 3, 15, 9, 19
3,15:5, 10, 9, 3, 15, 9, 21
-8,8:5, 10, 9, 15, 6, 5, 9
-8,8:5, 10, 9, 15, 6, 5, 10
-8,8:5, 10, 9, 15, 6, 5, 11
-8,8:5, 10, 9, 15, 6, 5, 12
-8,8:5, 10, 9, 15, 6, 5, 13
-8,8:5, 10, 9, 15, 6, 5, 14
3,3:5, 10, 10, 5, 5, 11, 8
3,3:5, 10, 10, 5, 5, 11, 15
3,3:5, 10, 10, 5, 5, 11, 18
3,3:5, 10, 10, 5, 5, 11, 19
8,-1:5, 10, 14, 8, 4, -5, 12
8,-1:5, 10, 14, 8, 4, -5, 13
8,-1:5, 10, 14, 8, 4, -5, 14
8,-1:5, 10, 14, 8, 4, -5, 15
8,-1:5, 10, 14, 8, 4, -5, 16
8,-1:5, 10, 14, 8, 4, -5, 17
8,-1:5, 10, 14, 8, 4, 12, -5
8,-1:5, 10, 14, 8, 4, 12, -2
-4,5:5, 10, 14, 8, 5, 22, -6
-4,5:5, 10, 14, 8, 5, 22, 1
-3,8:5, 10, 14, 8, 5, 22, 9
10,0:5, 10, 14, 14, 9, 8, 22
10,0:5, 10, 14, 14, 9, 8, 23
10,0:5, 10, 14, 14, 9, 8, 25
10,0:5, 10, 14, 14, 9, 23, 8
10,0:5, 10, 14, 14, 9, 23, 9
10,0:5, 10, 14, 14, 9, 23, 12
10,0:5, 10, 14, 14, 9, 23, 19
0,4:5, 12, -2, -9, -2, 8, -1
8,14:5, 12, -2, -9, -1, -7, 6
-4,1:5, 12, 6, -4, 14, 12, -4
19,5:5, 12, 6, 0, -2, 10, -7
-6,3:5, 12, 14, 14, 20, 17, -6
9,2:6, -3, -12, -8, -3, 8, 3
3,-2:6, -3, -12, -7, -13, -21, 2
3,-2:6, -3, -12, -7, -13, -19, 2
6,1:6, -3, -12, -7, -1, -8, -4
9,-7:6, -3, -10, -12, 8, -1, -6
3,-11:6, -3, -10, -10, 1, 2, -4
0,-1:6, -3, -10, -7, -14, -7, -10
6,-8:6, -3, -5, -12, 7, 2, 5
6,-8:6, -3, -5, -12, 7, 2, 10
6,-8:6, -3, -5, -12, 7, 2, 11
6,-8:6, -3, -5, -12, 7, 2, 16
5,6:6, 6, -4, 0, 5, 16, 11
-1,2:6, 6, -4, 1, -5, -13, 10
-1,2:6, 6, -4, 1, -5, -11, 10
2,5:6, 6, -4, 1, 7, 0, 4
5,-3:6, 6, -2, -4, 16, 7, 2
-1,-7:6, 6, -2, -2, 9, 10, 4
-4,3:6, 6, -2, 1, -6, 1, -2
2,-4:6, 6, 3, -4, 15, 10, 13
2,-4:6, 6, 3, -4, 15, 10, 18
2,-4:6, 6, 3, -4, 15, 10, 19
2,-4:6, 6, 3, -4, 15, 10, 24
